QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20171,03387724,28,0,1,1300,D,260,D,,A,325,D,0,D,,A,,A,1040,D,150,D,40,D,520,D,,A,,A
20171,03387734,10,0,1,780,D,130,D,,A,0,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20171,03387744,26,0,1,1300,D,260,D,,A,325,D,0,D,,A,,A,1040,D,0,D,20,D,260,D,,A,,A
20171,03387814,40,0,1,1300,D,130,D,,A,1300,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20171,03387834,41,0,1,3900,D,1300,D,,A,520,D,0,D,,A,,A,2600,D,27,D,,A,,A,,A,,A
20171,03387904,53,0,1,1625,D,325,D,,A,0,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20171,03387964,28,0,1,780,D,65,D,,A,0,D,0,D,,A,,A,715,D,0,D,,A,,A,,A,,A
20171,03387994,27,0,1,3900,D,650,D,,A,650,D,0,D,,A,,A,3250,D,0,D,,A,,A,,A,,A
20171,03388044,38,0,1,1300,D,130,D,,A,819,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20171,03388094,70,0,1,975,D,130,D,,A,0,D,360,D,,A,,A,845,D,240,D,,A,,A,,A,,A
20171,03388144,24,0,1,520,D,65,D,,A,1300,D,0,D,,A,,A,455,D,0,D,,A,,A,,A,,A
20171,03388154,14,0,1,650,D,130,D,,A,260,D,90,D,,A,,A,520,D,120,D,,A,,A,,A,,A
20171,03388164,16,0,1,455,D,130,D,,A,0,D,0,D,,A,,A,325,D,105,D,6,D,78,D,,A,,A
20171,03388174,28,0,1,780,D,65,D,,A,650,D,0,D,,A,,A,715,D,0,D,,A,,A,,A,,A
20171,03388194,23,0,1,650,D,65,D,,A,390,D,90,D,,A,,A,585,D,60,D,,A,,A,,A,,A
20171,03388214,20,0,1,1235,D,260,D,,A,0,D,0,D,,A,,A,975,D,60,D,,A,,A,,A,,A
20171,03388224,29,0,1,1105,D,195,D,260,D,390,D,0,D,,A,,A,910,D,60,D,,A,,A,,A,,A
20171,03388244,45,0,1,1300,D,325,D,325,D,520,D,0,D,,A,,A,975,D,90,D,,A,,A,,A,,A
20171,03388264,37,0,1,1950,D,650,D,130,D,650,D,0,D,,A,,A,1300,D,105,D,35,D,455,D,,A,,A
20171,03388284,37,0,1,1950,D,325,D,,A,0,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20171,03388294,21,0,1,1625,D,300,F,,A,555,F,0,D,,A,,A,1165,F,133,F,,A,,A,,A,,A
20171,03388304,17,0,1,863,F,,A,,A,0,D,6,D,,A,,A,672,F,6,D,,A,,A,,A,,A
20171,03388314,69,0,1,910,D,0,D,,A,195,D,0,D,,A,,A,910,D,60,D,,A,,A,,A,,A
20171,03388344,86,0,1,2275,D,780,D,,A,520,D,0,D,,A,,A,1495,D,30,D,,A,,A,,A,,A
20171,03388454,37,0,1,2600,D,390,D,,A,390,D,0,D,,A,48,D,2210,D,240,D,,A,,A,,A,,A
20171,03388464,16,0,1,2236,D,65,D,,A,0,D,0,D,,A,,A,2171,D,0,D,20,D,260,D,,A,,A
20171,03388474,38,0,1,1950,D,650,D,,A,520,D,240,D,250,D,,A,1300,D,30,D,8,D,104,D,,A,,A
20171,03388484,87,0,1,650,D,65,D,,A,1300,D,60,D,,A,,A,585,D,30,D,,A,,A,,A,,A
20171,03388504,11,0,1,650,D,0,D,,A,0,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20171,03388524,27,0,1,455,D,26,D,,A,65,D,0,D,,A,,A,429,D,60,D,,A,,A,,A,,A
20171,03388534,23,0,1,1300,D,520,D,,A,520,D,0,D,,A,,A,780,D,0,D,,A,,A,,A,,A
20171,03388544,20,0,1,3250,D,585,D,,A,0,D,0,D,,A,,A,2665,D,300,D,40,D,520,D,,A,,A
20171,03388554,41,0,1,1950,D,520,D,,A,975,D,0,D,,A,,A,1430,D,0,D,,A,,A,,A,,A
20171,03388574,27,0,1,2600,D,520,D,,A,0,D,0,D,,A,,A,2080,D,0,D,,A,,A,,A,,A
20171,03388584,29,0,1,1820,D,195,D,325,D,2340,D,60,D,,A,,A,1625,D,60,D,,A,,A,,A,,A
20171,03388604,31,0,1,1300,D,325,D,,A,260,D,45,D,,A,,A,975,D,150,D,,A,,A,,A,,A
20171,03388624,59,0,1,2600,D,390,D,,A,390,D,300,D,,A,30,D,2210,D,600,D,6,D,78,D,,A,,A
20171,03388674,76,0,1,1040,D,0,D,130,D,650,D,30,D,,A,,A,1040,D,105,D,,A,,A,65,D,5,D
20171,03388684,18,0,1,325,D,0,D,,A,260,D,0,D,,A,,A,325,D,120,D,20,D,260,D,,A,,A
20171,03388714,65,0,1,1781,D,325,D,195,D,1040,D,300,D,,A,,A,1456,D,180,D,,A,,A,390,D,30,D
20171,03388724,17,0,1,975,D,393,F,,A,1112,F,173,F,,A,,A,1539,F,219,F,,A,,A,,A,,A
20171,03388734,98,0,1,2197,D,429,D,,A,1066,D,0,D,,A,,A,1768,D,0,D,,A,,A,,A,,A
20171,03388754,35,0,1,1820,D,520,D,520,D,390,D,0,D,,A,,A,1300,D,36,D,,A,,A,,A,,A
20171,03388774,18,0,1,3250,D,520,D,130,D,1300,D,0,D,,A,,A,2730,D,0,D,,A,,A,,A,,A
20171,03388784,24,0,1,1300,D,130,D,,A,650,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20171,03388794,64,0,1,3250,D,975,D,,A,520,D,60,D,,A,,A,2275,D,300,D,,A,,A,,A,,A
20171,03388814,8,0,1,650,D,130,D,,A,65,D,30,D,,A,,A,520,D,30,D,,A,,A,,A,,A
20171,03388834,71,0,1,2340,D,260,D,,A,1300,D,120,D,,A,,A,2080,D,87,D,,A,,A,,A,,A
20171,03388854,20,0,1,650,D,240,F,,A,975,D,0,D,,A,,A,777,F,120,D,,A,,A,,A,,A
20171,03388874,36,0,1,1300,D,65,D,,A,650,D,0,D,,A,400,D,1235,D,0,D,,A,,A,,A,,A
20171,03388894,59,0,1,1300,D,130,D,130,D,65,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20171,03388964,72,0,1,1950,D,390,D,,A,390,D,0,D,,A,,A,1560,D,150,D,,A,,A,,A,,A
20171,03388974,16,0,1,650,D,0,D,,A,0,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20171,03388984,39,0,1,1300,D,260,D,,A,520,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20171,03388994,20,0,1,1625,D,195,D,,A,260,D,0,D,,A,,A,1430,D,0,D,,A,,A,,A,,A
20171,03389004,15,0,1,863,F,,A,,A,496,F,91,F,,A,,A,672,F,106,F,,A,,A,,A,,A
20171,03389044,51,0,1,1950,D,195,D,,A,520,D,90,D,,A,,A,1755,D,120,D,,A,,A,,A,,A
20171,03389054,50,0,1,1300,D,325,D,,A,1300,D,90,D,,A,,A,975,D,300,D,,A,,A,,A,,A
20171,03389084,19,0,1,650,D,335,F,,A,752,F,0,D,,A,,A,1239,F,0,D,20,D,260,D,,A,,A
20171,03389124,36,0,1,1690,D,260,D,,A,975,D,0,D,,A,,A,1430,D,180,D,5,D,65,D,,A,,A
20171,03389144,10,0,1,130,D,0,D,,A,0,D,0,D,,A,,A,130,D,0,D,,A,,A,,A,,A
20171,03389164,23,0,1,1560,D,780,D,,A,650,D,0,D,,A,,A,780,D,0,D,,A,,A,,A,,A
20171,03389194,16,0,1,3250,D,650,D,,A,1300,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20171,03389204,16,0,1,1300,D,104,D,,A,0,D,0,D,,A,,A,1196,D,6,D,,A,,A,,A,,A
20171,03389224,39,0,1,1040,D,195,D,,A,260,D,60,D,,A,,A,845,D,75,D,,A,,A,,A,,A
20171,03389234,34,0,1,520,D,130,D,,A,130,D,6,D,,A,,A,390,D,6,D,,A,,A,,A,,A
20171,03389244,41,0,1,1625,D,520,D,,A,0,D,0,D,,A,,A,1105,D,0,D,,A,,A,,A,,A
20171,03389264,59,0,1,1716,D,325,D,,A,585,D,75,D,,A,,A,1391,D,75,D,,A,,A,,A,,A
20171,03389274,60,0,1,3900,D,390,D,,A,260,D,0,D,,A,150,D,3510,D,600,D,100,D,1300,D,,A,,A
20171,03389294,12,0,1,1950,D,260,D,,A,650,D,0,D,,A,,A,1690,D,0,D,,A,,A,,A,,A
20171,03389354,33,0,1,2600,D,780,D,260,D,1040,D,0,D,,A,,A,1820,D,150,D,,A,,A,,A,,A
20171,03389434,17,0,1,65,D,0,D,,A,0,D,0,D,,A,,A,65,D,0,D,,A,,A,,A,,A
20171,03389444,34,0,1,910,D,460,F,,A,0,D,0,D,,A,,A,2044,F,300,D,,A,,A,,A,,A
20171,03389474,52,0,1,1950,D,390,D,,A,650,D,0,D,,A,,A,1560,D,0,D,,A,,A,,A,,A
20171,03389484,41,0,1,494,D,65,D,,A,52,D,0,D,,A,,A,429,D,0,D,,A,,A,,A,,A
20171,03389494,46,0,1,1430,D,325,D,,A,1040,D,30,D,,A,,A,1105,D,75,D,,A,,A,,A,,A
20171,03389534,16,0,1,637,D,65,D,,A,0,D,0,D,,A,,A,572,D,0,D,40,D,520,D,,A,,A
20171,03389554,20,0,1,130,D,0,D,,A,1560,D,0,D,,A,,A,130,D,0,D,50,D,650,D,,A,,A
20171,03389564,68,0,1,2275,D,650,D,,A,780,D,0,D,,A,330,D,1625,D,0,D,,A,,A,,A,,A
20171,03389574,36,0,1,2600,D,260,D,,A,195,D,0,D,,A,,A,2340,D,0,D,,A,,A,,A,,A
20171,03389604,27,0,1,455,D,130,D,,A,520,D,0,D,,A,,A,325,D,0,D,,A,,A,,A,,A
20171,03389624,56,0,1,2600,D,975,D,,A,1300,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20171,03389644,31,0,1,1300,D,260,D,,A,390,D,60,D,,A,,A,1040,D,90,D,,A,,A,,A,,A
20171,03389694,95,0,1,2600,D,0,D,,A,1300,D,131,F,325,D,,A,2600,D,300,D,160,D,2080,D,,A,,A
20171,03389724,20,0,1,975,D,130,D,,A,0,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20171,03389734,30,0,1,1950,D,325,D,,A,1950,D,0,D,,A,,A,1625,D,150,D,10,D,130,D,,A,,A
20171,03389744,21,0,1,975,D,195,D,,A,130,D,0,D,,A,,A,780,D,0,D,,A,,A,,A,,A
20171,03389754,61,0,1,1950,D,325,D,,A,195,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20171,03389784,54,0,1,1300,D,260,D,,A,650,D,0,D,,A,,A,1040,D,0,D,25,D,325,D,,A,,A
20171,03389794,28,0,1,1300,D,325,D,,A,650,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20171,03389804,22,0,1,819,D,260,D,,A,546,D,90,D,,A,,A,559,D,78,D,,A,,A,,A,,A
20171,03389814,41,0,1,1300,D,0,D,,A,1560,D,90,D,,A,,A,1300,D,180,D,,A,,A,,A,,A
20171,03389824,37,0,1,2600,D,390,D,1300,D,650,D,0,D,,A,,A,2210,D,15,D,5,D,65,D,,A,,A
20171,03389834,18,0,1,2199,F,,A,517,F,806,F,110,F,,A,,A,1881,F,111,F,,A,,A,,A,,A
20171,03389844,36,0,1,1300,D,325,D,130,D,780,D,45,D,,A,,A,975,D,150,D,,A,,A,,A,,A
20171,03389864,24,0,1,195,D,130,D,,A,1300,D,0,D,,A,,A,65,D,0,D,,A,,A,,A,,A
20171,03389884,32,0,1,2199,F,,A,517,F,2600,D,0,D,,A,,A,1881,F,0,D,70,D,910,D,,A,,A
20171,03389894,18,0,1,780,D,195,D,,A,520,D,0,D,,A,,A,585,D,0,D,,A,,A,,A,,A
20171,03389904,36,0,1,650,D,65,D,,A,130,D,0,D,,A,,A,585,D,30,D,,A,,A,,A,,A
20171,03389924,33,0,1,390,D,393,F,,A,130,D,150,D,,A,,A,1539,F,75,D,,A,,A,,A,,A
20171,03389964,60,0,1,3250,D,260,D,260,D,208,D,0,D,,A,,A,2990,D,60,D,,A,,A,65,D,5,D
20171,03389984,43,0,1,1625,D,975,D,,A,325,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
