QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20173,03694901,74,0,1,04,D,53,D,,A,53,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694931,33,0,1,06,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694931,34,0,1,04,D,140,D,,A,140,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694931,35,0,1,06,D,362,D,,A,362,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694931,36,0,1,06,D,352,D,,A,352,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694971,22,0,1,04,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694991,30,0,1,06,D,42,D,,A,42,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694991,31,0,1,06,D,42,D,,A,42,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694991,32,0,1,06,D,16,D,,A,16,D,150,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695001,28,0,1,05,D,45,D,,A,,H,500,D,1,D,2,D,500,D,100,D,,A,,A,,A,,A,,A,,A,,A
20173,03695001,28,1,1,05,D,,B,,A,32,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695001,28,2,1,05,D,,B,,A,13,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695001,29,0,1,04,D,456,D,,A,,H,500,D,1,D,2,D,500,D,110,D,,A,,A,,A,,A,,A,,A,,A
20173,03695001,29,1,1,04,D,,B,,A,34,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695001,29,2,1,04,D,,B,,A,145,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695001,29,3,1,04,D,,B,,A,16,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695001,29,4,1,04,D,,B,,A,261,E,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695042,9,0,1,06,D,200,D,,A,200,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695042,10,0,1,05,D,200,D,,A,,H,115,D,1,D,2,D,110,D,100,D,,A,,A,,A,,A,,A,,A,,A
20173,03695042,10,1,1,05,D,,B,,A,162,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695042,10,2,1,05,D,,B,,A,38,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695071,30,0,1,05,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695081,11,0,1,05,D,220,D,,A,220,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,19,0,1,05,D,30,D,,A,,H,500,D,1,D,2,D,370,D,100,D,,A,,A,,A,,A,,A,,A,,A
20173,03695101,19,1,1,05,D,,B,,A,24,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,19,2,1,05,D,,B,,A,6,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,20,0,1,06,D,500,D,,A,,H,500,D,1,D,2,D,500,D,370,D,,A,,A,,A,,A,,A,,A,,A
20173,03695101,20,1,1,06,D,,B,,A,24,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,20,2,1,06,D,,B,,A,103,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,20,3,1,06,D,,B,,A,247,E,320,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,20,4,1,06,D,,B,,A,12,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,20,5,1,06,D,,B,,A,114,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,21,0,1,05,D,120,D,,A,,H,500,D,2,F,2,D,500,D,130,D,,A,,A,,A,,A,,A,,A,,A
20173,03695101,21,1,1,05,D,,B,,A,29,E,100,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,21,2,1,05,D,,B,,A,34,E,360,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,21,3,1,05,D,,B,,A,8,E,367,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695101,21,4,1,05,D,,B,,A,49,E,370,D,2,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,34,0,1,05,D,,C,,A,,H,500,D,1,D,2,D,500,D,100,D,,A,,A,,A,,A,,A,,A,,A
20173,03695181,34,1,1,05,D,,B,,A,21,G,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,34,2,1,05,D,,B,,A,9,G,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,35,0,1,04,D,,C,,A,,H,500,D,1,D,2,D,500,D,100,D,,A,,A,,A,,A,,A,,A,,A
20173,03695181,35,1,1,04,D,,B,,A,40,G,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,35,2,1,04,D,,B,,A,399,G,320,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,35,3,1,04,D,,B,,A,112,G,360,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,35,4,1,04,D,,B,,A,16,G,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,35,5,1,04,D,,B,,A,187,G,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,35,6,1,04,D,,B,,A,301,G,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,36,0,1,05,D,,C,,A,,H,500,D,1,D,2,D,500,D,100,D,,A,,A,,A,,A,,A,,A,,A
20173,03695181,36,1,1,05,D,,B,,A,22,G,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,36,2,1,05,D,,B,,A,8,G,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,37,0,1,06,D,,C,,A,,H,500,D,1,D,2,D,500,D,110,D,,A,,A,,A,,A,,A,,A,,A
20173,03695181,37,1,1,06,D,,B,,A,14,G,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,37,2,1,06,D,,B,,A,56,G,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,37,3,1,06,D,,B,,A,5,G,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,38,0,1,06,D,,C,,A,,H,500,D,1,D,2,D,500,D,160,D,,A,,A,,A,,A,,A,,A,,A
20173,03695181,38,1,1,06,D,,B,,A,83,G,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,38,2,1,06,D,,B,,A,11,G,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,38,3,1,06,D,,B,,A,206,G,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
