QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,TICPURCH,SUBPURCH
20171,03388244,30,0,1,150,D,1,D,23,D,10,D,,
20171,03388244,31,0,1,150,D,1,D,23,D,11,D,,
20171,03388244,32,0,1,150,D,1,D,23,D,12,D,,
20171,03388264,26,0,1,840,D,1,D,45,D,11,D,,
20171,03388264,27,0,1,840,D,1,D,90,D,11,D,,
20171,03388284,25,0,1,830,D,1,D,20,D,13,D,,
20171,03388284,26,0,1,360,D,1,D,8,D,13,D,,
20171,03388304,10,0,2,150,D,1,D,36,D,10,D,,
20171,03388344,69,0,1,500,D,1,D,120,D,12,D,,
20171,03388344,70,0,1,160,D,1,D,15,D,10,D,,
20171,03388344,71,0,1,160,D,1,D,15,D,11,D,,
20171,03388344,72,0,1,310,D,1,D,10,D,12,D,,
20171,03388344,73,0,1,360,D,1,D,9,D,13,D,,
20171,03388344,74,0,1,370,D,1,D,8,D,12,D,,
20171,03388344,75,0,1,400,D,1,D,5,D,12,D,,
20171,03388344,76,0,2,210,D,1,D,25,D,10,D,,
20171,03388454,27,0,1,840,D,1,D,100,D,11,D,,
20171,03388454,28,0,1,210,D,2,D,6,D,12,D,,
20171,03388464,9,0,1,340,D,1,D,37,D,12,D,,
20171,03388474,27,0,1,360,D,1,D,9,D,13,D,,
20171,03388474,28,0,1,370,D,1,D,60,D,10,D,,
20171,03388474,29,0,1,370,D,1,D,60,D,11,D,,
20171,03388474,30,0,1,370,D,1,D,60,D,12,D,,
20171,03388484,69,0,1,830,D,1,D,61,D,13,D,,
20171,03388484,70,0,1,840,D,1,D,100,D,12,D,,
20171,03388484,71,0,1,510,D,1,D,18,D,12,D,,
20171,03388484,72,0,1,360,D,1,D,12,D,12,D,,
20171,03388484,73,0,1,330,D,1,D,8,D,12,D,,
20171,03388484,74,0,1,330,D,1,D,10,D,10,D,,
20171,03388484,75,0,1,330,D,1,D,10,D,11,D,,
20171,03388484,76,0,1,350,D,1,D,1,D,11,D,,
20171,03388484,77,0,1,330,D,1,D,5,D,13,D,,
20171,03388554,32,0,1,360,D,1,D,8,D,13,D,,
20171,03388584,20,0,1,510,D,1,D,66,D,12,D,,
20171,03388584,21,0,1,350,D,1,D,12,D,13,D,,
20171,03388674,68,0,1,360,D,1,D,9,D,13,D,,
20171,03388684,12,0,1,350,D,1,D,6,D,13,D,,
20171,03388714,42,0,1,830,D,1,D,33,D,13,D,,
20171,03388714,43,0,1,500,D,1,D,20,D,10,D,,
20171,03388714,44,0,1,510,D,1,D,30,D,12,D,,
20171,03388714,45,0,1,510,D,1,D,25,D,11,D,,
20171,03388714,46,0,1,510,D,1,D,25,D,12,D,,
20171,03388714,47,0,1,330,D,1,D,6,D,13,D,,
20171,03388734,73,0,1,830,D,1,D,32,D,13,D,,
20171,03388734,74,0,1,500,D,1,D,238,D,12,D,,
20171,03388734,75,0,1,150,D,1,D,295,D,10,D,,
20171,03388734,76,0,1,210,D,2,D,49,D,10,D,,
20171,03388734,77,0,1,210,D,2,D,206,D,12,D,,
20171,03388734,78,0,1,510,D,2,D,55,D,12,D,,
20171,03388734,79,0,1,360,D,1,D,17,D,13,D,,
20171,03388734,80,0,1,330,D,1,D,18,D,13,D,,
20171,03388794,44,0,1,600,D,1,D,100,D,10,D,,
20171,03388794,45,0,1,150,D,1,D,149,D,10,D,,
20171,03388794,46,0,1,360,D,1,D,10,D,13,D,,
20171,03388794,47,0,1,360,D,1,D,6,D,13,D,,
20171,03388794,48,0,1,370,D,1,D,240,D,12,D,,
20171,03388834,50,0,1,830,D,1,D,100,D,13,D,,
20171,03388834,51,0,1,840,D,1,D,90,D,12,D,,
20171,03388834,52,0,1,820,D,1,D,50,D,12,D,,
20171,03388834,53,0,1,500,D,1,D,300,D,12,D,,
20171,03388834,54,0,1,160,D,1,D,40,D,12,D,,
20171,03388834,55,0,1,210,D,1,D,10,D,11,D,,
20171,03388834,56,0,1,330,D,1,D,10,D,13,D,,
20171,03388834,57,0,1,360,D,1,D,10,D,13,D,,
20171,03388834,58,0,1,400,D,1,D,12,D,12,D,,
20171,03388854,13,0,1,210,D,1,D,50,D,12,D,,
20171,03388854,14,0,1,360,D,1,D,8,D,13,D,,
20171,03388874,22,0,1,360,D,1,D,11,D,13,D,,
20171,03388894,40,0,1,360,D,1,D,23,D,13,D,,
20171,03388894,41,0,1,380,D,1,D,10,D,13,D,,
20171,03388894,42,0,1,370,D,1,D,70,D,11,D,,
20171,03388894,43,0,1,370,D,1,D,40,D,12,D,,
20171,03388894,44,0,2,510,D,1,D,300,D,10,D,,
20171,03388894,45,0,2,340,D,1,D,8,D,10,D,,
20171,03388894,46,0,2,350,D,1,D,2,D,10,D,,
20171,03388964,52,0,1,510,D,1,D,10,D,11,D,,
20171,03388964,53,0,1,210,D,1,D,20,D,10,D,,
20171,03388964,54,0,1,210,D,1,D,30,D,11,D,,
20171,03388964,55,0,1,210,D,1,D,100,D,12,D,,
20171,03388964,56,0,1,310,D,1,D,20,D,12,D,,
20171,03388964,57,0,1,350,D,1,D,5,D,10,D,,
20171,03388964,58,0,1,350,D,1,D,5,D,11,D,,
20171,03388964,59,0,1,350,D,1,D,10,D,12,D,,
20171,03388964,60,0,1,360,D,1,D,12,D,13,D,,
20171,03388964,61,0,2,210,D,1,D,10,D,10,D,,
20171,03388984,27,0,1,830,D,1,D,39,D,13,D,,
20171,03388984,28,0,1,360,D,1,D,10,D,13,D,,
20171,03388994,13,0,1,830,D,1,D,13,D,13,D,,
20171,03388994,14,0,1,840,D,1,D,24,D,11,D,,
20171,03389044,37,0,1,610,D,1,D,100,D,11,D,,
20171,03389044,38,0,1,510,D,1,D,20,D,10,D,,
20171,03389044,39,0,1,150,D,1,D,15,D,11,D,,
20171,03389044,40,0,1,310,D,1,D,30,D,12,D,,
20171,03389054,37,0,1,500,D,1,D,350,D,10,D,,
20171,03389054,38,0,1,510,D,1,D,40,D,10,D,,
20171,03389054,39,0,1,510,D,1,D,40,D,11,D,,
20171,03389054,40,0,1,510,D,1,D,40,D,12,D,,
20171,03389054,41,0,1,210,D,1,D,40,D,11,D,,
20171,03389054,42,0,2,150,D,1,D,31,D,10,D,,
20171,03389124,23,0,1,830,D,1,D,26,D,13,D,,
20171,03389124,24,0,1,210,D,1,D,20,D,11,D,,
20171,03389124,25,0,1,210,D,1,D,25,D,12,D,,
20171,03389124,26,0,2,210,D,1,D,10,D,10,D,,
20171,03389164,12,0,1,360,D,1,D,12,D,13,D,,
20171,03389224,25,0,1,840,D,1,D,99,D,10,D,,
20171,03389224,26,0,1,300,D,2,D,25,D,12,D,,
20171,03389224,27,0,1,360,D,1,D,11,D,13,D,,
20171,03389244,29,0,1,150,D,1,D,10,D,11,D,,
20171,03389244,30,0,2,150,D,1,D,150,D,10,D,,
20171,03389264,48,0,1,950,D,1,D,129,D,12,D,,
20171,03389274,47,0,2,160,D,1,D,5,D,10,D,,
20171,03389354,22,0,1,210,D,1,D,150,D,12,D,,
20171,03389354,23,0,1,350,D,1,D,25,D,13,D,,
20171,03389484,33,0,1,310,D,1,D,9,D,11,D,,
20171,03389484,34,0,2,310,D,1,D,11,D,10,D,,
20171,03389494,34,0,1,510,D,1,D,70,D,10,D,,
20171,03389494,35,0,1,350,D,1,D,20,D,12,D,,
20171,03389564,58,0,1,820,D,1,D,98,D,12,D,,
20171,03389564,59,0,1,510,D,1,D,51,D,12,D,,
20171,03389564,60,0,2,600,D,1,D,42,D,10,D,,
20171,03389574,25,0,1,830,D,1,D,449,D,10,D,,
20171,03389574,26,0,1,830,D,1,D,449,D,12,D,,
20171,03389574,27,0,1,210,D,1,D,50,D,12,D,,
20171,03389574,28,0,1,350,D,1,D,6,D,11,D,,
20171,03389574,29,0,1,360,D,1,D,10,D,13,D,,
20171,03389604,21,0,1,510,D,1,D,40,D,10,D,,
20171,03389644,19,0,1,350,D,1,D,20,D,13,D,,
20171,03389694,79,0,1,210,D,1,D,45,D,12,D,,
20171,03389694,80,0,1,320,D,1,D,60,D,12,D,,
20171,03389694,81,0,1,360,D,1,D,13,D,13,D,,
20171,03389734,20,0,1,830,D,1,D,30,D,13,D,,
20171,03389754,50,0,1,360,D,1,D,11,D,13,D,,
20171,03389784,40,0,1,510,D,1,D,60,D,12,D,,
20171,03389784,41,0,1,350,D,1,D,11,D,13,D,,
20171,03389804,17,0,1,830,D,1,D,10,D,13,D,,
20171,03389804,18,0,1,510,D,1,D,25,D,10,D,,
20171,03389814,26,0,1,600,D,1,D,12,D,10,D,,
20171,03389814,27,0,1,600,D,1,D,12,D,11,D,,
20171,03389814,28,0,1,600,D,1,D,12,D,12,D,,
20171,03389814,29,0,1,360,D,1,D,28,D,13,D,,
20171,03389814,30,0,2,510,D,1,D,12,D,10,D,,
20171,03389824,28,0,1,360,D,1,D,10,D,13,D,,
20171,03389844,27,0,1,200,D,1,D,2,D,12,D,,
20171,03389864,15,0,1,830,D,1,D,20,D,13,D,,
20171,03389864,16,0,1,350,D,1,D,10,D,13,D,,
20171,03389894,9,0,1,830,D,1,D,20,D,13,D,,
20171,03389894,10,0,1,830,D,1,D,30,D,13,D,,
20171,03389894,11,0,1,370,D,1,D,60,D,12,D,,
20171,03389924,23,0,1,500,D,1,D,50,D,12,D,,
20171,03389924,24,0,1,210,D,1,D,50,D,10,D,,
20171,03389964,47,0,1,610,D,1,D,100,D,10,D,,
20171,03389964,48,0,1,610,D,1,D,100,D,11,D,,
20171,03389964,49,0,1,610,D,1,D,100,D,12,D,,
20171,03389964,50,0,2,610,D,1,D,100,D,10,D,,
20171,03389964,51,0,2,320,D,1,D,10,D,10,D,,
20171,03390034,22,0,1,510,D,1,D,42,D,12,D,,
20171,03390034,23,0,1,340,D,1,D,31,D,12,D,,
20171,03390114,36,0,1,510,D,1,D,50,D,11,D,,
20171,03390114,37,0,1,360,D,1,D,9,D,13,D,,
20171,03390124,36,0,1,510,D,1,D,60,D,10,D,,
20171,03390124,37,0,1,210,D,2,D,75,D,11,D,,
20171,03390124,38,0,1,340,D,1,D,30,D,12,D,,
20171,03390134,47,0,1,830,D,1,D,32,D,13,D,,
20171,03390134,48,0,1,600,D,1,D,10,D,11,D,,
20171,03390134,49,0,1,510,D,1,D,30,D,12,D,,
20171,03390134,50,0,1,360,D,1,D,9,D,13,D,,
20171,03390174,18,0,1,350,D,1,D,20,D,13,D,,
20171,03390184,39,0,1,830,D,1,D,63,D,10,D,,
20171,03390184,40,0,1,830,D,1,D,21,D,11,D,,
20171,03390184,41,0,1,830,D,1,D,21,D,12,D,,
20171,03390184,42,0,1,360,D,1,D,11,D,13,D,,
20171,03390184,43,0,1,350,D,1,D,4,D,10,D,,
20171,03390184,44,0,1,370,D,1,D,44,D,10,D,,
20171,03390214,27,0,1,830,D,1,D,29,D,11,D,,
20171,03390264,27,0,1,840,D,1,D,65,D,11,D,,
20171,03390264,28,0,1,510,D,1,D,8,D,11,D,,
20171,03390264,29,0,2,510,D,1,D,10,D,10,D,,
20171,03390264,30,0,2,340,D,1,D,75,D,10,D,,
20171,03390294,35,0,1,830,D,1,D,120,D,13,D,,
20171,03390294,36,0,1,150,D,1,D,25,D,10,D,,
20171,03390374,32,0,1,840,D,1,D,50,D,11,D,,
20171,03390374,33,0,1,210,D,1,D,50,D,10,D,,
20171,03390374,34,0,1,210,D,1,D,50,D,11,D,,
20171,03390374,35,0,1,210,D,1,D,50,D,12,D,,
20171,03390374,36,0,1,360,D,1,D,10,D,13,D,,
20171,03390444,30,0,1,830,D,1,D,20,D,13,D,,
20171,03390444,31,0,1,600,D,1,D,100,D,10,D,,
20171,03390444,32,0,1,600,D,1,D,100,D,11,D,,
20171,03390444,33,0,1,600,D,1,D,100,D,12,D,,
20171,03390444,34,0,1,360,D,1,D,20,D,13,D,,
20171,03390444,35,0,1,360,D,1,D,10,D,13,D,,
20171,03390454,28,0,1,150,D,1,D,32,D,11,D,,
20171,03390454,29,0,1,150,D,1,D,32,D,12,D,,
20171,03390454,30,0,2,150,D,1,D,32,D,10,D,,
20171,03390464,50,0,1,150,D,1,D,78,D,11,D,,
20171,03390524,33,0,1,840,D,1,D,55,D,11,D,,
20171,03390524,34,0,1,150,D,1,D,58,D,11,D,,
20171,03390574,59,0,1,950,D,1,D,90,D,12,D,,
20171,03390574,60,0,1,150,D,1,D,228,D,12,D,,
20171,03390574,61,0,1,310,D,2,D,40,D,11,D,,
20171,03390574,62,0,1,320,D,1,D,27,D,12,D,,
20171,03390574,63,0,1,360,D,1,D,23,D,11,D,,
20171,03390574,64,0,1,360,D,1,D,17,D,12,D,,
20171,03390574,65,0,2,150,D,1,D,100,D,10,D,,
20171,03390614,50,0,1,840,D,1,D,10,D,12,D,,
20171,03390614,51,0,1,840,D,1,D,10,D,11,D,,
20171,03390614,52,0,1,840,D,1,D,10,D,10,D,,
20171,03390614,53,0,1,500,D,1,D,70,D,11,D,,
20171,03390614,54,0,1,360,D,1,D,10,D,13,D,,
20171,03390614,55,0,1,320,D,1,D,14,D,10,D,,
20171,03390614,56,0,1,320,D,1,D,14,D,11,D,,
20171,03390614,57,0,1,320,D,1,D,14,D,12,D,,
20171,03390614,58,0,2,510,D,1,D,11,D,10,D,,
20171,03390624,39,0,1,830,D,1,D,25,D,13,D,,
20171,03390624,40,0,1,950,D,1,D,1000,D,10,D,,
20171,03390624,41,0,1,950,D,1,D,1000,D,11,D,,
20171,03390624,42,0,1,950,D,1,D,1000,D,12,D,,
20171,03390624,43,0,1,510,D,1,D,7,D,10,D,,
20171,03390624,44,0,1,510,D,1,D,7,D,11,D,,
20171,03390624,45,0,1,510,D,1,D,7,D,12,D,,
20171,03390654,21,0,1,150,D,1,D,21,D,10,D,,
20171,03390654,22,0,1,150,D,1,D,21,D,11,D,,
20171,03390654,23,0,1,150,D,1,D,21,D,12,D,,
20171,03390654,24,0,2,150,D,1,D,89,D,10,D,,
20171,03390684,42,0,1,830,D,1,D,130,D,13,D,,
20171,03390714,52,0,1,610,D,1,D,92,D,11,D,,
20171,03390714,53,0,1,510,D,2,D,230,D,12,D,,
20171,03390714,54,0,1,360,D,1,D,18,D,13,D,,
20171,03390714,55,0,1,360,D,1,D,9,D,13,D,,
20171,03390754,31,0,1,800,D,1,D,250,D,10,D,,
20171,03390754,32,0,1,830,D,1,D,90,D,13,D,,
20171,03390784,34,0,1,820,D,1,D,170,D,13,D,,
20171,03390804,53,0,1,510,D,1,D,10,D,12,D,,
20171,03390804,54,0,1,510,D,1,D,25,D,11,D,,
20171,03390804,55,0,1,310,D,1,D,103,D,12,D,,
20171,03390804,56,0,1,310,D,1,D,74,D,11,D,,
20171,03390804,57,0,1,310,D,1,D,9,D,10,D,,
20171,03390804,58,0,1,350,D,1,D,20,D,12,D,,
20171,03390804,59,0,1,350,D,1,D,20,D,11,D,,
20171,03390804,60,0,1,340,D,1,D,20,D,12,D,,
20171,03390814,44,0,1,840,D,1,D,90,D,11,D,,
20171,03390814,45,0,1,510,D,1,D,45,D,10,D,,
20171,03390814,46,0,1,510,D,1,D,50,D,12,D,,
20171,03390814,47,0,1,330,D,1,D,10,D,13,D,,
20171,03390814,48,0,1,350,D,1,D,10,D,13,D,,
20171,03390894,16,0,1,400,D,1,D,3,D,12,D,,
20171,03391024,23,0,1,510,D,1,D,15,D,10,D,,
20171,03391024,24,0,1,510,D,1,D,15,D,11,D,,
20171,03391024,25,0,1,510,D,1,D,15,D,12,D,,
20171,03391024,26,0,1,210,D,1,D,40,D,10,D,,
20171,03391024,27,0,1,210,D,1,D,40,D,11,D,,
20171,03391024,28,0,1,210,D,1,D,40,D,12,D,,
20171,03391024,29,0,1,330,D,1,D,4,D,13,D,,
20171,03391024,30,0,1,340,D,1,D,14,D,12,D,,
20171,03391064,45,0,1,610,D,1,D,115,D,12,D,,
20171,03391064,46,0,1,610,D,1,D,115,D,11,D,,
20171,03391064,47,0,1,610,D,1,D,115,D,10,D,,
20171,03391064,48,0,1,310,D,1,D,15,D,10,D,,
20171,03391064,49,0,1,340,D,1,D,20,D,12,D,,
20171,03391184,28,0,1,360,D,1,D,20,D,13,D,,
20171,03391194,29,0,1,840,D,1,D,10,D,10,D,,
20171,03391194,30,0,1,840,D,1,D,10,D,11,D,,
20171,03391194,31,0,1,840,D,1,D,10,D,12,D,,
20171,03391194,32,0,1,360,D,1,D,10,D,13,D,,
20171,03391214,9,0,1,830,D,1,D,22,D,13,D,,
20171,03391234,14,0,1,370,D,1,D,22,D,11,D,,
20171,03391234,15,0,1,350,D,1,D,45,D,11,D,,
20171,03391284,32,0,1,500,D,1,D,400,D,12,D,,
20171,03391304,12,0,1,840,D,1,D,12,D,12,D,,
20171,03391304,13,0,1,360,D,1,D,10,D,13,D,,
20171,03391324,28,0,1,350,D,1,D,5,D,12,D,,
20171,03391374,34,0,1,830,D,1,D,99,D,13,D,,
20171,03391374,35,0,1,500,D,1,D,25,D,12,D,,
20171,03391374,36,0,1,210,D,1,D,20,D,12,D,,
20171,03391374,37,0,1,310,D,1,D,10,D,12,D,,
20171,03391374,38,0,1,310,D,2,D,10,D,12,D,,
20171,03391374,39,0,2,600,D,1,D,120,D,10,D,,
20171,03391374,40,0,2,500,D,1,D,9,D,10,D,,
20171,03391374,41,0,2,210,D,1,D,5,D,10,D,,
20171,03391394,18,0,1,610,D,1,D,160,D,10,D,,
20171,03391394,19,0,1,610,D,1,D,240,D,11,D,,
20171,03391394,20,0,1,360,D,1,D,8,D,13,D,,
20171,03391394,21,0,1,360,D,1,D,11,D,13,D,,
20171,03391394,22,0,1,360,D,1,D,15,D,13,D,,
20171,03391394,23,0,1,360,D,1,D,12,D,12,D,,
20171,03391434,22,0,1,510,D,1,D,44,D,12,D,,
20171,03391434,23,0,1,150,D,1,D,25,D,12,D,,
20171,03391434,24,0,1,210,D,1,D,40,D,12,D,,
20171,03391434,25,0,1,350,D,1,D,18,D,13,D,,
20171,03391434,26,0,2,510,D,1,D,100,D,10,D,,
20171,03391434,27,0,2,150,D,1,D,25,D,10,D,,
20171,03391434,28,0,2,210,D,1,D,20,D,10,D,,
20171,03391444,35,0,1,830,D,1,D,24,F,13,D,,
20171,03391444,36,0,1,510,D,1,D,40,D,12,D,,
20171,03391444,37,0,1,360,D,1,D,9,D,13,D,,
20171,03391484,22,0,1,370,D,1,D,60,D,12,D,,
20171,03391484,23,0,1,360,D,1,D,20,D,13,D,,
20171,03391484,24,0,1,410,D,1,D,60,D,12,D,,
20171,03391494,26,0,1,830,D,1,D,57,D,13,D,,
20171,03391504,20,0,1,360,D,1,D,11,D,13,D,,
20171,03391504,21,0,1,370,D,1,D,65,D,12,D,,
20171,03391524,20,0,1,830,D,1,D,11,D,13,D,,
20171,03391524,21,0,1,510,D,1,D,60,D,11,D,,
20171,03391524,22,0,1,600,D,1,D,80,D,12,D,,
20171,03391574,23,0,1,360,D,1,D,12,D,13,D,,
20171,03391594,41,0,1,210,D,1,D,14,D,12,D,,
20171,03391594,42,0,1,510,D,1,D,4,D,10,D,,
20171,03391594,43,0,1,510,D,1,D,8,D,12,D,,
20171,03391594,44,0,1,310,D,2,D,15,D,12,D,,
20171,03391594,45,0,2,510,D,1,D,15,D,10,D,,
20171,03391614,17,0,1,200,D,1,D,5,D,13,D,,
20171,03391614,18,0,1,160,D,1,D,12,D,10,D,,
20171,03391674,46,0,1,350,D,1,D,12,D,13,D,,
20171,03391674,47,0,2,840,D,1,D,5,D,10,D,,
20171,03391754,31,0,1,340,D,1,D,20,D,12,D,,
20171,03391894,41,0,1,830,D,1,D,44,D,13,D,,
20171,03391894,42,0,1,360,D,1,D,10,D,13,D,,
20171,03391894,43,0,1,330,D,1,D,10,D,13,D,,
20171,03392004,24,0,1,830,D,1,D,30,D,13,D,,
20171,03392004,25,0,1,500,D,1,D,100,D,12,D,,
20171,03392004,26,0,1,500,D,1,D,90,D,10,D,,
20171,03392004,27,0,1,500,D,1,D,120,D,11,D,,
20171,03392044,42,0,1,600,D,1,D,380,D,11,D,,
20171,03392044,43,0,1,360,D,1,D,13,D,13,D,,
20171,03392114,26,0,1,600,D,1,D,60,D,11,D,,
20171,03392124,54,0,1,500,D,1,D,85,D,11,D,,
