QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,HHIPDLIB,HHIP_LIB,HHISTATB,HHIS_ATB,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIPRDED,HHIP_DED,HHIR_MPD,QHI3MCX,QHI3MCX_,HHIBCBS,HHIBCBS_,HHICODE,HHICODE_,HHIPOS,HHIPOS_,HHISPECT,HHIS_ECT,HHIPROUT,HHIP_OUT,HHIPRYOU,HHIP_YOU,HHIRPMPD,HHISUBPD,HHIS_BPD,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS
20171,03427504,3,0,5,01,D,,A,1,D,2,D,1,D,D,488,D,2,D,1,D,2,D,,A,,A,1,D,02,,A,,A,,A,,A
20171,03427554,7,0,5,02,D,,A,5,D,2,D,,A,A,,A,2,D,2,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
20171,03427574,9,0,5,01,D,,A,3,D,2,D,1,D,D,210,D,2,D,4,D,,A,3,D,,A,1,D,04,,A,,A,,A,,A
20171,03427594,5,0,5,01,D,,A,1,D,1,D,2,D,D,105,D,2,D,1,D,2,D,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03427594,6,0,5,02,D,,A,1,D,1,D,2,D,D,81,D,2,D,1,D,1,D,,A,,A,1,D,04,1,D,1,D,4,D,1,D
20171,03427604,5,0,5,01,D,,A,3,D,2,D,1,D,D,1950,D,2,D,1,D,1,D,,A,,A,1,D,02,,A,,A,,A,,A
20171,03427614,29,0,5,01,D,,A,2,D,2,D,2,D,D,780,D,1,D,2,D,,A,,A,,A,1,D,03,,A,,A,,A,,A
20171,03427614,30,0,5,02,D,,A,2,D,2,D,1,D,D,72,D,2,D,4,D,,A,1,D,,A,1,D,03,,A,,A,,A,,A
20171,03427614,31,0,5,03,D,,A,2,D,2,D,1,D,D,42,D,2,D,4,D,,A,2,D,,A,1,D,03,,A,,A,,A,,A
20171,03427624,10,0,5,01,D,,A,2,D,2,D,1,D,D,1500,D,2,D,1,D,1,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03427624,11,0,5,02,D,,A,2,D,2,D,1,D,D,384,D,2,D,4,D,,A,2,D,,A,1,D,04,,A,,A,,A,,A
20171,03427634,6,0,5,01,D,,A,1,D,3,D,2,D,D,462,D,2,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03427634,7,0,1,02,D,,A,1,D,3,D,2,D,D,78,D,2,D,1,D,1,D,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03427654,6,0,5,01,D,,A,1,D,2,D,1,D,D,1300,D,1,D,2,D,,A,,A,,A,1,D,02,,A,,A,,A,,A
20171,03427694,3,0,1,01,D,,A,2,D,2,D,1,D,D,780,D,2,D,2,D,,A,,A,,A,1,D,01,,A,,A,,A,,A
20171,03427724,3,0,5,01,D,,A,1,D,2,D,1,D,C,1118,F,2,D,2,D,,A,,A,,A,1,D,,,A,,A,,A,,A
20171,03427824,23,0,5,01,D,,A,2,D,2,D,1,D,D,520,D,1,D,2,D,,A,,A,,A,1,D,01,,A,,A,,A,,A
20171,03427824,24,0,5,02,D,,A,2,D,2,D,1,D,D,39,D,2,D,4,D,,A,1,D,,A,1,D,01,,A,,A,,A,,A
20171,03427824,25,0,5,03,D,,A,2,D,2,D,1,D,D,39,D,2,D,4,D,,A,2,D,,A,1,D,01,,A,,A,,A,,A
20171,03427834,3,0,5,01,D,,A,1,D,1,D,2,D,D,1050,D,1,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03427854,6,0,1,01,D,,A,2,D,2,D,1,D,D,1580,F,2,D,1,D,1,D,,A,,A,1,D,02,,A,,A,,A,,A
20171,03427944,19,0,5,01,D,,A,3,D,2,D,1,D,D,690,D,2,D,2,D,,A,,A,,A,1,D,03,,A,,A,,A,,A
20171,03427944,20,0,5,02,D,,A,2,D,2,D,1,D,D,150,D,2,D,4,D,,A,1,D,,A,1,D,03,,A,,A,,A,,A
20171,03427944,21,0,5,03,D,,A,1,D,2,D,1,D,D,48,D,2,D,4,D,,A,1,D,,A,1,D,03,,A,,A,,A,,A
20171,03428014,7,0,5,01,D,,A,4,D,2,D,,A,A,,A,2,D,5,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
