QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20174,03692812,1,0,1,195,D,1,D,09,D,849,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03692872,1,0,1,120,D,1,D,07,D,247,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03692872,2,0,2,120,D,1,D,07,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03694122,1,0,1,195,D,1,D,09,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03694802,1,0,1,120,D,1,D,09,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695032,1,0,1,120,D,1,D,08,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695262,1,0,2,120,D,1,D,07,D,142,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695362,1,0,1,120,D,1,D,09,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695532,1,0,2,140,D,1,D,07,D,318,D,,A,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695762,1,0,2,120,D,1,D,07,D,407,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695762,2,0,2,140,D,1,D,07,D,1926,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695762,3,0,2,100,D,1,D,07,D,856,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695842,1,0,1,120,D,1,D,09,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03695842,2,0,1,140,D,1,D,09,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03696042,1,0,1,195,D,1,D,09,D,424,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03696192,1,0,1,120,D,1,D,08,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03696562,1,0,1,120,D,1,D,08,D,349,F,,A,100,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03696822,1,0,1,140,D,1,D,09,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03696822,2,0,1,195,D,1,D,09,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03697192,1,0,1,195,D,1,D,09,D,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03697362,1,0,2,195,D,1,D,07,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03697412,1,0,1,120,D,1,D,07,D,249,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03697652,1,0,1,120,D,1,D,08,D,87,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698232,1,0,1,195,D,1,D,09,D,424,D,,A,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698312,1,0,1,195,D,1,D,07,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698352,1,0,1,140,D,1,D,08,D,1481,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698352,2,0,1,100,D,1,D,08,D,749,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698382,1,0,1,100,D,1,D,09,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698712,2,0,1,210,D,1,D,09,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698722,1,0,1,120,D,1,D,09,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698812,1,0,1,120,D,1,D,07,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03698902,1,0,1,140,D,1,D,07,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699002,1,0,1,140,D,1,D,08,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699042,1,0,1,120,D,1,D,09,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699352,1,0,1,120,D,1,D,07,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,1,0,1,220,D,1,D,08,D,,H,,A,,A,100,D,120,D,,A,,A,,A,,A,,A,,A,,A
20174,03699492,1,1,1,100,D,1,D,08,D,296,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,1,2,1,120,D,1,D,08,D,104,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,2,0,1,220,D,1,D,08,D,,H,,A,,A,140,D,120,D,,A,,A,,A,,A,,A,,A,,A
20174,03699492,2,1,1,140,D,1,D,08,D,769,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,2,2,1,120,D,1,D,08,D,231,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,3,0,1,220,D,1,D,08,D,,H,,A,,A,160,D,140,D,,A,,A,,A,,A,,A,,A,,A
20174,03699492,3,1,1,160,D,1,D,08,D,980,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,3,2,1,140,D,1,D,08,D,1020,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,4,0,1,220,D,1,D,08,D,,H,,A,,A,195,D,160,D,,A,,A,,A,,A,,A,,A,,A
20174,03699492,4,1,1,195,D,1,D,08,D,255,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,4,2,1,160,D,1,D,08,D,245,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,5,0,1,220,D,1,D,08,D,,H,,A,,A,220,D,195,D,,A,,A,,A,,A,,A,,A,,A
20174,03699492,5,1,1,100,D,1,D,08,D,450,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,5,2,1,140,D,1,D,08,D,523,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,5,3,1,160,D,1,D,08,D,502,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699492,5,4,1,195,D,1,D,08,D,525,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699752,1,0,2,195,D,1,D,07,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699822,1,0,1,220,D,1,D,08,D,,H,,A,,A,140,D,160,D,100,D,,A,,A,,A,,A,,A,,A
20174,03699822,1,1,1,140,D,1,D,08,D,2046,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699822,1,2,1,160,D,1,D,08,D,550,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699822,1,3,1,100,D,1,D,08,D,1180,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699842,1,0,1,195,D,3,D,09,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03699862,1,0,1,120,D,1,D,07,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03700162,1,0,1,140,D,1,D,07,D,780,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03700372,1,0,1,220,D,1,D,08,D,,H,,A,,H,160,D,195,D,,A,,A,,A,,A,,A,,A,,A
20174,03700372,1,1,1,160,D,1,D,08,D,405,E,,A,10,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03700372,1,2,1,195,D,1,D,08,D,1595,E,,A,10,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03700652,1,0,1,195,D,1,D,07,D,423,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03700942,1,0,1,120,D,1,D,08,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03701012,1,0,1,195,D,1,D,09,D,312,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03701022,1,0,2,220,D,1,D,07,D,,H,,A,,H,140,D,100,D,,A,,A,,A,,A,,A,,A,,A
20174,03701022,1,1,2,140,D,1,D,07,D,1675,E,,A,10,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03701022,1,2,2,100,D,1,D,07,D,532,E,,A,10,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03701072,1,0,1,195,D,1,D,07,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03701562,1,0,1,140,D,1,D,09,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03702262,1,0,1,160,D,1,D,07,D,378,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03702262,2,0,1,100,D,1,D,07,D,648,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03702262,3,0,1,100,D,1,D,07,D,1944,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713262,1,0,1,120,D,1,D,10,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713272,1,0,1,140,D,1,D,10,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713272,2,0,1,195,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713272,3,0,1,195,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713532,1,0,1,120,D,1,D,08,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713622,1,0,1,120,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713622,2,0,1,100,D,1,D,10,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713622,3,0,1,210,D,1,D,10,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713622,4,0,1,140,D,1,D,10,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713622,5,0,1,160,D,1,D,10,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713622,6,0,1,195,D,1,D,10,D,850,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713742,1,0,1,120,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03713742,2,0,1,140,D,1,D,10,D,3500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03714212,1,0,1,120,D,1,D,10,D,212,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03714352,1,0,1,195,D,1,D,09,D,2361,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03714462,1,0,1,195,D,2,D,,A,,A,184,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03714692,1,0,1,195,D,1,D,10,D,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03714902,1,0,1,120,D,1,D,08,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03715542,1,0,1,195,D,1,D,09,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03715682,1,0,1,195,D,1,D,10,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03716282,1,0,1,220,D,1,D,08,D,,H,,A,,A,220,D,120,D,,A,,A,,A,,A,,A,,A,,A
20174,03716282,1,1,1,120,D,1,D,08,D,50,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03716522,1,0,1,120,D,1,D,09,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03716832,1,0,1,140,D,1,D,10,D,1234,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03716872,1,0,1,195,D,1,D,10,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03717062,1,0,1,140,D,1,D,08,D,493,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03717342,1,0,2,140,D,1,D,08,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03717402,1,0,1,220,D,1,D,09,D,,H,,A,,A,120,D,100,D,,A,,A,,A,,A,,A,,A,,A
20174,03717402,1,1,1,120,D,1,D,09,D,192,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03717402,1,2,1,100,D,1,D,09,D,1808,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03717402,2,0,2,180,D,1,D,08,D,182,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03717472,1,0,2,120,D,1,D,08,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03717612,1,0,1,120,D,1,D,09,D,149,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03718302,1,0,1,195,D,2,D,,A,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03719392,1,0,1,195,D,1,D,09,D,3033,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03719892,1,0,1,195,D,1,D,10,D,433,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20174,03719942,1,0,1,170,D,1,D,10,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
