QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20171,03394934,24,0,5,01,D,105,D,2006,D,,A,60,D,07,D,207,D,3,D,,A,,A,5000,D,,A,,A,207,D,207,D,207,D,,A,,A,,A,5000,D,,A,D,,A,2016,D,CHE
20171,03395034,21,0,5,01,D,105,D,2016,D,,A,39,D,03,D,235,D,3,D,,A,,A,700,D,,A,,A,235,D,235,D,235,D,,A,,A,,A,700,D,,A,D,,A,2016,D,HON
20171,03395294,11,0,5,01,D,105,D,2014,D,,A,39,D,06,D,496,D,3,D,,A,,A,,A,,A,,A,496,D,496,D,496,D,,A,,A,,A,,A,,A,D,,A,2014,D,CAD
20171,03395514,16,0,5,01,D,105,D,2016,D,,A,3,D,04,D,328,D,3,D,,A,2000,D,3500,D,,A,,A,328,D,328,D,328,D,,A,,A,,A,3500,D,,A,D,,A,2016,D,SUB
20171,03396104,23,0,5,01,D,105,D,2016,D,,A,36,D,04,D,385,D,3,D,,A,,A,,A,,A,,A,385,D,385,D,385,D,,A,,A,,A,,A,,A,D,,A,2016,D,HON
20171,03396404,23,0,5,02,D,105,D,2015,D,,A,36,D,07,D,248,D,3,D,,A,4500,D,,A,,A,,A,248,D,248,D,248,D,,A,,A,,A,,A,,A,D,,A,2015,D,CHR
20171,03396404,24,0,5,03,D,105,D,2016,D,,A,39,D,08,D,189,D,3,D,,A,800,D,,A,,A,,A,189,D,189,D,189,D,,A,,A,,A,,A,,A,D,,A,2015,D,TOY
20171,03396404,25,0,5,04,D,105,D,2016,D,,A,36,D,06,D,252,D,3,D,,A,,A,2500,D,,A,,A,252,D,252,D,252,D,,A,,A,,A,2500,D,,A,D,,A,2016,D,HYU
20171,03407694,21,0,5,01,D,105,D,2014,D,,A,36,D,05,D,292,D,3,D,,A,,A,500,D,,A,,A,292,D,292,D,292,D,,A,,A,,A,500,D,,A,D,,A,2014,D,MAZ
20171,03407724,18,0,5,01,D,105,D,2010,D,,A,84,D,05,D,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2010,D,CHE
20171,03407724,19,0,5,02,D,105,D,2007,D,,A,,C,10,F,500,D,3,D,,A,,A,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2011,D,FOR
20171,03408024,9,0,5,01,D,105,D,2013,D,,A,52,D,06,D,250,D,3,D,,A,,A,3000,D,,A,,A,250,D,250,D,250,D,,A,,A,,A,3000,D,,A,D,,A,2013,D,TOY
20171,03408734,6,0,5,01,D,105,D,2002,D,,A,12,D,05,D,200,D,3,D,,A,,A,1800,D,,A,,A,200,D,200,D,200,D,,A,,A,,A,1800,D,,A,D,,A,2016,D,JEE
20171,03408974,13,0,5,01,D,105,D,2016,D,,A,60,D,08,F,400,D,3,D,,A,,A,5000,D,,A,,A,400,D,400,D,400,D,,A,,A,,A,5000,D,,A,D,,A,2015,D,SUB
20171,03409294,15,0,1,01,D,105,D,2017,D,,A,36,D,02,D,180,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2017,D,CHE
20171,03409464,31,0,5,01,D,105,D,2015,D,,A,1,D,08,D,5200,D,7,D,,A,,A,5200,D,,A,,A,,A,,A,,A,,A,,A,,A,5200,D,,A,D,,A,2015,D,CHE
20171,03409984,18,0,5,01,D,105,D,2016,D,,A,36,D,08,D,205,D,3,D,,A,,A,2000,D,,A,,A,205,D,205,D,205,D,,A,,A,,A,2000,D,,A,D,,A,2016,D,HON
20171,03410054,61,0,5,01,D,105,D,2014,D,,A,39,D,02,D,282,D,3,D,,A,,A,,A,,A,12,D,282,D,282,D,,A,,A,,A,,A,,A,,A,D,,A,2014,D,NIS
20171,03410054,62,0,5,02,D,105,D,2016,D,,A,24,D,02,D,255,D,3,D,,A,,A,,A,,A,,A,255,D,255,D,255,D,,A,,A,,A,,A,,A,D,,A,2016,D,BUI
20171,03410054,63,0,1,03,D,105,D,2016,D,,A,36,D,01,D,307,D,3,D,,A,3500,D,,A,,A,,A,,A,,A,307,D,,A,,A,,A,,A,,A,D,,A,2017,D,NIS
20171,03410704,20,0,5,01,D,105,D,2014,D,,A,39,D,04,D,350,D,3,D,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2014,D,GMC
20171,03410704,21,0,5,02,D,105,D,2015,D,,A,39,D,06,F,500,D,3,D,,A,,A,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2015,D,BUI
20171,03410994,22,0,1,01,D,105,D,2017,D,,A,24,D,02,D,540,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2017,D,FOR
20171,03411854,18,0,5,01,D,105,D,2014,D,,A,36,D,10,D,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2014,D,CHE
20171,03411854,19,0,5,02,D,105,D,2015,D,,A,36,D,11,D,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2014,D,CHE
20171,03411894,19,0,5,01,D,105,D,2014,D,,A,36,D,07,D,430,D,3,D,,A,,A,,A,,A,,A,430,D,430,D,430,D,,A,,A,,A,,A,,A,D,,A,2014,D,CHE
20171,03412204,14,0,5,01,D,105,D,2016,D,,A,36,D,06,D,345,D,3,D,,A,,A,,A,,A,,A,345,D,345,D,345,D,,A,,A,,A,,A,,A,D,,A,2015,D,MAZ
20171,03412574,15,0,5,01,D,105,D,2015,D,,A,36,D,01,D,335,D,3,D,,A,,A,,A,,A,,A,335,D,335,D,335,D,,A,,A,,A,,A,,A,D,,A,2015,D,BUI
20171,03414234,19,0,5,02,D,105,D,2016,D,,A,36,D,07,D,318,D,3,D,,A,,A,1500,D,,A,,A,318,D,318,D,318,D,,A,,A,,A,1500,D,,A,D,,A,2016,D,FOR
20171,03414414,11,0,5,01,D,105,D,2014,D,,A,,C,01,D,,C,3,D,,A,,A,,C,,A,,A,220,F,220,F,220,F,20,F,20,F,20,F,,B,,A,D,,A,2016,D,FOR
20171,03414694,38,0,5,01,D,105,D,2014,D,,A,39,D,05,D,302,D,3,D,,A,,A,,C,,A,,A,302,D,302,D,302,D,,A,,A,,A,,B,,A,D,,A,2014,D,CHE
20171,03414694,39,0,5,02,D,105,D,2015,D,,A,39,D,07,D,369,D,3,D,,A,,A,669,D,,A,,A,369,D,369,D,369,D,,A,,A,,A,669,D,,A,D,,A,2014,D,CHE
20171,03414694,40,0,5,03,D,105,D,2015,D,,A,36,D,05,D,200,D,3,D,,A,,C,,A,,A,,A,200,D,200,D,200,D,,A,,A,,A,,A,,A,D,,A,2016,D,CHE
20171,03414824,17,0,5,01,D,105,D,2015,D,,A,30,D,06,D,329,D,3,D,,A,2000,D,4000,D,,A,,A,329,D,329,D,329,D,,A,,A,,A,4000,D,,A,D,,A,2015,D,BMW
20171,03415214,15,0,5,01,D,105,D,2015,D,,A,36,D,03,D,114,D,3,D,,A,,A,,A,,A,,A,114,D,114,D,114,D,,A,,A,,A,,A,,A,D,,A,2015,D,HYU
20171,03415334,19,0,5,01,D,105,D,2015,D,,A,36,D,03,D,375,D,3,D,,A,,A,2000,D,,A,,A,375,D,375,D,375,D,,A,,A,,A,2000,D,,A,D,,A,2015,D,BUI
20171,03415444,27,0,5,01,D,105,D,2016,D,,A,36,D,03,D,275,D,3,D,,A,10500,D,,A,,A,,A,275,D,275,D,275,D,,A,,A,,A,,A,,A,D,,A,2016,D,JEE
20171,03415484,23,0,5,01,D,105,D,2016,D,,A,3,D,04,D,250,D,3,D,,A,1000,D,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,D,,A,2016,D,HON
20171,03415564,29,0,5,01,D,105,D,2016,D,,A,36,D,07,D,299,D,3,D,,A,,A,3000,D,,A,,A,299,D,299,D,299,D,,A,,A,,A,3000,D,,A,D,,A,2015,D,NIS
20171,03415594,15,0,5,01,D,105,D,2016,D,,A,24,D,10,D,303,D,3,D,,A,,A,1500,D,,A,,A,303,D,303,D,303,D,,A,,A,,A,1500,D,,A,D,,A,2016,D,MAZ
20171,03415714,15,0,5,01,D,105,D,2015,D,,A,36,D,12,D,307,D,3,D,,A,,C,,A,,A,,A,307,D,307,D,307,D,,A,,A,,A,,A,,A,D,,A,2014,D,HON
20171,03415744,4,0,5,01,D,105,D,2015,D,,A,32,D,08,D,500,D,3,D,,A,,A,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2015,D,LIN
20171,03417014,9,0,5,01,D,105,D,2016,D,,A,36,D,06,D,,C,3,D,,A,,A,,A,,A,,A,501,F,501,F,501,F,,A,,A,,A,,A,,A,D,,A,2016,D,NIS
20171,03417164,6,0,5,01,D,105,D,2008,D,,A,72,D,08,D,282,D,3,D,,A,1000,D,,A,,A,,A,282,D,282,D,282,D,,A,,A,,A,,A,,A,D,,A,2011,D,JEE
20171,03417194,23,0,5,02,D,105,D,2014,D,,A,48,D,05,D,220,D,3,D,,A,,A,,A,,A,,A,220,D,220,D,220,D,,A,,A,,A,,A,,A,D,,A,2014,D,CHE
20171,03417194,24,0,5,03,D,105,D,2016,D,,A,24,D,05,D,270,D,3,D,,A,,A,,A,,A,,A,270,D,270,D,270,D,,A,,A,,A,,A,,A,D,,A,2016,D,CHE
20171,03417194,25,0,5,04,D,105,D,2015,D,,A,39,D,09,D,314,D,3,D,,A,,A,,A,,A,,A,314,D,314,D,314,D,,A,,A,,A,,A,,A,D,,A,2015,D,BUI
20171,03417194,26,0,5,05,D,105,D,2016,D,,A,24,D,11,D,400,D,3,D,,A,,A,,A,,A,,A,400,D,400,D,400,D,,A,,A,,A,,A,,A,D,,A,2016,D,DOD
20171,03417194,27,0,5,06,D,105,D,2016,D,,A,36,D,09,D,330,D,3,D,,A,,A,5000,D,,A,,A,330,D,330,D,330,D,,A,,A,,A,5000,D,,A,D,,A,2016,D,JEE
20171,03417544,16,0,5,01,D,105,D,2013,D,,A,36,D,11,D,506,D,3,D,,A,6000,D,2000,D,,A,11,D,506,D,,A,,A,,A,,A,,A,2000,D,,A,D,,A,2013,D,TOY
20171,03417544,17,0,1,02,D,105,D,2013,D,,A,60,D,01,D,460,D,3,D,,A,,A,,A,,A,12,D,,A,,A,,A,,A,,A,,A,,A,,A,D,2016,D,2014,D,TOY
20171,03417614,11,0,5,01,D,105,D,2016,D,,A,36,D,09,D,220,D,3,D,,A,1000,D,5000,D,,A,,A,220,D,220,D,220,D,20,D,20,D,20,D,5000,D,,A,D,,A,2016,D,SUB
20171,03417724,24,0,5,01,D,105,D,2009,D,,A,60,D,02,D,300,D,3,D,,A,600,D,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2016,D,TOY
20171,03417724,26,0,5,03,D,105,D,2016,D,,A,36,D,06,D,,C,3,D,,A,,A,,A,,A,,A,358,F,358,F,358,F,,A,,A,,A,,A,,A,D,,A,2016,D,TOY
20171,03418564,24,0,5,01,D,105,D,2014,D,,A,36,D,01,D,275,D,3,D,,A,,A,,A,,A,,A,275,D,275,D,275,D,,A,,A,,A,,A,,A,D,,A,2015,D,MAZ
20171,03419604,20,0,5,01,D,105,D,2006,D,,A,48,D,02,D,324,D,3,D,,A,800,D,800,D,,A,01,D,324,D,324,D,324,D,,A,,A,,A,800,D,,A,D,,A,2016,D,CHE
20171,03420804,17,0,5,01,D,105,D,2014,D,,A,,C,05,D,230,D,3,D,,A,,A,,A,,A,,A,230,D,230,D,230,D,,A,,A,,A,,A,,A,D,,A,2014,D,HON
20171,03420924,37,0,5,01,D,105,D,2016,D,,A,39,D,04,D,398,D,3,D,,A,7000,D,5000,D,,A,,A,398,D,398,D,398,D,,A,,A,,A,5000,D,,A,D,,A,2016,D,LIN
20171,03421304,9,0,5,01,D,105,D,2015,D,,A,,C,03,D,350,D,3,D,,A,,C,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2014,D,HYU
20171,03421774,24,0,5,01,D,105,D,2015,D,,A,48,D,04,D,403,D,3,D,,A,,A,,A,,A,,A,403,D,403,D,403,D,,A,,A,,A,,A,,A,D,,A,2016,D,TOY
20171,03422674,18,0,5,01,D,105,D,2015,D,,A,36,D,09,D,485,D,3,D,,A,,A,3000,D,,A,,A,485,D,485,D,485,D,,A,,A,,A,3000,D,,A,D,,A,2015,D,INF
20171,03422954,23,0,5,01,D,105,D,2013,D,,A,60,D,10,D,233,D,3,D,,A,500,D,6000,D,,A,,A,233,D,233,D,233,D,,A,,A,,A,6000,D,,A,D,,A,2015,D,TOY
20171,03423794,22,0,1,01,D,105,D,2017,D,,A,3,D,02,D,275,D,3,D,,A,7000,D,,A,,A,,A,,A,,A,275,D,,A,,A,,A,,A,,A,D,,A,2017,D,TOY
20171,03423964,20,0,5,01,D,105,D,2015,D,,A,24,D,06,D,280,D,3,D,,A,,A,3000,D,,A,,A,280,D,280,D,280,D,,A,,A,,A,3000,D,,A,D,,A,2015,D,FOR
20171,03423964,21,0,5,02,D,105,D,2015,D,,A,36,D,07,D,500,D,3,D,,A,,A,5000,D,,A,,A,500,D,500,D,500,D,,A,,A,,A,5000,D,,A,D,,A,2015,D,LIN
20171,03423964,22,0,5,03,D,105,D,2015,D,,A,36,D,09,D,520,D,3,D,,A,,A,3000,D,,A,,A,520,D,520,D,520,D,,A,,A,,A,3000,D,,A,D,,A,2016,D,FOR
20171,03425224,22,0,5,01,D,105,D,2015,D,,A,36,D,11,D,720,D,3,D,,A,23000,D,,A,,A,,A,720,D,720,D,720,D,,A,,A,,A,,A,,A,D,,A,2015,D,CHE
20171,03425434,11,0,1,01,D,105,D,2016,D,,A,36,D,01,D,189,D,3,D,,A,,A,,A,,A,,A,,A,189,D,189,D,,A,,A,,A,,A,,A,D,,A,2017,D,TOY
20171,03425564,44,0,5,01,D,105,D,2016,D,,A,36,D,03,D,259,D,3,D,,A,,A,,A,,A,,A,259,D,259,D,259,D,,A,,A,,A,,A,,A,D,,A,2016,D,TOY
20171,03425564,45,0,5,02,D,105,D,2015,D,,A,36,D,06,D,329,D,3,D,,A,,A,,A,,A,,A,329,D,329,D,329,D,,A,,A,,A,,A,,A,D,,A,2015,D,TOY
20171,03425564,46,0,5,03,D,105,D,2016,D,,A,36,D,06,D,259,D,3,D,,A,,A,,A,,A,,A,259,D,259,D,259,D,,A,,A,,A,,A,,A,D,,A,2016,D,TOY
20171,03425664,14,0,5,01,D,105,D,2013,D,,A,,C,02,D,700,D,3,D,,A,,A,,A,,A,,A,700,D,700,D,700,D,,A,,A,,A,,A,,A,D,,A,2013,D,TOY
20171,03425664,15,0,5,02,D,105,D,2006,D,,A,,C,05,F,347,D,3,D,,A,,A,,A,,A,,A,347,D,347,D,347,D,,A,,A,,A,,A,,A,D,,A,2016,F,JEE
20171,03425764,24,0,5,01,D,105,D,2014,D,,A,,C,08,D,211,D,3,D,,A,,A,,C,,A,,A,211,D,211,D,211,D,,A,,A,,A,,B,,A,D,,A,2014,D,CHE
20171,03426394,20,0,5,01,D,105,D,2016,D,,A,36,D,06,D,487,D,3,D,,A,,A,,A,,A,,A,487,D,487,D,487,D,,A,,A,,A,,A,,A,D,,A,2016,D,FOR
20171,03426834,19,0,5,01,D,105,D,2015,D,,A,36,D,06,D,209,D,3,D,,A,1000,D,,A,,A,,A,209,D,209,D,209,D,,A,,A,,A,,A,,A,D,,A,2015,D,NIS
20171,03426834,20,0,5,02,D,105,D,2014,D,,A,36,D,06,D,209,D,3,D,,A,,A,1000,D,,A,,A,209,D,209,D,209,D,,A,,A,,A,1000,D,,A,D,,A,2014,D,NIS
20171,03426964,21,0,5,01,D,105,D,2015,D,,A,42,D,12,D,370,D,3,D,,A,7000,D,,A,,A,,A,370,D,370,D,370,D,,A,,A,,A,,A,,A,D,,A,2015,D,JEE
20171,03427244,10,0,5,02,D,105,D,2016,D,,A,36,D,11,D,369,D,3,D,,A,,A,,A,,A,,A,369,D,369,D,369,D,,A,,A,,A,,A,,A,D,,A,2016,D,FOR
20171,03427384,26,0,5,01,D,105,D,2016,D,,A,36,D,01,D,400,D,3,D,,A,,A,3000,D,,A,,A,400,D,400,D,400,D,17,D,17,D,17,D,3000,D,,A,D,,A,2016,D,JEE
20171,03428054,6,0,5,01,D,105,D,2014,D,,A,36,D,06,D,300,D,3,D,,A,,A,,A,,A,02,D,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2014,D,JEE
20171,03428054,7,0,1,02,D,105,D,2017,D,,A,48,D,02,D,319,D,3,D,,A,,A,500,D,,A,,A,,A,,A,319,D,,A,,A,,A,500,D,,A,D,,A,2017,D,JEE
20171,03428544,22,0,5,01,D,105,D,2016,D,,A,36,D,12,D,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2015,D,HON
20171,03428984,5,0,5,01,D,105,D,2015,D,,A,36,D,05,D,,C,3,D,,A,,A,,A,,A,,A,1083,F,1083,F,1083,F,,A,,A,,A,,A,,A,D,,A,2015,D,NIS
20171,03441823,43,0,5,01,D,105,D,2015,D,,A,39,D,11,D,358,D,3,D,,A,14000,D,,A,,A,,A,358,D,358,D,358,D,,A,,A,,A,,A,,A,D,,A,2015,D,DOD
20171,03441863,19,0,5,01,D,105,D,2014,D,,A,36,D,06,D,424,D,3,D,,A,2500,D,2500,D,,A,,A,424,D,424,D,424,D,,A,,A,,A,2500,D,,A,D,,A,2014,D,MAZ
20171,03442363,47,0,5,02,D,105,D,2014,D,,A,39,D,03,D,564,D,3,D,,A,,A,,A,,A,,A,564,D,564,D,564,D,,A,,A,,A,,A,,A,D,,A,2014,D,INF
20171,03443493,3,0,5,01,D,105,D,2016,D,,A,36,D,06,D,249,D,3,D,,A,2000,D,1000,D,,A,,A,249,D,249,D,249,D,,A,,A,,A,1000,D,,A,D,,A,2016,D,HYU
20171,03443493,4,0,5,02,D,105,D,2014,D,,A,36,D,04,D,183,D,3,D,,A,,A,2500,D,,A,,A,183,D,183,D,183,D,14,D,14,D,14,D,2500,D,,A,D,,A,2014,D,HYU
20171,03443613,13,0,5,01,D,105,D,2016,D,,A,36,D,04,D,325,D,3,D,,A,11000,D,100,D,,A,,A,325,D,325,D,325,D,,A,,A,,A,100,D,,A,D,,A,2016,D,DOD
20171,03443953,5,0,1,01,D,105,D,2016,D,,A,48,D,12,D,500,D,3,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A,,A,,A,,A,,A,D,,A,2016,D,NIS
20171,03443953,6,0,1,02,D,105,D,2014,D,,A,48,D,12,D,500,D,3,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A,,A,,A,,A,,A,D,,A,2016,D,BMW
20171,03444553,8,0,5,01,D,105,D,2015,D,,A,36,D,09,F,370,D,3,D,,A,,C,,A,,A,,A,370,D,370,D,370,D,,A,,A,,A,,A,,A,D,,A,2015,D,INF
20171,03444713,17,0,5,01,D,105,D,2016,D,,A,36,D,05,D,363,D,3,D,,A,,A,,A,,A,,A,363,D,363,D,363,D,,A,,A,,A,,A,,A,D,,A,2016,D,TOY
20171,03444823,8,0,1,01,D,105,D,2016,D,,A,36,D,05,D,575,D,3,D,,A,,A,,A,,A,,A,575,D,575,D,575,D,,A,,A,,A,,A,,A,D,,A,2016,D,HON
20171,03445553,23,0,5,01,D,105,D,2016,D,,A,42,D,04,D,275,D,3,D,,A,,A,,A,,A,,A,275,D,275,D,275,D,,A,,A,,A,,A,,A,D,,A,2016,D,SUB
20171,03447323,27,0,5,02,D,105,D,2017,D,,A,36,D,10,D,396,D,3,D,,A,,A,,A,,A,,A,396,D,396,D,396,D,,A,,A,,A,,A,,A,D,,A,2016,D,SUB
