QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_,EQBPURCH
20171,03394454,4,0,1,190,D,12,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394644,17,0,1,150,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394804,22,0,1,110,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394804,23,0,1,110,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394804,24,0,1,100,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394804,25,0,1,100,D,12,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394924,6,0,1,190,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394924,7,0,1,190,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394924,8,0,2,190,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394934,14,0,1,190,D,11,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03394934,15,0,2,100,D,10,D,81,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03395034,9,0,1,220,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03395074,4,0,1,190,D,10,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03395074,5,0,1,190,D,11,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03395304,9,0,1,190,D,12,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03396874,1,0,1,110,D,11,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03397014,33,0,1,170,D,12,D,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03407634,19,0,2,200,D,11,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03407754,31,0,1,200,D,01,D,211,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03407824,6,0,1,190,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408074,7,0,1,190,D,01,D,134,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408224,5,0,1,110,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408484,3,0,1,110,D,11,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408484,4,0,1,110,D,12,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408484,5,0,1,110,D,01,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408684,5,0,2,130,D,11,D,725,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408724,16,0,1,200,D,11,D,283,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408724,17,0,1,190,D,01,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408724,18,0,1,190,D,11,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408724,19,0,1,190,D,12,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03408724,20,0,2,190,D,11,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03409194,19,0,1,190,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03409194,20,0,1,190,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03409194,21,0,1,190,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03409494,11,0,1,190,D,01,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03409494,12,0,2,190,D,11,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03409554,1,0,1,220,D,12,D,178,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03410054,30,0,1,220,D,01,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03410364,5,0,2,190,D,11,D,389,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03410624,5,0,1,190,D,01,D,169,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03410794,4,0,1,190,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03410814,6,0,1,190,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03410874,5,0,1,200,D,11,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03410924,4,0,2,190,D,11,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03410994,9,0,2,190,D,11,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03411114,11,0,1,200,D,11,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03411524,3,0,2,190,D,11,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03411734,6,0,2,200,D,11,D,155,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412114,17,0,1,110,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412114,18,0,1,110,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412134,1,0,1,190,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412384,7,0,1,190,D,01,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412384,8,0,1,190,D,12,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412384,9,0,2,190,D,11,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412484,6,0,1,190,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412674,1,0,2,110,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412734,7,0,1,200,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03412784,8,0,2,130,D,11,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413214,11,0,1,110,D,01,D,103,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413214,12,0,1,110,D,11,D,103,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413214,13,0,1,110,D,12,D,103,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413214,14,0,2,110,D,11,D,103,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413244,12,0,1,220,D,01,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413324,4,0,1,200,D,01,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413794,7,0,1,190,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413794,8,0,1,190,D,11,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413794,9,0,1,190,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413794,10,0,2,190,D,11,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03413854,21,0,1,110,D,12,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414074,3,0,1,190,D,01,D,174,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414284,6,0,1,110,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414284,7,0,1,110,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414284,8,0,1,110,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414364,11,0,1,190,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414364,12,0,1,130,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414364,13,0,1,130,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414794,4,0,2,190,D,11,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03414934,17,0,1,110,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415194,16,0,1,190,D,12,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415194,17,0,1,190,D,01,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415194,18,0,2,190,D,11,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415324,13,0,1,190,D,11,D,288,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415324,14,0,1,190,D,12,D,1260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415374,25,0,1,220,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415484,11,0,1,140,D,12,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415714,5,0,2,120,D,11,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415764,6,0,1,110,D,01,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415814,14,0,1,120,D,01,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415814,15,0,1,120,D,11,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415814,16,0,1,120,D,12,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03415834,16,0,1,130,D,12,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03416034,13,0,1,190,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03416134,9,0,1,110,D,12,D,128,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03416134,10,0,2,110,D,11,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03416174,11,0,1,190,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03416234,3,0,1,220,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03416524,9,0,1,200,D,11,D,73,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03416574,5,0,1,130,D,11,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417104,15,0,1,190,D,12,D,146,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417104,16,0,1,190,D,01,D,146,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
