QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20171,03387614,22,0,1,620,D,1,D,13,D,201,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387614,23,0,2,420,D,1,D,10,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387614,24,0,2,410,D,1,D,10,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387614,25,0,2,620,D,1,D,10,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387654,13,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387684,14,0,1,200,D,1,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387684,15,0,1,420,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387694,12,0,1,420,D,1,D,10,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387694,13,0,1,420,D,1,D,11,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387694,14,0,1,420,D,1,D,12,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387694,15,0,1,620,D,1,D,13,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387814,18,0,1,200,D,1,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387814,19,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387834,20,0,1,200,D,1,D,11,D,4039,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
