QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20174,03658103,38,2,1,410,D,09,D,18,E,,A,,A,,A,,A
20174,03658133,28,0,1,420,D,09,D,55,D,,A,,A,,A,,A
20174,03658183,30,0,1,420,D,08,D,85,D,,A,,A,,A,,A
20174,03658423,55,0,1,430,D,08,D,,H,415,D,405,D,425,D,,A
20174,03658423,55,1,1,420,D,08,D,263,E,,A,,A,,A,,A
20174,03658423,55,2,1,405,D,08,D,2424,E,,A,,A,,A,,A
20174,03658423,55,3,1,420,D,08,D,600,E,,A,,A,,A,,A
20174,03658423,56,0,1,430,D,08,D,,H,405,D,415,D,425,D,,A
20174,03658423,56,1,1,405,D,08,D,22,E,,A,,A,,A,,A
20174,03658423,56,2,1,420,D,08,D,2,E,,A,,A,,A,,A
20174,03658423,56,3,1,420,D,08,D,6,E,,A,,A,,A,,A
20174,03658483,37,0,2,420,D,08,D,500,D,,A,,A,,A,,A
20174,03658553,34,0,1,405,D,10,D,600,D,,A,,A,,A,,A
20174,03658603,17,0,1,420,D,09,D,260,D,,A,,A,,A,,A
20174,03658653,39,0,1,420,D,10,D,100,D,,A,,A,,A,,A
20174,03658683,19,0,1,400,D,08,D,35,D,,A,,A,,A,,A
20174,03658693,35,0,1,410,D,09,D,40,D,,A,,A,,A,,A
20174,03658693,36,0,1,420,D,10,D,145,D,,A,,A,,A,,A
20174,03658703,31,0,1,420,D,10,D,50,D,,A,,A,,A,,A
20174,03658743,16,0,1,420,D,10,D,40,D,,A,,A,,A,,A
20174,03658913,44,0,1,420,D,10,D,81,D,,A,,A,,A,,A
20174,03658913,45,0,1,420,D,10,D,36,D,,A,,A,,A,,A
20174,03659013,72,0,1,420,D,10,D,356,D,,A,,A,,A,,A
20174,03659103,42,0,1,410,D,10,D,25,D,,A,,A,,A,,A
20174,03659223,20,0,1,420,D,10,D,130,D,,A,,A,,A,,A
20174,03659233,27,0,1,405,D,10,D,115,D,,A,,A,,A,,A
20174,03659233,28,0,1,405,D,10,D,83,D,,A,,A,,A,,A
20174,03659443,34,0,1,410,D,10,D,14,D,,A,,A,,A,,A
20174,03659443,35,0,2,420,D,08,D,184,D,,A,,A,,A,,A
20174,03659453,52,0,1,410,D,10,D,38,D,,A,,A,,A,,A
20174,03659503,43,0,1,420,D,09,D,140,D,,A,,A,,A,,A
20174,03659663,43,0,1,405,D,10,D,18,F,,A,,A,,A,,A
20174,03659683,71,0,2,400,D,08,D,29,D,,A,,A,,A,,A
20174,03659683,72,0,2,410,D,08,D,9,D,,A,,A,,A,,A
20174,03659683,73,0,2,420,D,08,D,27,D,,A,,A,,A,,A
20174,03659713,78,0,1,420,D,10,D,162,D,,A,,A,,A,,A
20174,03659763,28,0,1,430,D,09,D,,H,410,D,415,D,,A,,A
20174,03659763,28,1,1,410,D,09,D,17,E,,A,,A,,A,,A
20174,03659763,28,2,1,420,D,09,D,53,E,,A,,A,,A,,A
20174,03659843,40,0,1,405,D,09,D,68,D,,A,,A,,A,,A
20174,03659853,30,0,1,405,D,08,D,150,D,,A,,A,,A,,A
20174,03659863,13,0,1,420,D,08,D,200,D,,A,,A,,A,,A
20174,03660033,39,0,1,400,D,10,D,248,D,,A,,A,,A,,A
20174,03660323,62,0,1,430,D,09,D,,H,410,D,415,D,,A,,A
20174,03660323,62,1,1,420,D,09,D,145,E,,A,,A,,A,,A
20174,03660323,63,0,1,430,D,10,D,,H,410,D,415,D,,A,,A
20174,03660323,63,1,1,420,D,10,D,222,E,,A,,A,,A,,A
20174,03660403,45,0,1,410,D,09,D,70,D,,A,,A,,A,,A
