QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20171,03441473,30,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,3700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441473,31,0,5,02,D,300,D,,A,3,D,,B,1996,D,,A,,A,,A,2000,F,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03441483,14,0,5,01,D,100,D,,A,3,D,04,D,2016,D,118000,D,0,D,,C,0,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20171,03441493,9,0,5,01,D,100,D,,A,3,D,06,D,2016,D,175000,D,10000,D,8500,D,1700,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20171,03441503,31,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,30,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441583,24,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441613,10,0,5,01,D,100,D,,A,3,D,,B,1992,D,,A,,A,,A,30,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441623,18,0,5,01,D,100,D,,A,3,D,,B,1943,D,,A,,A,,A,18759,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441633,17,0,5,01,D,100,D,,A,3,D,,B,1950,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441653,17,0,5,01,D,100,D,,A,3,D,,B,1993,D,,A,,A,,A,850,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441663,25,0,5,01,D,100,D,,A,3,D,,B,1966,D,,A,,A,,A,9000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441743,23,0,5,01,D,100,D,,A,1,D,,B,2012,D,,A,,A,,A,2500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441823,53,0,5,01,D,100,D,,A,3,D,08,D,2015,D,,A,,A,,A,11800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441823,54,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03441853,19,0,5,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,4400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441863,24,0,5,01,D,100,D,,A,3,D,,B,2006,D,,A,,A,,A,4300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441903,8,0,5,01,D,100,D,,A,2,D,,B,1978,D,,A,,A,,A,0,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
