QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20173,03663192,35,0,5,01,D,100,D,.0784,D,105976,D,15,D,1373,D,3,D,4,D,,A,,A,370,D,375,D,378,D,380,D,628,D,625,D,623,D,,A,01,D,2015,D,1,D,,A,96093,D,95718,D,95341,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03663282,17,0,5,01,D,100,D,.0784,D,27000,D,30,D,340,D,3,D,4,D,,A,,A,145,D,41,D,41,D,41,D,180,D,179,D,177,D,,A,02,D,2009,D,2,D,,A,24371,D,24335,D,24299,D,01,D,1,D,,A,,A,386,D,414,D,414,D,1,D,2,D,1,D
20173,03663312,11,0,1,01,D,100,D,.0784,F,80000,F,30,F,1072,F,3,F,4,F,,A,,A,494,F,307,F,309,F,311,F,271,F,269,F,267,F,,A,05,F,1995,F,1,F,,A,41517,F,41210,F,40901,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03663422,19,0,5,01,D,100,D,.0400,F,169000,F,30,F,1251,F,3,F,4,F,5,F,,A,444,F,254,F,254,F,255,F,553,F,553,F,552,F,,A,06,F,2016,F,1,F,,A,166022,F,165768,F,165514,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03663462,12,0,5,01,D,100,D,.0784,D,115803,D,15,D,1096,D,3,D,4,D,5,D,,A,0,D,568,D,571,D,575,D,528,D,525,D,521,D,,A,11,D,2010,D,1,D,,A,80853,D,80286,D,79714,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03663492,12,0,5,01,D,100,D,.1300,F,111192,F,30,F,1230,F,,A,,A,,A,,A,0,F,72,F,73,F,74,F,1158,F,1157,F,1156,F,,A,05,F,2009,F,1,F,,A,106865,F,106793,F,106720,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03663532,8,0,5,01,D,100,D,.0784,F,60120,F,15,F,668,F,3,F,4,F,,A,,A,99,F,211,F,213,F,214,F,358,F,356,F,355,F,,A,12,F,2014,F,1,F,,A,54725,F,54514,F,54301,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03663542,26,0,5,01,D,100,D,.0784,D,157000,D,30,D,1200,D,3,D,4,D,5,D,,A,65,D,,A,109,D,110,D,,A,1026,D,1025,D,,A,07,D,2017,D,1,D,,A,,A,157000,D,156891,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03663722,7,0,5,01,D,100,D,.0638,D,136000,D,30,D,1181,D,,B,,B,,B,,B,332,D,270,D,272,D,273,D,579,D,577,D,576,D,,A,06,D,2005,D,1,D,,A,108857,D,108587,D,108315,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03663752,86,0,5,01,D,100,D,.0525,D,106981,D,15,D,860,D,,A,,A,,A,,A,0,D,853,D,856,D,,A,7,D,4,D,,A,,A,08,D,2002,D,1,D,,A,1708,D,855,D,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03663792,44,0,5,01,D,100,D,.0784,D,175217,D,30,D,1568,D,3,D,4,D,5,D,,A,302,D,,A,,A,140,D,,A,,A,1126,D,,A,10,D,2015,D,1,D,082017,D,,A,,A,172358,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03663792,79,0,5,01,D,100,D,.0784,D,116379,D,30,D,1143,D,3,D,4,D,5,D,,A,302,D,92,D,92,D,,A,749,D,749,D,,A,082017,D,10,D,2015,D,1,D,,A,114662,D,114570,D,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
20173,03663802,7,0,5,01,D,100,D,.0784,D,615472,T,30,D,3774,D,,A,4,D,,A,,A,52,D,,A,,A,,A,,A,,A,,A,,A,11,D,2004,D,2,D,,A,559460,T,561906,T,560433,T,01,D,1,D,,A,,A,,C,,C,,C,1,D,2,D,2,D
20173,03663952,17,0,5,01,D,100,D,.0784,D,406426,D,30,D,2937,D,,A,,A,,A,,A,0,D,329,D,331,D,334,D,2608,D,2606,D,2603,D,,A,06,D,2015,D,1,D,,A,399132,D,398803,D,398472,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03663972,32,0,5,01,D,100,D,.0784,D,254760,D,30,D,2400,D,3,D,4,D,5,D,,A,559,D,199,D,200,D,201,D,1642,D,1641,D,1640,D,,A,12,D,2015,D,1,D,,A,251399,D,251200,D,251001,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03664052,20,0,5,01,D,100,D,.0784,D,50371,D,30,D,700,D,3,D,4,D,,A,,A,336,D,48,D,48,D,48,D,313,D,313,D,313,D,,A,06,D,2013,D,1,D,,A,48410,D,48363,D,48315,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03664163,15,0,5,01,D,100,D,.0475,D,160000,D,30,D,1158,D,3,D,4,D,,A,,A,323,D,202,D,202,D,203,D,633,D,633,D,632,D,,A,06,D,2017,D,1,D,,A,160000,D,159798,D,159596,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03664212,16,0,5,01,D,100,D,.0784,F,220000,F,15,F,2082,F,,A,,A,,A,,A,0,F,715,F,720,F,725,F,1367,F,1362,F,1357,F,,A,02,F,2016,F,1,F,,A,209164,F,208449,F,207729,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03664212,17,0,5,01,D,100,D,.0500,D,190000,D,30,D,1180,D,3,D,4,D,,A,,A,160,D,280,D,281,D,282,D,740,D,739,D,738,D,,A,05,D,2013,D,1,D,,A,177616,D,177336,D,177055,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03664252,15,0,1,01,D,100,D,.0784,F,160000,F,30,F,3100,F,3,F,4,F,,A,,A,1944,F,159,F,160,F,161,F,997,F,996,F,995,F,,A,08,F,2012,F,1,F,,A,152546,F,152387,F,152226,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
