,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean,nn_deriv_imp_mean
6,62702.47745,62720.62835,46657.5441,43011.78146,49509.97,52331.95606,50628.6435,53323.351,49649.02056,52105.88623
7,62702.47745,62720.62835,46864.48169,43409.96491,49818.19923,51538.70285,49351.17549,50621.84031,50419.77664,51578.79119
8,62702.47745,62720.62835,46651.81331,43875.95156,49508.01738,49411.61248,50989.50619,51671.44853,48246.31026,51726.70192
9,62702.47745,62720.62835,47217.31297,44410.80734,50219.55019,51223.00453,50834.1713,53240.88206,51772.43173,52067.36615
10,62702.47745,62720.62835,47061.41983,44188.13766,49824.87244,49945.93001,50375.62259,52743.55303,52134.35248,51375.2553
11,62702.47745,62720.62835,46946.7643,44149.87086,49738.49219,51189.02486,51270.01162,52601.93718,51721.57575,51253.07884
12,62702.47745,62720.62835,47177.3221,43896.33619,50246.12797,51453.83262,50147.84742,53740.21319,49129.28313,50965.21282
13,62702.47745,62720.62835,47507.08342,44034.93077,50499.92181,51531.05441,52630.49199,54167.9878,52482.7639,49077.47853
14,62702.47745,62720.62835,46566.45244,43676.19515,49653.44482,51832.09718,53283.65955,51554.24769,50803.7892,48549.65336
15,62702.47745,62720.62835,46350.54598,43314.804,49439.55201,53441.85954,50194.18579,52232.70527,48801.5045,51026.45223
16,62702.47745,62720.62835,47050.72455,44240.55033,50184.77971,50287.66774,49591.39579,52465.63158,51399.83389,51212.10351
17,62702.47745,62720.62835,46393.40046,43523.90175,49292.16117,49386.96805,48464.89321,51856.24691,50659.07735,48258.6079
18,62702.47745,62720.62835,46372.22364,43047.2248,49534.42784,53811.61162,50667.00265,51488.17498,51556.91064,50436.15652
19,62702.47745,62720.62835,46406.65863,43727.15405,49176.60698,52912.34007,51243.01063,53035.2358,53150.40467,50159.96707
20,62702.47745,62720.62835,46739.73186,43568.36952,49725.04148,51328.40344,51363.83412,52528.59802,51313.11843,51014.16926
21,62702.47745,62720.62835,46698.50625,43779.5712,49581.80962,50072.35231,50284.72654,51925.9162,49899.72664,49625.15922
22,62702.47745,62720.62835,46960.24922,43792.64078,49790.09861,51991.68563,51818.84779,50370.58026,53957.23939,50702.83414
1,62702.47745,62720.62835,46018.21555,43428.17936,48917.94993,51031.02566,49399.29528,50000.4507,49504.06659,49822.87989
2,62702.47745,62720.62835,47700.22351,44238.56759,50449.23127,51385.46535,49346.00253,53852.80145,51931.27025,52570.87041
3,62702.47745,62720.62835,47041.82481,43929.39119,49977.05757,48602.30803,50668.76194,51610.68804,51087.50093,50683.84844
4,62702.47745,62720.62835,47651.03665,44386.36533,50574.01313,52814.45587,51333.688,53390.34292,50828.18387,52845.82847
5,62702.47745,62720.62835,47225.17028,43698.90039,50279.97355,49860.39053,54465.85038,51679.235,51781.04165,51460.42951
6,62702.47745,62720.62835,47177.41506,44111.16907,50141.94752,51662.83169,50737.42542,52468.87197,51660.31132,50696.4684
7,62702.47745,62720.62835,47562.12491,44572.14817,50573.13184,52326.1769,52984.4161,53563.51736,50322.93532,51386.05063
8,62702.47745,62720.62835,46961.20602,43833.62363,50020.23964,50979.50807,50568.96765,52531.2984,51315.88364,51557.76458
9,62702.47745,62720.62835,47447.14613,44862.63227,50018.81721,52048.78285,52703.32781,53396.47376,52131.40195,51985.31938
10,62702.47745,62720.62835,46704.56901,43440.89768,49673.68667,50879.13116,51315.40024,51543.43354,48064.63972,50315.73952
11,62702.47745,62720.62835,46610.27205,43840.08706,49666.65161,50635.01077,53152.7132,51335.4519,50114.73974,52201.48508
12,62702.47745,62720.62835,47304.78663,44114.90047,50061.31707,53139.84913,51001.12495,52619.33891,51246.30456,50688.58297
13,62702.47745,62720.62835,46569.07885,43362.67156,49518.56728,49888.8721,51271.97369,51532.69406,50550.12547,51767.99602
