,True Pop,Oracle,Naïve-Pi,Median Imputation,Weighted Linear Regression,Oracle Weighted Linear Regression,NN  Naïve Imputation,NN Naïve Oracle,NN Pi-Feature Imputation,NN Pi-Feature Oracle,NN Resample Imputation,NN Derived-Parameter Imputation
1,11.90991738,11.8228642,11.2497491,12.60130049,11.33342718,11.32200388,11.54558811,11.78643883,11.67299505,11.74197615,11.39788588,11.65243262
2,11.90991738,12.16188525,11.66976138,12.85165551,11.75578101,11.75376211,12.00458283,12.10745035,12.08885829,12.14232976,11.81351475,12.21063243
3,11.90991738,11.56499517,11.02277096,12.20350415,11.19343261,11.18227737,11.42373886,11.56724809,11.44529263,11.59578581,11.56648944,11.45420361
4,11.90991738,11.81245491,11.17907891,12.44877689,11.30204078,11.30527785,11.55701611,11.80229393,11.60469232,11.77069228,11.27211482,11.63375708
5,11.90991738,12.02394494,11.55701032,12.74088461,11.59776323,11.60614608,11.77055072,11.98133494,11.99704968,11.98894623,12.02357781,11.81811389
6,11.90991738,12.01810729,11.47018795,12.66659989,11.5510193,11.53352624,11.6990496,11.91389841,11.90195645,12.01914779,12.1433687,11.88628157
7,11.90991738,11.62879473,10.99131207,12.35386986,11.03279629,11.03181387,11.23504667,11.5323658,11.44608263,11.54602599,10.98237574,11.4310634
8,11.90991738,11.60400362,11.09234328,12.24456005,11.23321313,11.23101416,11.38801677,11.54864305,11.43614666,11.58525113,11.22162886,11.52980378
9,11.90991738,12.10597659,11.60049527,12.74649601,11.67752235,11.68350581,11.91630163,12.04435301,11.78918249,12.05815349,11.92309231,11.91402893
10,11.90991738,12.10427684,11.60760445,12.77937356,11.71427871,11.70261214,11.90846478,12.07903879,12.04294334,12.00853284,11.72466135,11.98124362
11,11.90991738,11.76639434,11.23732864,12.51102636,11.3636349,11.36934168,11.49603373,11.70743743,11.69826436,11.71289482,11.50072141,11.61576324
12,11.90991738,11.64785708,11.15308391,12.40957392,11.21058555,11.20365403,11.40521639,11.64557817,11.5139495,11.58498829,11.26789808,11.46330116
13,11.90991738,11.52035733,10.94973707,12.20856815,11.07230389,11.06410618,11.22851192,11.51775861,11.1954855,11.51904541,11.11579991,11.28749195
14,11.90991738,11.84224691,11.28738307,12.51575071,11.38193319,11.35760889,11.53632912,11.75987953,11.78825763,11.80909504,11.49168359,11.68822008
15,11.90991738,11.81886412,11.28154895,12.46468993,11.34569143,11.35613582,11.3477829,11.72875812,11.62765425,11.7489847,11.33296709,11.72882808
16,11.90991738,11.89840572,11.38211003,12.62414413,11.48119802,11.47907222,11.68533221,11.81778553,11.75982494,11.82375091,11.6192267,11.83115314
17,11.90991738,11.73727399,11.04717633,12.32041944,11.2032379,11.22211341,11.3071598,11.69407594,11.56428751,11.68931077,11.29729631,11.50952363
18,11.90991738,11.91910205,11.35710434,12.50989818,11.47502061,11.47148769,11.56694416,11.86282958,11.83502426,11.89059183,11.62289889,11.66540702
19,11.90991738,11.77186418,11.15529845,12.38285108,11.29924081,11.27160477,11.53228647,11.70263176,11.71937412,11.70205477,11.23511337,11.7270706
20,11.90991738,11.89101572,11.32644344,12.50901608,11.4513706,11.43683035,11.70350274,11.84370662,11.71788621,11.88412747,11.53223125,11.80074601
21,11.90991738,12.12642268,11.58712316,12.77510152,11.72044735,11.70333436,11.97303256,12.04429593,11.9487693,12.05767595,11.63144615,11.98149321
