NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,T65CT_CY,T65C__CY,T65CT_PY,T65C__PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03639434,1,2016,2015,2,.02900,.02900,2,.26860,.26860,03,D,.04070,.04070,0,D,0,D,0,D,219467,D,55,D,0,D,0,D,0,D,0,D,2300,D,0,D,0,D,2,D,15140,D,37302,6628,37302,37180,6628,6627,21059,21059,219522,219522,219522,219522,0,0,0,0,0,0,0,0,204382,204382,0,0,37302,37180,37302,37180,10182,10198,24056,24054,0,0,0,0,0,0,0
03639444,1,2016,2015,1,.15300,.15300,2,.00000,.00000,17,D,.03500,.03500,0,D,0,D,22568,D,0,D,0,D,0,D,0,D,0,D,0,D,1000,D,1688,D,0,D,1,D,4752,D,-4359,-761,-4359,-4373,-761,-763,3453,3453,22568,22568,22568,22568,0,0,1000,1000,0,0,3359,3373,22568,22568,0,0,0,0,0,0,7500,7500,0,0,190,190,0,0,571,573,0
03639454,1,2016,2015,0,.00000,.00000,1,-.0765,-.0765,23,D,.03990,.03390,0,D,0,D,0,D,0,D,0,D,750,D,0,D,0,D,6000,D,0,D,0,D,0,D,0,D,0,D,0,-916,0,0,-916,-993,0,0,750,750,750,750,0,0,0,0,0,0,0,0,750,750,0,0,0,0,0,0,0,0,0,0,704,704,0,0,0,0,0
03639504,1,2016,2015,1,.15300,.15300,2,.25980,.25980,34,D,.05750,.05750,0,D,0,D,105,D,41000,D,0,D,0,D,0,D,0,D,0,D,1300,D,0,D,0,D,1,D,4640,D,81,1401,81,37,1401,1315,6289,6289,41105,41105,41105,41105,1000,1000,0,0,0,0,570,598,41105,41105,0,0,1651,1636,1651,1636,15000,16500,5940,5940,0,0,0,0,0,0,0
03639544,1,2016,2015,0,.00000,.00000,1,.00000,.00000,0,T,.00000,.00000,1,D,1,D,0,D,0,D,0,D,0,D,18300,D,0,D,0,D,230,D,107,D,0,D,0,D,2000,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03639564,1,2016,2015,2,.00000,.00000,3,.09410,.09410,33,D,.05900,.05900,0,D,0,D,0,D,0,D,36000,D,12960,D,0,D,0,D,0,D,10500,D,0,D,0,D,0,D,14444,D,1124,773,1124,1110,773,771,0,0,48960,48960,48960,48960,0,0,0,0,0,0,0,0,34516,34516,0,0,1124,1110,1124,1110,11100,11150,24944,24944,0,0,0,0,0,0,0
03639594,1,2016,2015,0,.15300,.15300,2,.15000,.15000,05,D,.02000,.02000,0,D,0,D,0,D,40708,D,0,D,0,D,0,D,0,D,0,D,1300,D,0,D,0,D,0,D,6472,D,2094,277,2094,2074,277,267,6228,6228,40708,40708,40708,40708,0,0,0,0,0,0,0,0,40708,40708,0,0,2094,2074,2094,2074,8088,8258,7772,7772,0,0,0,0,0,0,0
03639594,2,2016,2015,0,.15300,.15300,1,.15000,.15000,05,D,.04000,.04000,0,D,0,D,25000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1744,279,1744,1734,279,264,3825,3825,25000,25000,25000,25000,0,0,0,0,0,0,0,0,25000,25000,0,0,1744,1734,1744,1734,4044,4129,0,0,0,0,0,0,0,0,0
03639614,1,2016,2015,0,.00000,.00000,1,.14900,.14900,14,D,.00000,.00000,1,D,1,D,0,D,0,D,50,D,14148,D,22704,D,0,D,0,D,3200,D,75,D,0,D,0,D,6040,D,68,0,68,63,0,0,0,0,14473,14473,50,50,0,0,0,0,0,0,0,0,8433,8433,0,0,68,63,68,63,0,0,0,0,0,0,0,0,0,0,0
03639624,1,2016,2015,0,.15300,.15300,1,.15000,.15000,33,D,.06000,.06000,0,D,0,D,25000,D,0,D,-500,D,0,D,0,D,0,D,0,D,1200,D,0,D,0,D,0,D,1404,D,1669,722,1669,1659,722,717,3825,3825,24500,24500,24500,24500,0,0,0,0,0,0,0,0,24500,24500,0,0,1669,1659,1669,1659,7900,7950,0,0,0,0,0,0,0,0,0
03639634,1,2016,2015,2,.00000,.00000,3,.00000,.00000,28,D,.00000,.00000,0,D,0,D,0,D,0,D,8000,D,0,D,0,D,0,D,0,D,2400,D,1674,D,0,D,0,D,800,D,0,0,0,0,0,0,0,0,8000,8000,8000,8000,0,0,0,0,0,0,0,0,8000,8000,0,0,0,0,0,0,9250,9300,0,0,0,0,0,0,0,0,0
03639734,1,2016,2015,0,.15300,.15300,2,.25000,.25000,41,D,.07000,.07000,0,D,0,D,70000,D,40000,D,0,D,0,D,0,D,0,D,0,D,900,D,3,D,0,D,0,D,6000,D,13938,5558,13938,13868,5558,5545,16830,16830,110000,110000,89400,89300,0,0,0,0,0,0,0,0,110000,110000,0,0,13938,13868,13938,13868,0,0,0,0,0,0,0,0,0,0,0
03639754,1,2016,2015,0,.15300,.15300,1,.14130,.23550,18,D,.05800,.05800,0,D,0,D,50000,D,0,D,0,D,0,D,0,D,0,D,0,D,1000,D,0,D,0,D,0,D,5104,D,5180,2352,5180,5160,2352,2352,7650,7650,50000,50000,50000,50000,0,0,0,0,0,0,0,0,44896,44896,0,0,5180,5160,5180,5160,2440,2460,6104,6104,0,0,0,0,0,0,0
03639774,1,2016,2015,0,.15300,.15300,2,.10000,.10000,37,D,.05000,.05250,2,D,2,D,0,D,30165,D,0,D,0,D,0,D,0,D,4200,D,0,D,0,D,0,D,0,D,0,D,707,345,707,697,345,343,4615,4615,30165,30165,30165,30165,0,0,0,0,0,0,0,0,30165,30165,0,0,707,697,707,697,12600,12600,0,0,0,0,0,0,0,0,0
03639794,1,2016,2015,0,.02900,.02900,2,.24890,.24890,10,D,.00000,.00000,0,D,0,D,219467,D,0,D,-6500,D,0,D,0,D,0,D,0,D,4000,D,0,D,0,D,0,D,68456,D,24323,0,24323,24247,0,0,21059,21059,212967,212967,0,0,0,0,0,0,0,0,0,0,144511,144511,0,0,24323,24247,24323,24247,0,0,0,0,0,0,0,0,0,0,0
03639814,1,2016,2015,2,.15300,.15300,2,.30430,.30430,45,D,.06300,.06300,0,D,0,D,46000,D,0,D,-462,D,0,D,0,D,0,D,0,D,1500,D,792,D,0,D,2,D,12756,D,-1481,887,-1481,-1543,887,876,7038,7038,45538,45538,45538,45538,1360,1341,640,659,0,0,841,884,32782,32782,0,0,1360,1341,1360,1341,0,0,0,0,0,0,0,0,0,0,0
03639854,1,2016,2015,0,.15300,.15300,1,.10000,.10000,44,D,.00000,.00000,0,D,0,D,15000,D,0,D,0,D,0,D,0,D,0,D,12000,D,0,D,0,D,0,D,0,D,0,D,470,0,470,465,0,0,2295,2295,15000,15000,0,0,0,0,0,0,0,0,0,0,15000,15000,0,0,470,465,470,465,0,0,0,0,0,0,0,0,0,0,0
03639874,1,2016,2015,1,.02900,.02900,3,.23560,.23560,47,D,.05750,.05750,0,D,0,D,145000,D,0,D,590,D,0,D,0,D,0,D,0,D,4400,D,240,D,0,D,1,D,25464,D,19625,6276,19625,19575,6276,6276,18899,18899,145590,145590,145590,145590,0,0,0,0,0,0,0,0,120126,120126,0,0,19625,19575,19625,19575,3000,3000,30104,30104,0,0,0,0,0,0,0
03639914,1,2016,2015,2,.15300,.15300,2,.25000,.25000,0,T,.00000,.00000,0,D,0,D,40000,D,70000,D,-600,D,0,D,0,D,0,D,0,D,1500,D,0,D,0,D,2,D,3148,D,9788,0,9788,9693,0,0,16830,16830,109400,109400,0,0,2000,2000,0,0,0,0,0,0,109400,109400,0,0,11788,11693,11788,11693,0,0,0,0,0,0,0,0,0,0,0
03639944,1,2016,2015,0,.15300,.15300,2,.15000,.15000,0,T,.00000,.00000,0,D,0,D,50000,D,0,D,-3500,D,0,D,14340,D,0,D,0,D,900,D,2550,D,0,D,0,D,3668,D,4791,0,4791,4771,0,0,7650,7650,58689,58689,0,0,0,0,0,0,0,0,0,0,58689,58689,0,0,4791,4771,4791,4771,0,0,0,0,0,0,0,0,0,0,0
03639974,1,2016,2015,0,.15300,.15300,1,.25000,.25000,05,D,.09300,.09300,1,D,1,D,60000,D,0,D,0,D,0,D,29988,D,0,D,0,D,1600,D,0,D,0,D,0,D,3792,D,14204,2337,14204,14169,2337,2280,9180,9180,85490,85490,60000,60000,0,0,0,0,0,0,0,0,85490,85490,0,0,14204,14169,14204,14169,4044,4129,5392,5392,0,0,0,0,0,0,0
03640004,1,2016,2015,0,.00000,.00000,1,.00000,.00000,28,D,.00000,.00000,1,D,1,D,0,D,0,D,0,D,0,D,11688,D,0,D,2724,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7850,7850,0,0,0,0,0,0,0,0,0
03640044,1,2016,2015,0,.00000,.00000,1,.00000,.00000,15,D,.03300,.03300,1,D,1,D,0,D,0,D,0,D,9718,D,25097,D,0,D,0,D,950,D,500,D,0,D,0,D,0,D,0,167,0,0,167,167,0,0,9718,9718,9718,9718,0,0,0,0,0,0,0,0,9718,9718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03640054,1,2016,2015,3,.08040,.08040,2,.23290,.23290,28,D,.06840,.06840,0,D,0,D,120000,D,85000,D,0,D,0,D,0,D,0,D,0,D,8200,D,1878,D,0,D,3,D,22828,D,27253,9430,27253,27149,9430,9419,31179,31179,205000,205000,205000,205000,0,0,0,0,0,0,0,0,182172,182172,0,0,27253,27149,27253,27149,0,0,32906,32906,0,0,0,0,0,0,0
03640064,1,2016,2015,0,.15300,.15300,1,.10000,.10000,36,D,.01980,.01980,0,D,0,D,15802,D,0,D,0,D,0,D,0,D,0,D,5400,D,0,D,45,D,0,D,0,D,0,D,550,121,550,545,121,119,2418,2418,15802,15802,15802,15802,0,0,0,0,0,0,0,0,15802,15802,0,0,550,545,550,545,0,0,0,0,0,0,0,0,0,0,0
03640104,1,2016,2015,1,.15300,.15300,3,-.3400,-.3400,29,D,.00000,.00000,0,D,0,D,8900,D,0,D,85,D,0,D,0,D,0,D,0,D,2000,D,12,D,0,D,0,D,0,D,-3026,0,-3026,-3026,0,0,1362,1362,8985,8985,0,0,0,0,0,0,0,0,3026,3026,8985,8985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03640114,1,2016,2015,0,.15300,.15300,1,.15000,.15000,05,D,.08000,.08000,0,D,0,D,27966,D,0,D,61,D,18226,D,0,D,0,D,0,D,3100,D,80,D,0,D,0,D,0,D,4932,1414,4932,4922,1414,1366,4279,4279,46253,46253,46253,46253,0,0,0,0,0,0,0,0,46253,46253,0,0,4932,4922,4932,4922,4044,4129,3180,3180,0,0,0,0,0,0,0
03640134,1,2016,2015,0,.15300,.15300,2,.23560,.23560,47,D,.05750,.05750,0,D,0,D,43230,D,87670,D,0,D,0,D,0,D,0,D,0,D,2400,D,0,D,0,D,0,D,14660,D,16567,5924,16567,16497,5924,5924,20028,20028,130900,130900,130900,130900,0,0,0,0,0,0,0,0,116240,116240,0,0,16567,16497,16567,16497,6000,6000,17060,17060,0,0,0,0,0,0,0
03640174,1,2016,2015,3,.03800,.03800,2,.35000,.35000,14,D,.03750,.03750,0,D,0,D,150000,D,150000,D,6688,D,0,D,0,D,0,D,0,D,8000,D,0,D,0,D,3,D,12000,D,65212,10698,65212,65026,10698,10693,38538,38538,306688,306688,306688,306688,0,0,0,0,0,0,0,0,294688,294688,4952,4963,60006,59809,60006,59809,0,0,0,0,400,400,0,0,0,0,0
03640184,1,2016,2015,3,.00000,.00000,3,-.4500,-.4500,0,T,.00000,.00000,0,D,0,D,0,D,0,D,192,D,4400,D,0,D,0,D,0,D,90,D,0,D,0,D,1,D,0,D,0,0,0,0,0,0,0,0,4592,4592,0,0,0,0,0,0,0,0,0,0,4592,4592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03640214,1,2016,2015,0,.15300,.15300,2,.23940,.23940,23,D,.04250,.04250,0,D,0,D,35000,D,34869,D,901,D,22800,D,23808,D,0,D,0,D,3800,D,515,D,0,D,0,D,5020,D,14796,3637,14796,14726,3637,3637,10690,10690,113807,113807,93570,93570,0,0,0,0,0,0,0,0,108787,108787,0,0,14796,14726,14796,14726,0,0,0,0,0,0,0,0,0,0,0
03640214,2,2016,2015,0,.15300,.15300,1,.25000,.25000,23,D,.04250,.04250,0,D,0,D,75000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,11969,3018,11969,11934,3018,3018,11475,11475,75000,75000,75000,75000,0,0,0,0,0,0,0,0,75000,75000,0,0,11969,11934,11969,11934,0,0,0,0,0,0,0,0,0,0,0
03640264,1,2016,2015,0,.00000,.00000,1,.00000,.00000,05,D,.00000,.00000,1,D,1,D,0,D,0,D,0,D,9326,D,8875,D,0,D,0,D,1200,D,6,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,9326,9326,9326,9326,0,0,0,0,0,0,0,0,9326,9326,0,0,0,0,0,0,4044,4129,1206,1206,0,0,0,0,0,0,0
03640284,1,2016,2015,0,.00000,.00000,1,-.0765,-.0765,36,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,9408,D,0,D,2328,D,0,D,10,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03640304,1,2016,2015,3,.15300,.15300,2,.14140,.14140,47,D,.05750,.05750,0,D,0,D,0,D,91000,D,-11745,D,0,D,0,D,0,D,0,D,12823,D,250,D,0,D,2,D,11416,D,1899,2624,1899,1856,2624,2624,13923,13923,79255,79255,79255,79255,2000,2000,0,0,0,0,0,0,67839,67839,0,0,3899,3856,3899,3856,6000,6000,24489,24489,0,0,0,0,0,0,0
03640344,1,2016,2015,0,.15300,.15300,2,.15000,.15000,14,D,.03750,.03750,0,D,0,D,57000,D,6000,D,0,D,0,D,0,D,0,D,16500,D,0,D,700,D,0,D,0,D,0,D,5438,2201,5438,5418,2201,2199,9639,9639,63000,63000,63000,63000,0,0,0,0,0,0,0,0,63000,63000,0,0,5438,5418,5438,5418,0,0,0,0,0,0,0,0,0,0,0
03640364,1,2016,2015,1,.15300,.15300,3,.15000,.15000,0,T,.00000,.00000,0,D,0,D,55804,D,0,D,0,D,0,D,0,D,0,D,0,D,8000,D,1080,D,0,D,0,D,480,D,5079,0,5079,5059,0,0,8538,8538,55804,55804,0,0,0,0,0,0,0,0,0,0,55324,55324,0,0,5079,5059,5079,5059,0,0,0,0,0,0,0,0,0,0,0
03640374,1,2016,2015,0,.15300,.15300,1,.23500,.23500,11,D,.06000,.06000,0,D,0,D,88000,D,0,D,375,D,0,D,0,D,0,D,0,D,700,D,0,D,0,D,0,D,6828,D,13881,4499,13881,13846,4499,4499,13464,13464,88375,88375,88375,88375,0,0,0,0,0,0,0,0,81547,81547,0,0,13881,13846,13881,13846,2300,2300,7528,7528,0,0,0,0,0,0,0
03640394,1,2016,2015,4,.00000,.00000,3,-.4500,-.4500,09,D,-.1500,-.1500,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4836,D,0,D,0,D,0,D,0,D,0,D,0,-967,0,0,-967,-967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,6500,0,0,967,967,0,0,0,0,0
03640414,1,2016,2015,1,.15300,.15300,2,.15000,.15000,08,D,.06600,.06600,0,D,0,D,80000,D,0,D,0,D,0,D,0,D,0,D,14580,D,0,D,230,D,0,D,1,D,0,D,6388,3505,6388,6360,3505,3505,12240,12240,80000,80000,80000,80000,1000,1000,0,0,0,0,0,0,80000,80000,0,0,7388,7360,7388,7360,6500,6500,230,230,0,0,0,0,0,0,0
03640424,1,2016,2015,0,.00000,.00000,1,.15000,.15000,29,D,.00000,.00000,0,D,0,D,0,D,0,D,39110,D,0,D,0,D,0,D,6060,D,0,D,0,D,0,D,0,D,0,D,3860,0,3860,3850,0,0,0,0,39110,39110,0,0,0,0,0,0,0,0,0,0,39110,39110,0,0,3860,3850,3860,3850,0,0,0,0,0,0,0,0,0,0,0
03640434,1,2016,2015,0,.15300,.15300,1,.15000,.15000,26,D,.05100,.05100,0,D,0,D,40000,D,0,D,0,D,0,D,0,D,0,D,0,D,1300,D,156,D,0,D,0,D,2400,D,3994,1431,3994,3984,1431,1432,6120,6120,40000,40000,40000,40000,0,0,0,0,0,0,0,0,40000,40000,0,0,3994,3984,3994,3984,6300,6300,0,0,0,0,0,0,0,0,0
03640434,2,2016,2015,0,.00000,.00000,1,-.0765,-.0765,26,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,6300,0,0,0,0,0,0,0,0,0
03640454,1,2016,2015,2,.15300,.15300,2,.15000,.15000,05,D,.08000,.08000,0,D,0,D,65000,D,37000,D,0,D,0,D,0,D,0,D,26400,D,0,D,50,D,0,D,0,D,0,D,10088,2914,10088,10053,2914,2804,15606,15606,102000,102000,102000,102000,0,0,0,0,0,0,0,0,102000,102000,0,0,10088,10053,10088,10053,8088,8258,50,50,0,0,0,0,0,0,0
03640454,2,2016,2015,2,.00000,.00000,3,.00000,.00000,05,D,-.3398,-.3400,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8088,8258,0,0,0,0,0,0,0,0,0
03640484,1,2016,2015,0,.15300,.15300,2,.15000,.15000,0,T,.00000,.00000,0,D,0,D,11885,D,56098,D,-2242,D,0,D,0,D,0,D,3000,D,0,D,0,D,0,D,0,D,0,D,5849,0,5849,5829,0,0,10401,10401,65741,65741,0,0,0,0,0,0,0,0,0,0,65741,65741,0,0,5849,5829,5849,5829,0,0,0,0,0,0,0,0,0,0,0
03640494,1,2016,2015,2,.00000,.00000,3,-.4000,-.4000,10,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,490,D,0,D,0,D,0,D,125,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03640504,1,2016,2015,0,.15300,.15300,1,.25000,.25000,33,D,.06450,.06450,0,D,0,D,60000,D,0,D,0,D,0,D,0,D,0,D,24000,D,0,D,30,D,0,D,0,D,0,D,8219,3028,8219,8184,3028,3022,9180,9180,60000,60000,60000,60000,0,0,0,0,0,0,0,0,60000,60000,0,0,8219,8184,8219,8184,7900,7950,0,0,0,0,0,0,0,0,0
03640514,1,2016,2015,1,.15300,.15300,3,.15000,.15000,31,D,.02450,.02450,0,D,0,D,67000,D,0,D,-5400,D,0,D,0,D,0,D,10800,D,0,D,200,D,0,D,1,D,800,D,4995,1010,4995,4968,1010,1010,10251,10251,61600,61600,67000,67000,1000,1000,0,0,0,0,0,0,61600,61600,0,0,5995,5968,5995,5968,0,0,0,0,0,0,0,0,0,0,0
03640524,1,2016,2015,0,.15300,.15300,1,.25000,.25000,0,T,.00000,.00000,0,D,0,D,85000,D,0,D,-3778,D,0,D,0,D,0,D,7200,D,0,D,120,D,0,D,0,D,400,D,13524,0,13524,13489,0,0,13005,13005,81222,81222,0,0,0,0,0,0,0,0,0,0,81222,81222,0,0,13524,13489,13524,13489,0,0,0,0,0,0,0,0,0,0,0
03640524,2,2016,2015,0,.15300,.15300,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,5312,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-406,0,-406,-406,0,0,813,813,5312,5312,0,0,0,0,0,0,0,0,406,406,5312,5312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03640534,1,2016,2015,2,.00000,.00000,3,-.4000,-.4000,34,D,.00000,.00000,0,D,0,D,0,D,0,D,183,D,3780,D,0,D,0,D,0,D,2100,D,3276,D,0,D,0,D,171,D,0,0,0,0,0,0,0,0,3963,3963,3963,3963,0,0,0,0,0,0,0,0,3963,3963,0,0,0,0,0,0,12000,13200,2271,2271,0,0,0,0,0,0,0
03640574,1,2016,2015,0,.15300,.15300,1,.17650,.17650,0,T,.00000,.00000,0,D,0,D,12589,D,0,D,315,D,0,D,0,D,0,D,704,D,0,D,4,D,0,D,0,D,0,D,113,0,113,104,0,0,1926,1926,12904,12904,0,0,0,0,0,0,0,0,147,152,12904,12904,0,0,260,255,260,255,0,0,0,0,0,0,0,0,0,0,0
03640614,1,2016,2015,1,.15300,.15300,2,.15000,.15000,39,D,.03070,.03070,0,D,0,D,50000,D,0,D,50,D,0,D,0,D,0,D,7800,D,0,D,220,D,0,D,1,D,3600,D,1895,1537,1895,1868,1537,1537,7650,7650,50050,50050,50050,50050,1000,1000,0,0,0,0,0,0,50050,50050,0,0,2895,2868,2895,2868,0,0,0,0,0,0,0,0,0,0,0
03640634,1,2016,2015,0,.15300,.15300,2,.14050,.14050,45,D,.06300,.06300,0,D,0,D,0,D,100000,D,-4788,D,0,D,0,D,0,D,0,D,1400,D,7,D,0,D,0,D,10940,D,9626,4539,9626,9607,4539,4532,15300,15300,95212,95212,95212,95212,0,0,0,0,0,0,0,0,84272,84272,0,0,9626,9607,9626,9607,0,0,0,0,0,0,0,0,0,0,0
03640664,1,2016,2015,2,.15300,.15300,2,.00000,.00000,45,D,.00000,.00000,0,D,0,D,21000,D,0,D,0,D,0,D,0,D,0,D,9120,D,0,D,30,D,0,D,0,D,3000,D,-5548,0,-5548,-5572,0,0,3213,3213,21000,21000,21000,21000,0,0,0,0,0,0,5548,5572,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03640684,1,2016,2015,0,.15300,.15300,1,.17500,.17500,33,D,.04540,.04540,1,D,1,D,16586,D,0,D,0,D,0,D,0,D,0,D,9600,D,0,D,0,D,0,D,0,D,0,D,405,303,405,400,303,300,2538,2538,16586,16586,16586,16586,0,0,0,0,0,0,0,0,16586,16586,0,0,474,469,474,469,7900,7950,0,0,0,0,0,0,0,0,0
03640704,1,2016,2015,0,.15300,.15300,1,.17650,.17650,22,D,.11760,.11150,0,D,0,D,12000,D,0,D,-2400,D,900,D,24768,D,0,D,0,D,4000,D,1000,D,0,D,0,D,480,D,-196,218,-196,-206,218,199,1836,1836,10500,10500,10500,10500,0,0,0,0,0,0,216,221,10500,10500,0,0,20,15,20,15,0,0,0,0,0,0,0,0,32,51,0
03640744,1,2016,2015,2,.15300,.15300,3,.00000,.00000,0,T,.00000,.00000,0,D,0,D,15000,D,0,D,0,D,0,D,16860,D,0,D,0,D,3900,D,5983,D,0,D,1,D,6208,D,-6548,0,-6548,-6572,0,0,2295,2295,15000,15000,0,0,0,0,1000,1000,0,0,5548,5572,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03640744,2,2016,2015,0,.02900,.02900,1,.28000,.28000,0,T,.00000,.00000,0,D,0,D,170000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,37787,0,37787,37739,0,0,19624,19624,170000,170000,0,0,0,0,0,0,0,0,0,0,170000,170000,0,0,37787,37739,37787,37739,0,0,0,0,0,0,0,0,0,0,0
