NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,T65CT_CY,T65C__CY,T65CT_PY,T65C__PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03566754,1,2016,2015,0,.15300,.15300,1,.25000,.25000,41,D,.07000,.07000,0,D,0,D,83000,D,0,D,-5477,D,0,D,0,D,0,D,15000,D,0,D,0,D,0,D,0,D,0,D,12573,4208,12600,12565,4216,4206,12699,12699,77523,77523,67223,67173,0,0,0,0,0,0,0,0,77523,77523,0,0,12600,12565,12600,12565,0,0,0,0,0,0,0,0,0,0,0
03566764,1,2016,2015,2,.07670,.07670,2,.22670,.22670,05,D,.09300,.09300,0,D,0,D,75000,D,120000,D,-5222,D,3750,D,0,D,0,D,0,D,5950,D,65,D,0,D,2,D,10036,D,29267,10473,29315,29251,10566,10442,29649,29649,193528,193528,193528,193528,0,0,0,0,0,0,0,0,183492,183492,0,0,29315,29251,29315,29251,8088,8258,16051,16051,0,0,0,0,0,0,0
03566784,1,2016,2015,1,.00000,.00000,3,-.3400,-.3400,44,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,8820,D,0,D,4272,D,0,D,0,D,0,D,0,D,672,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03566864,1,2016,2015,2,.15300,.15300,2,.23430,.23430,50,D,.06270,.06270,0,D,0,D,100000,D,47785,D,0,D,0,D,0,D,0,D,0,D,5200,D,880,D,0,D,1,D,9712,D,18658,7425,18729,18635,7426,7425,22611,22611,147785,147785,147785,147785,0,0,0,0,0,0,0,0,138073,138073,0,0,18729,18635,18729,18635,0,0,9712,9712,0,0,0,0,0,0,0
03566924,1,2016,2015,2,.15300,.15300,2,.36060,.36060,12,D,.06370,.06370,0,D,0,D,23954,D,25000,D,0,D,0,D,0,D,0,D,0,D,1200,D,0,D,0,D,1,D,5068,D,853,1748,912,834,1776,1739,7490,7490,48954,48954,48954,48954,1000,1000,0,0,0,0,219,262,48954,48954,0,0,2131,2096,2131,2096,4400,4400,8035,7998,0,0,0,0,0,0,0
03566934,1,2016,2015,0,.00000,.00000,1,.10000,.10000,05,D,.02000,.02000,0,D,0,D,0,D,0,D,18510,D,0,D,0,D,0,D,14496,D,0,D,0,D,0,D,0,D,0,D,817,38,821,816,42,36,0,0,18510,18510,18510,18510,0,0,0,0,0,0,0,0,18510,18510,0,0,821,816,821,816,4044,4129,0,0,0,0,0,0,0,0,0
03566944,1,2016,2015,2,.00000,.00000,3,-.4000,-.4000,24,D,.00000,.00000,0,D,0,D,0,D,0,D,965,D,0,D,0,D,0,D,0,D,2400,D,97,D,0,D,0,D,4224,D,0,-2040,0,0,-2040,-2040,0,0,965,965,965,965,0,0,0,0,0,0,0,0,965,965,0,0,0,0,0,0,9250,9300,0,0,2040,2040,0,0,0,0,0
03566954,1,2016,2015,0,.15300,.15300,2,.10000,.10000,05,D,.00000,.00000,0,D,0,D,19235,D,5743,D,0,D,0,D,0,D,0,D,16200,D,0,D,220,D,0,D,0,D,0,D,430,0,438,428,0,0,3822,3822,24978,24978,24978,24978,0,0,0,0,0,0,0,0,24978,24978,0,0,438,428,438,428,8088,8258,220,220,0,0,0,0,0,0,0
03566954,2,2016,2015,0,.15300,.15300,1,.17650,.17650,05,D,.00000,.00000,0,D,0,D,11906,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-70,0,-63,-72,0,0,1822,1822,11906,11906,11906,11906,0,0,0,0,0,0,223,228,11906,11906,0,0,161,156,161,156,4044,4129,0,0,0,0,0,0,0,0,0
03566954,3,2016,2015,0,.15300,.15300,1,.17650,.17650,05,D,.00000,.00000,0,D,0,D,12529,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,40,0,47,38,0,0,1917,1917,12529,12529,12529,12529,0,0,0,0,0,0,176,180,12529,12529,0,0,223,218,223,218,4044,4129,0,0,0,0,0,0,0,0,0
