NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,T65CT_CY,T65C__CY,T65CT_PY,T65C__PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03502884,1,2016,2015,0,.15300,.15300,2,.10000,.10000,33,D,.04430,.04430,0,D,0,D,24000,D,0,D,0,D,0,D,0,D,0,D,14592,D,0,D,30,D,0,D,0,D,0,D,335,260,340,330,262,258,3672,3672,24000,24000,24000,24000,0,0,0,0,0,0,0,0,24000,24000,0,0,340,330,340,330,15850,15950,0,0,0,0,0,0,0,0,0
03502884,2,2016,2015,0,.15300,.15300,1,.10000,.10000,33,D,.04040,.04040,0,D,0,D,15000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,468,236,470,465,237,235,2295,2295,15000,15000,15000,15000,0,0,0,0,0,0,0,0,15000,15000,0,0,470,465,470,465,7900,7950,0,0,0,0,0,0,0,0,0
03502924,1,2016,2015,2,.02910,.02910,2,.23500,.23500,18,D,.06000,.06000,0,D,0,D,150000,D,120,D,0,D,0,D,0,D,0,D,0,D,2500,D,20,D,0,D,1,D,23404,D,16821,7072,16869,16774,7072,7072,19062,19062,150120,150120,150120,150120,0,0,0,0,0,0,0,0,126716,126716,0,0,16869,16774,16869,16774,2440,2460,25924,25924,0,0,0,0,0,0,0
03502944,1,2016,2015,0,.15300,.15300,2,.14880,.14880,05,D,.04000,.04000,0,D,0,D,65000,D,0,D,-2141,D,0,D,0,D,0,D,0,D,3300,D,5868,D,0,D,0,D,6468,D,4820,758,4831,4809,769,747,9945,9945,62859,62859,62859,62859,0,0,0,0,0,0,0,0,56391,56391,0,0,4831,4809,4831,4809,8088,8258,15636,15636,0,0,0,0,0,0,0
03502954,1,2016,2015,0,.00000,.00000,1,.00000,.00000,34,D,.00000,.00000,1,D,1,D,0,D,0,D,0,D,6000,D,25608,D,0,D,0,D,2100,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,6000,6000,6000,6000,0,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,0,7500,8250,2100,2100,0,0,0,0,0,0,0
03502954,3,2016,2015,0,.00000,.00000,1,-.0765,-.0765,34,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,6000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,6000,6000,6000,6000,0,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,0,7500,8250,0,0,0,0,0,0,0,0,0
03502964,1,2016,2015,0,.00000,.00000,1,-.0765,-.0765,19,D,-.0027,-.0027,0,D,0,D,0,D,0,D,0,D,0,D,20760,D,0,D,5700,D,0,D,103,D,0,D,0,D,300,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03502984,1,2016,2015,1,.15300,.15300,3,.30980,.30980,01,D,.03070,.03070,0,D,0,D,35000,D,0,D,0,D,0,D,0,D,0,D,0,D,160,D,0,D,0,D,0,D,0,D,1315,1327,1339,1291,1326,1329,5355,5355,35000,35000,35000,35000,0,0,0,0,0,0,666,687,35000,35000,0,0,2005,1978,2005,1978,2000,2000,2838,2838,0,0,0,0,0,0,0
03503014,1,2016,2015,2,.15300,.15300,2,.15000,.15000,28,D,.06840,.06840,0,D,0,D,50000,D,40000,D,60,D,0,D,0,D,0,D,0,D,2900,D,450,D,240,D,2,D,5556,D,6231,3070,6249,6214,3075,3065,13770,13770,90060,90060,90060,90060,2000,2000,0,0,48,48,0,0,90060,90060,0,0,8297,8262,8297,8262,12600,12600,0,0,0,0,12,12,0,0,0
03503044,1,2016,2015,1,.15300,.15300,3,.30980,.30980,17,D,.07320,.07320,0,D,0,D,35000,D,0,D,0,D,0,D,0,D,0,D,7800,D,0,D,0,D,0,D,1,D,0,D,315,646,339,291,648,645,5355,5355,35000,35000,35000,35000,1000,1000,0,0,0,0,666,687,35000,35000,0,0,2005,1978,2005,1978,5500,5500,0,0,0,0,0,0,113,117,0
