NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,T65CT_CY,T65C__CY,T65CT_PY,T65C__PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03440054,1,2016,2015,0,.15300,.15300,1,.15000,.15000,07,D,.08950,.08960,0,D,0,D,35277,D,0,D,0,D,0,D,0,D,0,D,9000,D,0,D,0,D,0,D,0,D,0,D,3283,1010,3285,3275,1027,960,5397,5397,35277,35277,35277,35277,0,0,0,0,0,0,0,0,35277,35277,0,0,3285,3275,3285,3275,0,0,0,0,0,0,0,0,0,0,0
03440064,1,2016,2015,0,.15300,.15300,2,.25000,.25000,44,D,.00000,.00000,0,D,0,D,73000,D,70000,D,0,D,0,D,0,D,0,D,0,D,1700,D,780,D,0,D,0,D,3092,D,22170,0,22188,22118,0,0,21879,21879,143000,143000,0,0,0,0,0,0,0,0,0,0,143000,143000,0,0,22188,22118,22188,22118,0,0,0,0,0,0,0,0,0,0,0
03440074,1,2016,2015,2,.00000,.00000,3,-.4000,-.4000,10,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,610,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03440094,1,2016,2015,1,.15300,.15300,2,.25000,.25000,45,D,.05000,.05000,0,D,0,D,96000,D,41000,D,20,D,0,D,0,D,0,D,0,D,1408,D,772,D,0,D,0,D,560,D,19672,6851,19693,19610,6851,6851,20961,20961,137020,137020,137020,137020,0,0,0,0,0,0,0,0,137020,137020,0,0,19693,19610,19693,19610,0,0,0,0,0,0,0,0,0,0,0
03440114,1,2016,2015,0,.00000,.00000,1,.00000,.00000,25,D,.00000,.00000,1,D,1,D,0,D,0,D,0,D,0,D,0,D,0,D,6360,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,2300,0,0,0,0,0,0,0,0,0
03440124,1,2016,2015,4,.15300,.15300,2,.14890,.14890,10,D,.00000,.00000,0,D,0,D,43000,D,42000,D,0,D,0,D,0,D,0,D,0,D,4160,D,0,D,0,D,3,D,12576,D,2547,0,2560,2508,0,0,13005,13005,85000,85000,0,0,3000,3000,0,0,0,0,0,0,72424,72424,0,0,5560,5508,5560,5508,0,0,0,0,0,0,0,0,0,0,0
03440134,1,2016,2015,0,.15300,.15300,1,.15000,.15000,24,D,.05350,.05350,0,D,0,D,21000,D,0,D,-210,D,0,D,0,D,0,D,15912,D,0,D,0,D,0,D,0,D,0,D,1110,-1184,1112,1102,-1181,-1194,3213,3213,20790,20790,20790,20790,0,0,0,0,0,0,0,0,20790,20790,0,0,1112,1102,1112,1102,6300,6300,0,0,1742,1752,0,0,0,0,0
03440134,2,2016,2015,0,.15300,.15300,1,.15000,.15000,24,D,.05350,.05350,0,D,0,D,24993,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1740,785,1743,1733,786,783,3824,3824,24993,24993,24993,24993,0,0,0,0,0,0,0,0,24993,24993,0,0,1743,1733,1743,1733,6300,6300,0,0,0,0,0,0,0,0,0
03440144,1,2016,2015,3,.15300,.15300,3,.14310,.14310,06,D,.04630,.04630,0,D,0,D,56745,D,0,D,90,D,0,D,0,D,0,D,0,D,3500,D,66,D,0,D,2,D,13476,D,740,1086,749,713,1084,1092,8682,8682,56835,56835,56835,56835,2000,2000,0,0,0,0,0,0,43359,43359,0,0,2749,2713,2749,2713,0,0,0,0,0,0,0,0,0,0,0
03440154,1,2016,2015,0,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,768,D,0,D,1836,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
