,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_imp_mean,nn_oracle,nn_pi_imp_mean,nn_pi_oracle,nn_resamp_imp_mean,nn_resamp_oracle,nn_wmse_imp_mean,nn_wmse_oracle,nn_deriv_imp_mean,nn_deriv_oracle
29,11.90991738,11.87365474,11.39642268,12.55828613,11.50493612,11.50301496,11.86097122,11.78113158,11.76490074,11.83124852,11.45621083,0,-668.8248067,8.499591206,11.87002233,0
30,11.90991738,12.23431185,11.7634332,12.92155026,11.83694976,11.83237502,11.96590623,12.25799765,12.12344556,12.27895409,11.64359549,0,-1073.594218,-410.958384,12.10665075,0
31,11.90991738,11.99759497,11.42941641,12.59136601,11.51864666,11.52412408,11.62633086,12.01766955,11.83702098,11.90740337,11.32182838,0,-526.6647419,46.89677048,11.69076378,0
32,11.90991738,12.02034654,11.6192306,12.7422814,11.67669219,11.67741641,11.87214993,11.97229846,11.81444103,11.93175606,12.18864805,0,-282.9063715,-49.46319307,11.89783822,0
33,11.90991738,11.89706103,11.45061021,12.68759951,11.58256336,11.5683204,11.90714123,11.89723833,11.84778105,11.88040925,11.78600582,0,-310.3176781,-622.8535607,11.87529332,0
34,11.90991738,11.82127865,11.29596917,12.59639255,11.39954339,11.405666,11.6630371,11.79337245,11.76852183,11.76016917,11.5336265,0,100.9050232,14.30761748,11.73734347,0
35,11.90991738,11.94149381,11.35952449,12.58978323,11.50502392,11.49825849,11.73251023,11.90085638,11.72067803,11.9298065,11.61926917,0,118.9229211,1120.53751,11.76797922,0
36,11.90991738,11.83591733,11.26841754,12.48033935,11.42779783,11.40299029,11.67688513,11.74171985,11.75598217,11.75856278,11.84981071,0,370.8035134,1093.592447,11.77060542,0
37,11.90991738,11.95416434,11.42760959,12.63730127,11.55178227,11.56957514,11.78030487,11.85776566,11.7433333,11.87212868,11.73449298,0,-317.0037382,-50.53154864,11.6883674,0
38,11.90991738,11.89265059,11.31801239,12.53793363,11.42354499,11.4200948,11.68593,11.82864581,11.79739233,11.85037283,11.48342594,0,-196.7963706,-1646.515166,11.71214244,0
39,11.90991738,11.64626943,10.98016024,12.27468541,11.0795442,11.07852865,11.30933892,11.65365717,11.38388517,11.58712886,11.05401416,0,-673.2893581,-1033.270797,11.34533938,0
40,11.90991738,12.0201182,11.49475246,12.60752518,11.6022347,11.6035605,11.72325456,12.01108013,11.75357869,11.98590207,11.84291958,0,-1989.825514,-3035.916374,11.87514026,0
41,11.90991738,12.16264043,11.73862206,12.83154231,11.83220979,11.83425475,12.05636317,12.16039163,12.06532549,12.11153167,12.08343618,0,-126.4864347,-1020.867741,12.04066924,0
42,11.90991738,12.14619651,11.66850159,12.73620856,11.76937977,11.76601674,12.02902601,12.09204087,12.01553328,12.11257184,11.73652801,0,-1847.603714,-1260.076294,11.98370614,0
43,11.90991738,11.66509785,11.0882145,12.24559206,11.15599183,11.15021717,11.41024106,11.58049502,11.45159647,11.65396807,11.10085362,0,-1299.032832,0,0,0
44,11.90318593,12.09614151,11.58902925,12.6809417,11.65701285,11.66325106,11.97625202,12.06753863,11.9618242,12.03842213,12.06021186,0,-62.10250998,315.8816655,11.9987691,0
45,11.90318593,11.89460283,11.27302496,12.51265441,11.41335704,11.40841757,11.55609282,11.83102209,11.84758845,11.86792988,11.61696374,0,-335.5457565,69.80880106,11.7763465,0
46,11.90318593,11.76972321,11.27216513,12.61351718,11.38526489,11.37165695,11.66415627,11.75956979,11.55876719,11.74465682,11.38684028,0,-196.6043046,-1221.174135,11.70744897,0
47,11.90318593,11.50679173,10.86115391,12.3420422,10.99998698,10.99093299,11.22294282,11.47220887,11.31957767,11.49429818,11.1422914,0,-444.5671296,-17.93457284,11.36690928,0
48,11.90318593,11.65815469,11.17644593,12.57725423,11.24879676,11.23257214,11.49295095,11.61048065,11.57324945,11.65608603,11.40341056,0,-455.336469,-195.9006231,11.57471934,0
49,11.90318593,12.06316211,11.71851346,12.89347888,11.79781776,11.79157038,12.07700576,12.0899555,12.04626396,12.06235914,12.01739761,0,-283.307847,-804.1982162,12.05166482,0
50,11.90318593,11.80173378,11.20481741,12.61260767,11.25819919,11.25535809,11.60404699,11.78438149,11.58511562,11.76324026,11.65803676,0,-776.2442706,-2576.996232,11.60273519,0
51,11.90318593,11.75491987,11.26763062,12.64358821,11.33201201,11.3282685,11.36403877,11.7427498,11.61132441,11.68743394,11.83910495,0,-532.1843633,-832.9873904,11.62309496,0
52,11.90318593,11.7388714,11.1566513,12.46937777,11.32288495,11.3271685,11.43049915,11.63799912,11.64811727,11.67112878,11.35849389,0,-341.0568424,-1362.314588,11.61032497,0
53,11.90318593,11.90259004,11.35472196,12.68014019,11.50135232,11.50105915,11.5986519,11.83589025,11.76847585,11.83035101,11.41439148,0,-65.3522989,-53.08394431,11.71508236,0
54,11.90318593,12.0117909,11.5528933,12.69209795,11.60662374,11.59367948,11.76110156,11.96748621,11.8499697,11.97047733,11.72146721,0,-196.1675846,-1482.434591,11.82409485,0
55,11.90318593,11.76075404,11.23036708,12.54163131,11.3453533,11.33918502,11.68458538,11.73296731,11.64773702,11.70765442,11.54242125,0,-478.3564315,-2264.106079,11.66729831,0
56,11.90318593,11.83622436,11.27843207,12.54379651,11.37780296,11.367515,11.6762378,11.7254847,11.66963957,11.74317605,11.37799994,0,-207.868013,13.72113608,11.6498168,0
