,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_imp_mean,nn_oracle,nn_pi_imp_mean,nn_pi_oracle,nn_wmse_imp_mean,nn_wmse_oracle
,442.3090187,434.047402,414.078577,495.6079038,415.6273404,414.0341264,432.458166,432.4980272,433.5169344,433.5532986,384.9886927,441.9507885
,442.3090187,426.3124063,409.7077157,495.8962596,411.1785668,409.8469789,427.2346364,427.3479375,425.9962768,426.5413038,429.7906001,386.9279613
,442.3090187,442.3296721,425.5646754,507.81984,426.321313,425.5698724,442.6604727,442.5604622,442.3451847,442.6829972,437.8111282,433.9344071
,442.3090187,446.4556736,429.6802908,503.1796827,427.7784907,429.2693204,446.8615632,445.3169904,446.4256178,446.5583973,423.9516146,504.0481004
,442.3090187,430.2668281,413.4479793,495.9027253,414.7878855,413.5531304,429.0983162,429.2217878,430.5716073,430.2944849,456.5455975,534.3306978
,442.3090187,451.541884,432.5924493,511.6303859,433.3826358,432.5161209,450.1997667,450.9310808,451.2756714,451.1288362,379.189293,445.0548118
,442.3090187,436.006227,418.1137802,496.5286756,419.3001579,418.3599808,436.0901025,435.4215997,435.5946926,435.8116892,504.9768487,465.7366377
,442.3090187,454.0637075,441.4454515,513.7065101,442.6375058,441.3017581,452.7170566,453.3564487,452.6495558,453.563083,465.2473682,487.8854374
,442.3090187,454.9473049,440.7208687,515.0602584,440.5376138,440.5360756,456.3607072,455.1201896,455.3878073,455.2289199,423.7230657,398.528377
,442.3090187,434.3455207,416.9421549,499.6499524,418.6849649,416.9654343,434.6468177,433.3938418,435.1071102,434.3278832,419.7423437,451.904031
,442.3090187,435.095502,416.0052998,500.1909863,417.5533309,415.9232731,432.4082197,432.3426519,434.995007,434.1901417,323.3029343,475.3835614
,442.3090187,439.5609928,422.0197814,502.8156904,420.9290989,421.7787228,439.1958824,438.5430417,439.8401205,439.8892265,411.4753099,461.6213753
,442.3090187,440.5286456,424.3102165,497.8668723,424.9332329,424.3516735,441.4658908,440.9590904,440.7515512,440.2121839,418.5718251,274.0092445
,442.3090187,440.6738615,423.7188795,504.0665647,423.717813,423.6900217,438.5958474,438.7936438,439.5288076,440.0616463,430.0043457,426.1059124
,442.3090187,434.8293258,414.2197373,500.8097544,414.7703054,414.2156587,433.6786127,433.7933304,434.3625635,434.3431783,420.9714638,305.5460698
,442.3090187,447.6647998,434.4527179,505.1479825,435.8212447,434.404094,447.2409274,447.1015448,447.4408053,447.5848115,462.8720538,477.0424444
,442.5716853,440.9625174,422.8390741,502.6616621,423.3132766,422.7933344,440.1853244,439.7279926,440.6667662,440.6239495,432.7063353,413.5317357
