"","true_mean","oracle_mean","pi_naive_mean","median_imp_mean","lin_imp_mean","lin_oracle","nn_imp_mean","nn_oracle","nn_pi_imp_mean","nn_pi_oracle","nn_resamp_imp_mean","nn_resamp_oracle","nn_wmse_imp_mean","nn_wmse_oracle","nn_deriv_imp_mean","nn_deriv_oracle"
"1",441.099087223831,445.560746797065,426.993305721924,502.767986478784,427.210834287931,426.927226897004,445.127831926228,445.329269590383,446.03061666934,445.557087554662,0,0,499.732860864992,469.122015627966,0,0
"2",441.099087223831,436.37410000584,417.231106775132,492.028642344504,417.306945197203,417.316221668584,438.764461329738,436.022625160216,434.434122833448,435.740647229087,0,0,353.216243937767,327.665854843188,0,0
"3",441.099087223831,448.410147154208,430.864647835482,507.787193644678,433.549034682531,430.865768429601,448.717206241799,447.942643771458,448.857170041841,448.46119292124,0,0,417.206681782013,465.858712924919,0,0
"4",441.099087223831,465.596128459074,451.716246669537,516.143193492829,453.265487111464,451.647000022145,465.33428568632,464.348585865265,465.389335520307,464.647247096654,0,0,442.728693849211,531.030721211982,0,0
"5",441.099087223831,437.9874171147,420.692737185012,499.726128690109,421.923795476354,420.794571282708,438.171794353712,437.435211046472,437.934842979368,437.52404095976,0,0,361.141877670849,329.395197009219,0,0
"6",441.099087223831,437.130948697679,421.260733710617,502.781292004147,421.895105797502,421.13768856131,436.597575482324,435.811176944341,436.031768707242,436.475510548899,0,0,409.828086283394,405.51614733176,0,0
"7",441.099087223831,437.3852507996,414.712155316195,496.407793968751,414.823169760369,414.540445205041,436.063201863861,433.93930407491,436.288444775816,436.647051560034,0,0,439.620602598597,482.991344632381,0,0
"8",441.099087223831,435.971863740298,416.337312286229,500.636572859794,416.410561600201,416.332492455024,434.641807513024,433.956422058667,436.831012576234,435.54679896548,0,0,408.073366970462,445.070799413172,0,0
"9",441.099087223831,436.251427634009,417.296048149158,498.993481719212,416.861736440196,417.210313398644,434.245258543098,434.166753634625,436.047804897076,435.938717403095,0,0,455.939464455936,460.028383755418,0,0
"10",441.099087223831,434.491291942799,410.604234134619,501.581938946714,411.423804924374,410.619780795441,432.271036731771,432.483459879005,434.524680104722,434.221769378805,0,0,433.485418706938,297.165445743728,0,0
"11",441.099087223831,448.065812269102,427.668123576623,503.044053907497,428.621771816064,427.318569273432,448.148893913321,448.146527618842,447.422586470373,447.481352238677,0,0,451.861966781043,491.873669084042,0,0
"12",441.099087223831,447.611316010808,430.92824472102,504.672228065218,430.370893444754,430.585260261183,445.688249592629,446.274540071901,446.378867384739,446.628338757132,0,0,403.407800139466,160.562206909455,0,0
"13",441.099087223831,448.891290102771,432.314621603651,501.960765539054,432.819329022644,432.150158699005,449.021680719198,446.902609748015,448.715140577905,447.814175961297,0,0,463.117903929425,527.472744717419,0,0
"14",441.099087223831,430.624466330199,411.760300219135,498.141286233786,411.908266353696,411.8124979705,429.799734126549,429.156555301444,429.994521169195,429.795395839296,0,0,424.108730178028,390.953735477656,0,0
"15",441.099087223831,448.20312054007,430.786570088852,506.693824118601,431.235907071776,430.796211940359,447.957910626854,447.516646318212,447.754727099731,447.964994910239,0,0,445.301562803215,496.251503272438,0,0
"16",441.099087223831,445.905002034269,424.886221914215,500.76457469191,425.995515982171,424.661809689429,444.203438860733,443.101272103083,444.747410038671,445.284099944046,0,0,422.63239453262,156.870338759014,0,0
"17",441.099087223831,439.381085116074,422.130716459271,500.917623241977,423.394803744891,422.279412339919,438.011652523796,438.331828380214,439.071670843967,438.604009177038,0,0,461.900505052198,466.608468909395,0,0
"18",441.099087223831,453.168297351406,436.370307108891,505.909952887783,437.486845420548,436.478737244675,452.189655954869,452.530608761939,452.838404144916,452.863505837915,0,0,454.383393836396,462.86364066089,0,0
"19",441.099087223831,438.118851257587,418.523332575233,501.558196233388,418.541687199946,418.477944787544,436.844809740208,435.840625173824,438.265176579134,437.653929320421,0,0,447.469757855542,459.828025429928,0,0
"20",441.099087223831,445.841863518312,428.927827936785,505.996542185106,429.114615994817,428.875928418011,444.430790842143,444.753768216907,445.384115493574,445.17442359087,0,0,455.712635332513,502.547274730942,0,0
"21",441.099087223831,450.279070562466,434.319746973746,508.611691301633,434.605154274814,434.317055583144,448.456446080167,449.403334815602,448.769454909065,449.89037424766,0,0,462.092370000771,482.60092657023,0,0
"22",441.099087223831,446.107568952945,428.426960537983,502.961523223921,429.420802208758,428.375466848431,446.268961054752,445.1648372011,446.028109464911,446.288211745855,0,0,442.782804465639,544.310553157602,0,0
"23",441.099087223831,429.356357696303,411.144159524199,497.736573215426,410.71997063031,411.125755817796,429.855318863783,428.403228252443,429.36054738761,429.370231484436,0,0,399.895652184288,363.47704240716,0,0
"24",441.099087223831,453.267456658102,432.651283884555,508.132479371335,433.873489147089,432.487154727812,452.733959076717,450.931857785015,451.765617984479,452.069670756305,0,0,466.27319097428,462.891357141813,0,0
"25",441.099087223831,436.577592723208,415.892468825337,498.66641831026,416.858422202624,416.027890265477,433.952482378421,433.862124532302,436.595794566242,436.135131805832,0,0,553.46304484446,460.469813307207,0,0
"26",441.099087223831,432.870061286244,410.955219176656,494.772919046364,410.961317851529,410.902528302878,430.622788782815,429.978072859246,432.216238099555,432.09475435759,0,0,416.135769207441,138.73876421684,0,0
"27",441.099087223831,434.670519380277,418.445305222875,499.031266522311,419.26898713453,418.484658889145,437.835506093509,436.505557357694,435.542639109535,435.528802610991,0,0,433.062282202774,456.633546163253,0,0
"28",441.099087223831,440.751480137979,423.579187935756,500.858843206176,424.541373508843,423.532869885173,437.704307622902,438.231931014207,440.002933978809,440.075052604644,0,0,466.610169745523,374.752646793249,0,0
"29",441.099087223831,450.448865705239,429.563566796575,502.188501479802,430.190865613872,429.729782318914,447.410717573563,446.095483253953,449.218075355153,448.742081723517,0,0,426.388117517868,477.011262692559,0,0
"30",441.099087223831,448.728146426232,430.14079507015,502.06019914788,429.709944350753,429.954417043317,447.786246987425,445.940804584608,446.992808565215,447.676637887032,0,0,456.082078376565,515.231997098127,0,0
"31",441.099087223831,443.491797620211,426.508063755487,500.929935757693,427.124989973383,426.563988233828,439.552167941079,440.569673232809,444.811432749628,443.73442309058,0,0,434.760134672202,422.469692085325,0,0
"32",441.099087223831,432.668620504764,414.013776579519,499.208451865697,414.480148702786,414.033475141928,430.254804364127,429.578732836072,432.4495711144,431.48140044602,0,0,481.297790990173,451.294031663614,0,0
