,true_mean,oracle_mean,naive_mean,pi_naive_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean
186,0,21.49055989,26.13582316,26.0576975,26.06630831,26.02301559,26.06525829,0,0
187,0,21.68392647,26.15860219,26.07476018,26.2495711,25.74128121,26.15281446,0,0
188,0,21.39249835,26.20778688,26.1244682,26.0022753,25.97217532,25.90052031,0,0
189,0,21.47627932,26.16518895,26.065709,26.06992444,26.08198024,25.99960433,0,0
190,0,21.54299232,26.15528155,26.07108588,26.1004847,24.87544504,23.0234525,0,0
191,0,21.52292377,26.18110365,26.09804527,26.09013916,21.56346194,26.08075422,0,0
192,0,21.54631307,26.17376689,26.08992912,26.12132642,26.08845222,26.08924015,0,0
193,0,21.56670715,26.13510244,26.03419349,26.1711205,26.09368727,26.12465261,0,0
194,0,21.51133167,26.18459893,26.09499454,26.1148387,21.55218349,26.00707508,0,0
195,0,21.46357005,26.19261518,26.10264412,26.03549512,25.65848837,25.56935122,0,0
196,0,21.58463801,26.19699684,26.11499522,26.14849274,26.11097054,21.65120977,0,0
197,0,21.45117948,26.19359561,26.10830746,26.01323405,25.95164183,22.60903208,0,0
198,0,21.65509968,26.21266147,26.11265943,26.2164913,26.23584763,26.22779591,0,0
199,0,21.63189687,26.26955089,26.18638762,26.23612625,21.6668842,26.23069811,0,0
200,0,21.55287151,26.17582507,26.08467239,26.13889152,26.17353998,25.78171115,0,0
201,0,21.65310376,26.21972036,26.14711479,26.24137934,26.17140742,26.27188342,0,0
202,0,21.51744214,26.21672967,26.12828302,26.13084772,23.00712205,26.13910463,0,0
203,0,21.57683173,26.18306947,26.08344723,26.17041058,26.00063943,26.19394155,0,0
204,0,21.48222803,26.16052318,26.06753112,26.0797945,26.00890783,21.52302633,0,0
205,0,21.5016605,26.19373081,26.10991609,26.07928809,21.54238788,22.33522087,0,0
206,0,21.52998115,26.18702903,26.09054667,26.13922472,23.87228521,26.09556086,0,0
207,0,21.62297257,26.19071725,26.09852852,26.23996427,24.37943776,26.24514897,0,0
208,0,21.46949411,26.19360245,26.10268846,26.05819394,26.10696288,23.63445719,0,0
209,0,21.52756086,26.15457153,26.06288478,26.13337587,26.09838663,26.08178081,0,0
210,0,21.55829864,26.15429811,26.06946663,26.17462681,24.26157464,26.16987855,0,0
211,0,21.61033488,26.14590091,26.06347684,26.18941353,26.30569189,25.68155021,0,0
212,0,21.55975081,26.1777606,26.107221,26.12439558,26.0733702,26.06450522,0,0
213,0,21.62331509,26.13459711,26.04333746,26.20229208,26.19331556,25.05212511,0,0
214,0,21.54365514,26.13529535,26.04978205,26.08237013,26.08863502,26.11656101,0,0
215,0,21.65169684,26.23029574,26.13971286,26.22140653,26.14173485,24.33341935,0,0
216,0,21.54791781,26.18568982,26.09212925,26.09919061,26.05197944,26.10561893,0,0
217,0,21.56557534,26.15568337,26.05583195,26.17662002,26.18772749,25.48618583,0,0
218,0,21.57700667,26.20159835,26.13000479,26.17325706,24.79512248,23.33432202,0,0
219,0,21.53229056,26.12735029,26.04163006,26.15883828,26.12233066,26.13269081,0,0
220,0,21.67454283,26.22488003,26.13555479,26.23416113,26.17817126,24.22640856,0,0
221,0,21.46780354,26.15787365,26.07106047,26.00905849,21.50829659,25.93844796,0,0
222,0,21.62358993,26.1643295,26.07359167,26.20818509,21.56856282,26.2128021,0,0
223,0,21.48631835,26.18886252,26.11174605,26.10026782,26.01433523,25.71294489,0,0
224,0,21.57409759,26.18679565,26.10152115,26.17828406,26.19774062,26.21516738,0,0
