"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20152","02944624",31,0,"1",.,"A"
"20152","02944674",11,0,"1",.,"A"
"20152","02944714",6,0,"1",.,"A"
"20152","02944754",61,0,"1",.,"A"
"20152","02944804",37,0,"1",.,"A"
"20152","02944844",39,0,"1",.,"A"
"20152","02944864",27,0,"1",.,"A"
"20152","02944894",40,0,"1",.,"A"
"20152","02944994",22,0,"1",.,"A"
"20152","02945064",60,0,"1",.,"A"
"20152","02945124",18,0,"1",.,"A"
"20152","02945134",16,0,"1",.,"A"
"20152","02945164",25,0,"1",.,"A"
"20152","02945244",35,0,"1",.,"A"
"20152","02945324",17,0,"1",40,"D"
"20152","02945334",36,0,"1",.,"A"
"20152","02945344",35,0,"1",.,"A"
"20152","02945434",100,0,"1",.,"A"
"20152","02945444",48,0,"1",.,"A"
"20152","02945514",32,0,"1",0,"D"
"20152","02945544",24,0,"1",.,"A"
"20152","02945584",35,0,"1",.,"A"
"20152","02945594",63,0,"1",.,"A"
"20152","02945664",40,0,"1",.,"A"
"20152","02945764",21,0,"1",.,"A"
"20152","02945814",21,0,"1",.,"A"
"20152","02945824",13,0,"1",.,"A"
"20152","02945844",34,0,"1",.,"A"
"20152","02945854",38,0,"1",.,"A"
"20152","02945864",27,0,"1",.,"A"
"20152","02945894",24,0,"1",.,"A"
"20152","02945914",36,0,"1",.,"A"
"20152","02945924",15,0,"1",.,"A"
"20152","02945934",29,0,"1",.,"A"
"20152","02945964",57,0,"1",.,"A"
"20152","02946004",68,0,"1",.,"A"
"20152","02946014",19,0,"1",.,"A"
"20152","02946054",19,0,"1",.,"A"
"20152","02946084",15,0,"1",.,"A"
"20152","02946104",13,0,"1",.,"A"
"20152","02946144",42,0,"1",.,"A"
"20152","02946194",20,0,"1",.,"A"
"20152","02946234",31,0,"1",.,"A"
"20152","02946254",34,0,"1",.,"A"
"20152","02946264",36,0,"1",.,"A"
"20152","02946324",37,0,"1",.,"A"
"20152","02946344",25,0,"1",.,"A"
"20152","02946354",20,0,"1",.,"A"
"20152","02946374",39,0,"1",.,"A"
"20152","02946384",16,0,"1",.,"A"
"20152","02946394",16,0,"1",.,"A"
"20152","02946434",11,0,"1",.,"A"
"20152","02946444",45,0,"1",.,"A"
"20152","02946474",20,0,"1",.,"A"
"20152","02946564",20,0,"1",.,"A"
"20152","02946584",29,0,"1",.,"A"
"20152","02946614",23,0,"1",.,"A"
"20152","02946664",18,0,"1",.,"A"
"20152","02946704",32,0,"1",.,"A"
"20152","02946724",31,0,"1",.,"A"
"20152","02946874",45,0,"1",.,"A"
"20152","02946884",16,0,"1",.,"A"
"20152","02946904",20,0,"1",.,"A"
"20152","02946914",29,0,"1",.,"A"
"20152","02946934",35,0,"1",.,"A"
"20152","02946974",31,0,"1",.,"A"
"20152","02947024",57,0,"1",.,"A"
"20152","02947094",26,0,"1",.,"A"
"20152","02947124",52,0,"1",.,"A"
"20152","02947194",9,0,"1",.,"A"
"20152","02947204",39,0,"1",.,"A"
"20152","02947224",28,0,"1",.,"A"
"20152","02947284",42,0,"1",.,"A"
"20152","02947304",38,0,"1",.,"A"
"20152","02947314",25,0,"1",.,"A"
"20152","02947324",9,0,"1",.,"A"
"20152","02947354",33,0,"1",.,"A"
"20152","02947384",23,0,"1",.,"A"
"20152","02947394",31,0,"1",.,"A"
"20152","02947404",39,0,"1",.,"A"
"20152","02947414",41,0,"1",101,"D"
"20152","02947464",27,0,"1",.,"A"
"20152","02947534",30,0,"1",.,"A"
"20152","02947544",95,0,"1",.,"A"
"20152","02947554",14,0,"1",.,"A"
"20152","02947584",13,0,"1",.,"A"
"20152","02947614",30,0,"1",.,"A"
"20152","02947654",10,0,"1",.,"A"
"20152","02947674",26,0,"1",.,"A"
"20152","02947684",17,0,"1",.,"A"
"20152","02947734",50,0,"1",.,"A"
"20152","02947754",9,0,"1",.,"A"
"20152","02947774",8,0,"1",.,"A"
"20152","02947854",84,0,"1",.,"A"
"20152","02947884",56,0,"1",.,"A"
"20152","02947924",60,0,"1",10,"D"
"20152","02947934",16,0,"1",.,"A"
"20152","02947944",16,0,"1",.,"A"
"20152","02947964",22,0,"1",.,"A"
"20152","02947974",30,0,"1",.,"A"
"20152","02947994",40,0,"1",.,"A"
"20152","02948014",10,0,"1",.,"A"
"20152","02948114",29,0,"1",.,"A"
"20152","02948184",25,0,"1",.,"A"
"20152","02948194",43,0,"1",.,"A"
"20152","02948224",31,0,"1",100,"D"
"20152","02948254",49,0,"1",.,"A"
"20152","02948314",14,0,"1",.,"A"
"20152","02948334",69,0,"1",.,"A"
"20152","02948354",24,0,"1",.,"A"
"20152","02948364",53,0,"1",.,"A"
"20152","02948374",23,0,"1",.,"A"
"20152","02948384",43,0,"1",.,"A"
"20152","02948404",26,0,"1",.,"A"
"20152","02948414",20,0,"1",.,"A"
"20152","02948434",40,0,"1",.,"A"
"20152","02948474",50,0,"1",.,"A"
"20152","02948484",47,0,"1",.,"A"
"20152","02948494",16,0,"1",.,"A"
"20152","02948514",16,0,"1",.,"A"
"20152","02948534",36,0,"1",.,"A"
"20152","02948554",16,0,"1",.,"A"
"20152","02948564",15,0,"1",.,"A"
