"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CRMCODEB","CRMC_DEB","CRMPROPI","CRMP_OPI","CRMTYPE","CRMTYPE_","APPCDE1","APPCDE1_","APPCDE2","APPCDE2_","APPCDE3","APPCDE3_","APPCDE4","APPCDE4_","APPCDE5","APPCDE5_","APPCDE6","APPCDE6_","REIMBRSZ","REIM_RSZ","CRMBSNSZ","CRMB_NSZ","QADEQPX1","QADE_PX1","QADEQPX2","QADE_PX2","QADEQPX3","QADE_PX3","QADEQPX4","QADE_PX4","QADEQPX5","QADE_PX5","QADEQPX6","QADE_PX6","QADPSP3X","QADP_P3X","QADPSP2X","QADP_P2X","QADPSPLX","QADP_PLX","QADRSP3X","QADR_P3X","QADRSP2X","QADR_P2X","QADRSPLX","QADR_PLX","CRMPTYPE","CRMP_YPE","CRMCODE","CRMCODE_","CRMCDB1","CRMCDB1_","CRMCDB2","CRMCDB2_","CRMCDB3","CRMCDB3_","CRMCDB4","CRMCDB4_","CRMCDB5","CRMCDB5_","CRMCDB6","CRMCDB6_","CRMCDB7","CRMCDB7_","CRMCDB8","CRMCDB8_","CRMCDB9","CRMCDB9_","CONTRACT","CONT_ACT","JLABOR1X","JLAB_R1X","JLABOR2X","JLAB_R2X","JLABOR3X","JLAB_R3X"
"20152","02873275",8,0,"1","140","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A","1","D","399","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A"
"20152","02873365",8,0,"1","280","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",350,"D",0,"D",.,"A",.,"A",.,"A","1","D","220","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A"
"20152","02873405",7,0,"1","140","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","399","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0,"D",0,"D",1850,"D"
"20152","02873645",8,0,"1","140","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",0,"D",46,"D",.,"A",.,"A",.,"A","1","D","399","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A"
"20152","02873645",9,0,"1","140","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","399","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",35,"D",0,"D",0,"D"
"20152","02873645",10,0,"1","140","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","399","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",35,"D",0,"D",0,"D"
"20152","02873645",11,0,"1","160","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","499","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0,"D",0,"D",0,"D"
"20152","02873645",12,0,"1","280","D","01","D","3","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","511","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",80,"D",0,"D",0,"D"
"20152","02873705",7,0,"1","220","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","405","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0,"D",0,"D",0,"D"
"20152","02873735",4,0,"1","160","D","01","D","3","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","305","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",1100,"D",0,"D",0,"D"
"20152","02873895",4,0,"1","235","D","01","D","3","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","599","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0,"D",13900,"D",0,"D"
"20152","02873895",5,0,"1","235","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","409","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0,"D",0,"D",500,"D"
"20152","02873895",6,0,"1","210","D","01","D","3","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",1000,"D",0,"D",.,"A",.,"A",.,"A","1","D","506","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A"
"20152","02873895",58,0,"2","140","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","399","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0,"D",0,"D",400,"D"
"20152","02874065",12,0,"1","140","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","399","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",650,"D",0,"D",0,"D"
"20152","02874065",13,0,"1","220","D","01","D","3","D","100","D",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",316,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","505","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",5886,"D",0,"D",0,"D"
"20152","02874065",65,0,"2","310","D","01","D","3","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","501","D","300","D","200","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"H"
"20152","02874065",65,7,"2","200","D",,"B","3","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",249,"D"
"20152","02874065",65,8,"2","300","D",,"B","3","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",371,"D"
