"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20152","03057753",20,0,"5","01","D","100","D",0.0784,"D",220000,"D",30,"D",1590,"D",,"A",,"A",,"A",,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","06","D","2008","D","2","D",,"A",204045,"D",203788,"D",203529,"D","01","D","1","D",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03057763",26,0,"1","01","D","100","D",0.04,"D",50000,"D",15,"D",800,"D",,"B",,"B",,"B",,"B",430,"D",277,"D",278,"D",279,"D",93,"D",92,"D",91,"D",,"A","05","D","2007","D","1","D",,"A",27874,"D",27597,"D",27319,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03057763",27,0,"1","02","D","300","D",0.04,"D",13000,"D",10,"D",167,"D","3","D","4","D",,"A",,"A",35,"D",113,"D",113,"D",113,"D",19,"D",19,"D",19,"D",,"A","02","D","2009","D","1","D",,"A",5798,"D",5686,"D",5573,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03057933",28,0,"5","01","D","100","D",0.0784,"F",172423,"F",30,"F",1654,"F","3","F","4","F","5","F",,"A",408,"F",171,"F",172,"F",173,"F",1075,"F",1074,"F",1073,"F",,"A","08","F","2010","F","1","F",,"A",164545,"F",164374,"F",164202,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03057984",13,0,"1","01","D","100","D",0.0784,"F",220000,"F",30,"F",1600,"F","3","F","4","F","5","F",,"A",10,"F",218,"F",220,"F",221,"F",1029,"F",1028,"F",1027,"F",,"A","07","F","2010","F","1","F",,"A",209936,"F",209717,"F",209497,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03057992",7,0,"1","01","D","100","D",0.0784,"D",159415,"D",30,"D",1500,"D","3","D",,"A","5","D",,"A",348,"D",251,"D",253,"D",254,"D",901,"D",899,"D",898,"D",,"A","08","D","2004","D","1","D",,"A",137909,"D",137658,"D",137405,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058082",13,0,"1","01","D","100","D",0.0525,"F",131473,"F",30,"F",900,"F","3","F","4","F",,"A",,"A",174,"F",221,"F",222,"F",223,"F",505,"F",504,"F",503,"F",,"A","10","F","2007","F","1","F",,"A",115328,"F",115107,"F",114884,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058094",15,0,"5","01","D","100","D",0.062,"D",60000,"D",30,"D",511,"D",,"B",,"B",,"B",,"B",144,"D",73,"D",73,"D",73,"D",294,"D",294,"D",294,"D",,"A","03","D","2011","D","1","D",,"A",56977,"D",56904,"D",56831,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058163",22,0,"5","02","D","200","D",0.116,"D",167000,"D",30,"D",809,"D",,"A",,"A",,"A",,"A",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","08","D","1984","D","1","D",,"A",.,"A",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058173",34,0,"5","01","D","100","D",0.045,"D",115000,"D",30,"D",926,"D","3","D","4","D","5","D",,"A",343,"D",.,"A",.,"A",159,"D",.,"A",.,"A",424,"D",,"A","04","D","2014","D","1","D","042015","D",.,"A",.,"A",113141,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058173",57,0,"5","01","D","100","D",0.045,"D",115000,"D",30,"D",985,"D","3","D","4","D",,"A",,"A",402,"D",158,"D",158,"D",.,"A",425,"D",425,"D",.,"A","042015","D","04","D","2014","D","1","D",,"A",113457,"D",113299,"D",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058222",27,0,"5","01","D","100","D",0.0784,"F",45251,"F",30,"F",327,"F",,"A","4","F",,"A",,"A",0,"F",42,"F",42,"F",43,"F",285,"F",285,"F",284,"F",,"A","05","F","2011","F","1","F","022015","F",43617,"F",43575,"F",43532,"F","01","D",,"A",,"A","3","D",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058262",18,0,"5","01","D","100","D",0.04,"D",38000,"D",30,"D",338,"D",,"B",,"B",,"B",,"B",157,"D",137,"D",138,"D",138,"D",44,"D",43,"D",43,"D",,"A","11","D","1991","D","1","D",,"A",13051,"D",12914,"D",12776,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
