"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20161","03097384",11,0,"5","01","D","100","D",0.08,"D",31392,"D",15,"D",300,"D",,"A",,"A",,"A",,"A",0,"D",167,"D",168,"D",169,"D",133,"D",132,"D",131,"D",,"A","02","D","2008","D","1","D",,"A",19923,"D",19756,"D",19587,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03098264",54,0,"5","01","D","100","D",0.04,"D",11000,"D",10,"D",117,"D",,"B",,"B",,"B",,"B",6,"D",79,"D",79,"D",80,"D",32,"D",32,"D",31,"D",,"A","03","D","2014","D","1","D",,"A",9544,"D",9465,"D",9386,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03099424",40,0,"5","01","D","100","D",0.859,"F",43800,"F",15,"D",545,"F",,"A",,"A",,"A",,"A",0,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","06","F","1997","D","1","D",,"A",.,"A",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20161","03101094",38,0,"5","01","D","100","D",0.0859,"F",9853,"F",14,"F",101,"F",,"A",,"A",,"A",,"A",0,"F",35,"F",35,"F",35,"F",66,"F",66,"F",66,"F",,"A","05","F","2014","F","1","F",,"A",9270,"F",9235,"F",9200,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03101384",15,0,"5","01","D","100","D",0.0859,"D",35000,"D",5,"D",1000,"D",,"B",,"B",,"B",,"B",280,"D",541,"D",545,"D",549,"D",179,"D",175,"D",171,"D",,"A","02","D","2014","D","1","D",,"A",24944,"D",24403,"D",23857,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03101764",70,0,"5","01","D","100","D",0.0859,"D",50000,"D",20,"D",437,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",,"A","06","D","2004","D","2","D",,"A",31957,"D",31749,"D",31539,"D","01","D","1","D",,"A",,"A",0,"D",0,"D",0,"D","1","D","2","D"
"20161","03103584",39,0,"5","01","D","100","D",0.0859,"F",104445,"F",10,"F",1300,"F","3","F","4","F","5","F",,"A",0,"F",1111,"F",1119,"F",1127,"F",189,"F",181,"F",173,"F",,"A","10","F","2007","F","1","F",,"A",26375,"F",25264,"F",24144,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03104254",41,0,"5","01","D","100","D",0.0859,"D",44212,"D",5,"D",909,"D",,"A",,"A",,"A",,"A",0,"D",601,"D",605,"D",610,"D",308,"D",304,"D",299,"D",,"A","08","D","2015","D","1","D",,"A",43023,"D",42422,"D",41816,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03106384",28,0,"5","01","D","100","D",0.0859,"D",17000,"D",4,"D",440,"D",,"B",,"B",,"B",,"B",20,"D",305,"D",307,"D",309,"D",115,"D",113,"D",111,"D",,"A","07","D","2015","D","1","D",,"A",16099,"D",15794,"D",15487,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03142154",29,0,"5","01","D","100","D",0.0859,"D",34145,"D",10,"D",425,"D",,"A",,"A",,"A",,"A",0,"D",376,"D",379,"D",382,"D",49,"D",46,"D",43,"D",,"A","04","D","2007","D","1","D",,"A",6779,"D",6402,"D",6023,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03142984",29,0,"5","02","D","300","D",0.0859,"D",124327,"T",10,"D",1245,"D",,"A",,"A",,"A",,"A",0,"D",233,"D",235,"D",236,"D",267,"D",265,"D",264,"D",,"A","10","D","2014","D","2","D",,"A",92822,"D",92242,"D",91657,"D","01","D","1","D",,"A",,"A",660,"T",500,"D",500,"D","1","D","2","D"
"20161","03143514",22,0,"5","01","D","100","D",0.0859,"F",14949,"F",15,"F",148,"F",,"A",,"A",,"A",,"A",0,"F",100,"F",101,"F",101,"F",48,"F",47,"F",47,"F",,"A","07","F","2005","F","1","F",,"A",6709,"F",6609,"F",6508,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
