"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20153","03065433",1,0,"1","195","D","1","D","07","D",400,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03065893",1,0,"1","120","D","1","D","05","D",482,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03065893",2,0,"1","100","D","1","D","05","D",2247,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03067213",1,0,"1","195","D","1","D","07","D",150,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03067984",1,0,"1","220","D","3","D","07","D",.,"H",.,"A",.,"A","140","D","195","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03067984",1,1,"1","140","D","3","D","07","D",1574,"E",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03067984",1,2,"1","195","D","3","D","07","D",926,"E",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03068464",1,0,"1","160","D","1","D","07","D",496,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03068714",1,0,"1","195","D","1","D","08","D",833,"D",.,"A",99,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03070333",1,0,"1","195","D","1","D","07","D",1125,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03071184",1,0,"1","140","D","1","D","07","D",475,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03071644",1,0,"1","180","D","1","D","08","D",86,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03073144",1,0,"1","140","D","1","D","07","D",600,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03074033",1,0,"1","195","D","1","D","08","D",600,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03074224",1,0,"1","210","D","1","D","06","D",160,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03075033",1,0,"1","120","D","1","D","06","D",200,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03075374",1,0,"1","195","D","1","D","07","D",1000,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03075573",1,0,"1","120","D","1","D","06","D",40,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03076803",1,0,"1","140","D","1","D","08","D",150,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03077783",1,0,"1","195","D","1","D","06","D",468,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03078613",1,0,"1","160","D","1","D","06","D",700,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03078613",2,0,"1","180","D","1","D","08","D",120,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03078784",1,0,"1","140","D","3","D","08","D",175,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03079474",1,0,"1","195","D","1","D","08","D",300,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03080884",1,0,"1","140","D","1","D","06","D",175,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03080944",1,0,"1","195","D","1","D","07","D",500,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03081384",1,0,"1","120","D","1","D","07","D",75,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03084574",1,0,"1","160","D","1","D","07","D",784,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03084574",2,0,"1","140","D","1","D","07","D",551,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03085704",1,0,"1","195","D","3","D","06","D",280,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03086584",1,0,"1","140","D","1","D","06","D",1000,"D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03087713",1,0,"1","195","D","1","D","07","D",700,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03089083",1,0,"1","195","D","1","D","04","D",500,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03089512",1,0,"1","140","D","1","D","05","D",850,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03089512",2,0,"1","120","D","1","D","06","D",375,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03090282",1,0,"1","100","D","1","D","05","D",977,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03090463",1,0,"1","180","D","1","D","06","D",130,"D",.,"A",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03091313",1,0,"1","120","D","1","D","04","D",45,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03091552",1,0,"1","195","D","2","D",,"A",.,"A",43,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03092142",1,0,"2","140","D","1","D","04","D",1380,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03092402",1,0,"1","120","D","1","D","05","D",100,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03092542",1,0,"2","195","D","1","D","04","D",565,"D",.,"A",183,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03092964",1,0,"2","195","D","1","D","04","D",2000,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03092992",1,0,"1","160","D","1","D","06","D",695,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03093482",1,0,"1","160","D","1","D","06","D",779,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03094204",1,0,"1","195","D","1","D","04","D",1800,"D",.,"A",169,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03094593",1,0,"2","140","D","1","D","04","D",749,"D",.,"A",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03094933",1,0,"1","195","D","1","D","06","D",937,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03096054",1,0,"1","120","D","1","D","06","D",50,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03096522",1,0,"2","120","D","1","D","04","D",71,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097172",1,0,"1","160","D","1","D","04","D",450,"D",.,"A",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097172",2,0,"1","120","D","1","D","04","D",150,"D",.,"A",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097214",1,0,"1","195","D","1","D","06","D",1100,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097222",1,0,"1","220","D","1","D","04","D",.,"H",.,"A",.,"A","140","D","160","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097222",1,1,"1","140","D","1","D","04","D",785,"E",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097222",1,2,"1","160","D","1","D","04","D",1255,"E",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097452",1,0,"1","160","D","1","D","05","D",550,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097564",1,0,"1","210","D","1","D","05","D",80,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097794",1,0,"1","100","D","3","D","04","D",394,"D",.,"A",23,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03097992",1,0,"1","120","D","1","D","04","D",109,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03098242",1,0,"1","195","D","1","D","06","D",1200,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03099142",1,0,"1","140","D","1","D","05","D",305,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03099162",1,0,"1","140","D","1","D","06","D",1099,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03099762",1,0,"1","100","D","1","D","04","D",134,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03100914",1,0,"2","195","D","1","D","04","D",216,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03101072",1,0,"1","120","D","1","D","05","D",106,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03101242",1,0,"1","140","D","1","D","04","D",265,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20153","03101272",1,0,"1","140","D","1","D","06","D",219,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
