"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20152","03054444",34,0,"1","420","D","04","D",50,"D",,"A",,"A",,"A",,"A"
"20152","03054482",51,0,"1","400","D","04","D",18,"D",,"A",,"A",,"A",,"A"
"20152","03054482",52,0,"1","420","D","02","D",60,"D",,"A",,"A",,"A",,"A"
"20152","03054482",53,0,"2","420","D","02","D",55,"D",,"A",,"A",,"A",,"A"
"20152","03054583",26,0,"1","420","D","04","D",47,"D",,"A",,"A",,"A",,"A"
"20152","03054623",28,0,"1","410","D","03","D",7,"D",,"A",,"A",,"A",,"A"
"20152","03054623",29,0,"1","420","D","03","D",69,"D",,"A",,"A",,"A",,"A"
"20152","03054672",14,0,"1","420","D","02","D",15,"D",,"A",,"A",,"A",,"A"
"20152","03054852",36,0,"2","410","D","02","D",21,"D",,"A",,"A",,"A",,"A"
"20152","03055603",27,0,"1","420","D","04","D",79,"D",,"A",,"A",,"A",,"A"
"20152","03055603",28,0,"1","420","D","04","D",50,"D",,"A",,"A",,"A",,"A"
"20152","03055852",57,0,"1","430","D","03","D",.,"H","405","D","425","D",,"A",,"A"
"20152","03055852",57,1,"1","420","D","03","D",97,"E",,"A",,"A",,"A",,"A"
"20152","03056134",45,0,"1","420","D","03","D",85,"D",,"A",,"A",,"A",,"A"
"20152","03056232",23,0,"1","410","D","02","D",18,"D",,"A",,"A",,"A",,"A"
"20152","03056232",24,0,"1","420","D","02","D",88,"D",,"A",,"A",,"A",,"A"
"20152","03056433",35,0,"2","400","D","02","D",14,"D",,"A",,"A",,"A",,"A"
"20152","03056444",16,0,"1","400","D","03","D",17,"D",,"A",,"A",,"A",,"A"
