"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20151","03065264",26,0,"1","105","D",.,"A",280,"D","2","D"
"20151","03065314",21,0,"1","105","D",.,"A",40,"D","1","D"
"20151","03066251",23,0,"1","105","D",.,"A",150,"D","1","D"
"20151","03067881",16,0,"1","105","D",.,"A",260,"D","1","D"
"20151","03069833",20,0,"1","105","D",.,"A",200,"D","2","D"
"20151","03070221",40,0,"1","105","D",.,"A",500,"D","1","D"
"20151","03070383",15,0,"1","105","D",.,"A",300,"D","2","D"
"20151","03070482",27,0,"1","105","D",.,"A",250,"D","1","D"
"20151","03074012",28,0,"1","105","D",.,"A",500,"D","1","D"
"20151","03074363",25,0,"1","180","D",.,"A",130,"D","1","D"
"20151","03075291",20,0,"1","105","D",.,"A",317,"D","1","D"
"20151","03075331",15,0,"1","105","D",.,"A",400,"D","1","D"
"20151","03075443",15,0,"1","105","D",.,"A",90,"D","1","D"
"20151","03076162",17,0,"1","105","D",.,"A",70,"D","1","D"
"20151","03076384",26,0,"1","105","D",.,"A",70,"D","2","D"
"20151","03077594",16,0,"1","105","D",.,"A",400,"D","2","D"
"20151","03077962",18,0,"1","105","D",.,"A",200,"D","1","D"
"20151","03078494",31,0,"1","105","D",.,"A",65,"D","1","D"
"20151","03079571",38,0,"1","105","D",.,"A",10,"D","1","D"
"20151","03080911",9,0,"1","105","D",.,"A",57,"D","1","D"
"20151","03080911",10,0,"1","105","D",.,"A",57,"D","1","D"
"20151","03080952",45,0,"1","105","D",.,"A",230,"D","1","D"
"20151","03081013",15,0,"1","105","D",.,"A",230,"D","1","D"
"20151","03081514",12,0,"1","105","D",.,"A",2592,"D","2","D"
"20151","03083624",23,0,"1","105","D",.,"A",690,"D","2","D"
"20151","03084404",14,0,"1","105","D",.,"A",600,"D","2","D"
"20151","03084444",14,0,"1","105","D",.,"A",150,"D","1","D"
"20151","03084572",29,0,"1","105","D",.,"A",425,"D","1","D"
"20151","03086282",25,0,"1","105","D",.,"A",250,"D","2","D"
"20151","03086383",42,0,"1","105","D",.,"A",60,"D","1","D"
"20151","03086454",10,0,"1","105","D",.,"A",272,"D","1","D"
"20151","03087371",13,0,"1","105","D",.,"A",480,"D","2","D"
"20151","03087371",14,0,"1","105","D",.,"A",1500,"D","2","D"
"20151","03087452",10,0,"1","105","D",.,"A",2,"D","2","D"
"20151","03087961",47,0,"1","105","D",.,"A",180,"D","1","D"
"20152","02816655",49,0,"1","105","D",.,"A",200,"D","1","D"
"20152","02816925",48,0,"1","105","D",.,"A",685,"D","1","D"
"20152","02820465",27,0,"1","105","D",.,"A",80,"D","2","D"
"20152","02821415",23,0,"1","105","D",.,"A",75,"D","1","D"
"20152","02822855",36,0,"1","105","D",.,"A",51,"D","2","D"
"20152","02823735",34,0,"1","105","D",.,"A",91,"D","2","D"
"20152","02823805",60,0,"1","105","D",.,"A",390,"D","1","D"
"20152","02823995",30,0,"1","105","D",.,"A",165,"D","1","D"
"20152","02836765",28,0,"1","105","D",.,"A",118,"D","1","D"
"20152","02840275",43,0,"1","105","D",.,"A",450,"D","2","D"
"20152","02840435",25,0,"1","105","D",.,"A",200,"D","2","D"
"20152","02840575",25,0,"1","105","D",.,"A",50,"D","1","D"
"20152","02841955",11,0,"1","105","D",.,"A",900,"D","1","D"
"20152","02842605",28,0,"1","105","D",.,"A",534,"D","1","D"
"20152","02842705",14,0,"1","105","D",.,"A",36,"D","2","D"
"20152","02870235",39,0,"1","105","D",.,"A",50,"D","2","D"
"20152","02871075",47,0,"1","105","D",.,"A",206,"D","1","D"
"20152","02871995",80,0,"1","105","D",.,"A",420,"D","1","D"
"20152","02872535",30,0,"1","105","D",.,"A",300,"D","1","D"
"20152","02873405",43,0,"1","105","D",.,"A",187,"D","1","D"
"20152","02873915",19,0,"1","105","D",.,"A",700,"D","1","D"
"20152","02874265",22,0,"1","105","D",.,"A",150,"D","2","D"
