"QYEAR","NEWID","SEQNO","ALCNO","PRTDMBNO","PRTD_BNO","ENROLLMO","ENRO_LMO","ENROLLYR","ENRO_LYR","HHDRGSS","HHDRGSS_","STILDRUG","STIL_RUG","DRGPREMX","DRGP_EMX","QDRGPM1X","QDRG_M1X","QDRGPM2X","QDRG_M2X","QDRGPM3X","QDRG_M3X","PREMCHG","PREMCHG_","PREMCHGX","PREM_HGX"
"20153","03144862",3,0,1,"D","05","D","2015","D","1","D","1","D",180,"F",180,"F",180,"F",.,"A","1","D",.,"A"
"20153","03144935",21,0,3,"D","11","D","2014","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03145102",6,0,1,"D","03","D","2008","D","1","D","1","D",55,"D",55,"D",55,"D",55,"D","1","D",.,"A"
"20153","03145102",7,0,2,"D","02","D","2008","D","1","D","1","D",55,"D",55,"D",55,"D",55,"D","1","D",.,"A"
"20153","03145122",16,0,2,"D","12","D","2009","D","1","D",,"A",110,"D",110,"D",110,"D",110,"D",,"A",.,"A"
"20153","03145172",6,0,1,"D","02","D","2015","D","1","D","1","D",70,"F",70,"F",70,"F",70,"F","1","D",.,"A"
"20153","03145335",3,0,1,"D","06","D","2011","D","1","D","1","D",103,"D",103,"D",103,"D",103,"D","1","D",.,"A"
"20153","03145492",10,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03145642",5,0,1,"D","03","D","2015","D","1","D","1","D",42,"F",42,"F",42,"F",42,"F","1","D",.,"A"
"20153","03145642",6,0,2,"D","05","D","2015","D","1","D","1","D",180,"F",180,"F",180,"F",.,"A","1","D",.,"A"
"20153","03145652",7,0,1,"D","12","D","2005","D","2","D",,"A",32,"D",32,"D",32,"D",32,"D",,"A",.,"A"
"20153","03145652",8,0,2,"D","12","D","2005","D","2","D",,"A",27,"D",27,"D",27,"D",27,"D",,"A",.,"A"
"20153","03145772",4,0,1,"D","02","D","2015","D","1","D","1","D",48,"F",48,"F",48,"F",48,"F","1","D",.,"A"
"20153","03145772",5,0,2,"D","04","D","2015","D","1","D","1","D",42,"F",42,"F",42,"F",42,"F","1","D",.,"A"
"20153","03145812",10,0,2,"D","03","D","2015","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03145982",10,0,1,"D","05","D","2008","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03146122",5,0,1,"D","02","D","2015","D","1","D","1","D",20,"F",20,"F",20,"F",20,"F","1","D",.,"A"
"20153","03146355",5,0,1,"D","08","D","2010","D","1","D","1","D",70,"F",70,"F",70,"F",70,"F","1","D",.,"A"
"20153","03146512",8,0,1,"D","12","D","2005","D","1","D","1","D",21,"D",200,"D",200,"D",200,"D","2","D",200,"D"
"20153","03146522",12,0,1,"D","05","D","2012","D","1","D","1","D",42,"D",42,"D",42,"D",42,"D","1","D",.,"A"
"20153","03146542",9,0,6,"D","12","D","2005","D","1","D","1","D",109,"D",109,"D",109,"D",109,"D","1","D",.,"A"
"20153","03146642",15,0,1,"D","02","D","2010","D","1","D","1","D",30,"D",30,"D",30,"D",30,"D","1","D",.,"A"
"20153","03146762",10,0,1,"D","09","D","2014","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03146762",11,0,2,"D","01","D","2010","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03146782",7,0,1,"D","01","D","2011","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03146962",7,0,1,"D","12","D","2005","D","1","D","1","D",98,"F",98,"F",98,"F",98,"F","1","D",.,"A"
"20153","03146962",8,0,2,"D","12","D","2005","D","1","D","1","D",45,"F",45,"F",45,"F",45,"F","1","D",.,"A"
"20153","03146972",5,0,1,"D","11","D","2013","D","1","D","1","D",36,"D",36,"D",36,"D",36,"D","1","D",.,"A"
"20153","03147042",39,0,1,"D","04","D","2014","D","2","D","1","D",16,"F",16,"F",16,"F",16,"F","1","D",.,"A"
"20153","03147282",15,0,5,"D","07","D","2013","D","1","D",,"A",16,"F",16,"F",16,"F",16,"F",,"A",.,"A"
