"QYEAR","NEWID","SEQNO","ALCNO","PRTDMBNO","PRTD_BNO","ENROLLMO","ENRO_LMO","ENROLLYR","ENRO_LYR","HHDRGSS","HHDRGSS_","STILDRUG","STIL_RUG","DRGPREMX","DRGP_EMX","QDRGPM1X","QDRG_M1X","QDRGPM2X","QDRG_M2X","QDRGPM3X","QDRG_M3X","PREMCHG","PREMCHG_","PREMCHGX","PREM_HGX"
"20153","03086033",7,0,1,"D","12","D","2005","D","2","D","1","D",52,"F",52,"F",52,"F",52,"F","1","D",.,"A"
"20153","03086033",8,0,2,"D","12","D","2005","D","2","D","1","D",39,"F",39,"F",39,"F",39,"F","1","D",.,"A"
"20153","03086214",17,0,2,"D","07","D","2010","D","1","D","1","D",30,"F",30,"F",30,"F",30,"F","1","D",.,"A"
"20153","03087343",6,0,1,"D","03","D","2015","D","1","D","1","D",40,"D",40,"D",40,"D",40,"D","1","D",.,"A"
"20153","03087343",7,0,2,"D","03","D","2015","D","1","D","1","D",40,"D",40,"D",40,"D",40,"D","1","D",.,"A"
"20153","03088013",5,0,1,"D","12","D","2005","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03088984",18,0,1,"D","01","D","2015","D","2","D","1","D",103,"F",103,"F",103,"F",103,"F","1","D",.,"A"
"20153","03088984",19,0,2,"D","04","D","2015","D","2","D","1","D",25,"F",25,"F",25,"F",.,"A","1","D",.,"A"
"20153","03089202",37,0,2,"D","04","D","2012","D","2","D","1","D",20,"D",20,"D",20,"D",20,"D","1","D",.,"A"
"20153","03089402",6,0,1,"D","02","D","2008","D","1","D","1","D",0,"D",11,"D",11,"D",11,"D","2","D",11,"D"
"20153","03089472",4,0,1,"D","12","D","2005","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03089624",7,0,1,"D","04","D","2015","D","1","D","1","D",182,"F",182,"F",182,"F",.,"A","1","D",.,"A"
"20153","03089913",16,0,1,"D","09","D","2006","D","2","D","1","D",40,"D",40,"D",40,"D",40,"D","1","D",.,"A"
"20153","03089934",7,0,1,"D","01","D","2012","D","2","D","1","D",45,"D",47,"D",47,"D",47,"D","2","D",47,"D"
