"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_"
"20151","03009782",24,0,"5","01","D","105","D","2012","D",.,"A",36,"D","05","D",287,"D","3","D",.,"A",.,"A",500,"D",.,"A","01","D",287,"D",287,"D",287,"D",.,"A",.,"A",.,"A",500,"D",.,"A","FORBJ","D",,"A","2012","D"
"20151","03009782",25,0,"1","02","D","105","D","2014","D",.,"A",36,"D","02","D",311,"D","3","D",.,"A",.,"A",500,"D",.,"A",,"A",.,"A",.,"A",311,"D",.,"A",.,"A",.,"A",500,"D",.,"A","FORBK","D",,"A","2015","D"
"20151","03010423",12,0,"5","01","D","105","D","2009","D",.,"A",48,"D","04","D",369,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",369,"D",369,"D",369,"D",.,"A",.,"A",.,"A",.,"A",.,"A","SUBAF","D",,"A","2014","D"
"20151","03046665",27,0,"1","01","D","105","D","2012","D",.,"A",72,"D","04","D",660,"D","3","D",.,"A",.,"C",2000,"D",.,"A",,"A",660,"D",660,"D",660,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","LEXAJ","D",,"A","2012","D"
"20151","03046775",8,0,"1","01","D","105","D","2011","D",.,"A",60,"D","09","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBU","D",,"A","2011","D"
"20151","03050894",13,0,"1","01","D","105","D","2014","D",.,"A",36,"D","11","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAO","D",,"A","2014","D"
"20151","03051744",15,0,"1","01","D","105","D","2014","D",.,"A",48,"D","02","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAG","D",,"A","2015","D"
"20151","03051823",30,0,"1","01","D","105","D","2015","D",.,"A",24,"D","12","D",300,"D","3","D",.,"A",3000,"F",1000,"D",.,"A",,"A",.,"A",300,"D",300,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","CHEBU","D",,"A","2014","D"
"20151","03052803",35,0,"1","01","D","105","D","2013","D",.,"A",36,"D","03","D",399,"D","3","D",.,"A",1000,"D",2000,"D",.,"A",,"A",399,"D",399,"D",399,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","HONAI","D",,"A","2013","D"
"20151","03054764",14,0,"1","01","D","105","D","2014","D",.,"A",36,"D","05","D",555,"D","3","D",.,"A",13000,"D",.,"A",.,"A",,"A",555,"D",555,"D",555,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BMWAM","D",,"A","2014","D"
"20151","03055251",12,0,"1","01","D","105","D","2014","D",.,"A",36,"D","08","D",350,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEAZ","D",,"A","2014","D"
"20151","03055251",13,0,"1","02","D","105","D","2015","D",.,"A",39,"D","02","D",279,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBP","D",,"A","2015","D"
"20151","03055983",22,0,"1","01","D","105","D","2014","D",.,"A",24,"D","08","D",289,"D","3","D",.,"A",.,"A",500,"D",.,"A",,"A",289,"D",289,"D",289,"D",.,"A",.,"A",.,"A",500,"D",.,"A","DODAX","D",,"A","2014","D"
"20151","03055983",23,0,"1","02","D","105","D","2015","D",.,"A",36,"D","08","D",370,"D","3","D",.,"A",.,"A",500,"D",.,"A",,"A",370,"D",370,"D",370,"D",.,"A",.,"A",.,"A",500,"D",.,"A","CHRAS","D",,"A","2014","D"
"20151","03056601",8,0,"1","01","D","105","D","2014","D",.,"A",39,"D","02","D",199,"D","3","D",.,"A",.,"A",1500,"D",.,"A",,"A",199,"D",199,"D",199,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","CHEBT","D",,"A","2014","D"
"20151","03058162",10,0,"1","01","D","105","D","2015","D",.,"A",36,"D","01","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MAZAN","D",,"A","2015","D"
"20151","03058162",11,0,"1","02","D","105","D","2008","D",.,"A",.,"C","03","F",300,"D","3","D",.,"A",1000,"D",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","DODAC","D",,"A","2012","D"
"20151","03060224",6,0,"1","01","D","105","D","2014","D",.,"A",36,"D","06","D",184,"D","3","D",.,"A",7000,"D",.,"A",.,"A",,"A",184,"D",184,"D",184,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBP","D",,"A","2014","D"
"20151","03064722",8,0,"1","01","D","105","D","2014","D",.,"A",60,"D","03","D",245,"D","3","D",.,"A",1000,"D",500,"D",.,"A",,"A",245,"D",245,"D",245,"D",.,"A",.,"A",.,"A",500,"D",.,"A","HONAK","D",,"A","2014","D"
"20151","03064891",10,0,"1","01","D","105","D","2014","D",.,"A",.,"C","06","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"F",350,"F",350,"F",.,"A",.,"A",.,"A",.,"A",.,"A","SUBAH","D",,"A","2014","D"
"20151","03065133",8,0,"1","01","D","105","D","2014","D",.,"A",36,"D","01","D",220,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",220,"D",220,"D",220,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAG","D",,"A","2014","D"
"20151","03065342",14,0,"1","01","D","105","D","2010","D",.,"A",24,"D","02","D",350,"D","3","D",.,"A",.,"A",4000,"D",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",4000,"D",.,"A","DODAC","D",,"A","2014","D"
"20151","03065974",24,0,"1","01","D","105","D","2014","D",.,"A",36,"D","06","D",229,"D","3","D",.,"A",.,"A",355,"D",.,"A",,"A",229,"D",229,"D",229,"D",.,"A",.,"A",.,"A",355,"D",.,"A","TOYAF","D",,"A","2014","D"
"20151","03066121",15,0,"1","01","D","105","D","2014","D",.,"A",36,"D","03","D",216,"D","3","D",.,"A",3000,"D",3500,"D",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3500,"D",.,"A","SUBAH","D",,"A","2015","D"
"20151","03066251",14,0,"1","01","D","105","D","2014","D",.,"A",60,"D","05","D",430,"D","3","D",.,"A",13000,"D",.,"A",.,"A",,"A",430,"D",430,"D",430,"D",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAM","D",,"A","2014","D"
"20151","03066251",15,0,"1","02","D","105","D","2009","D",.,"A",60,"D","02","D",230,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","MINAA","D",,"A","2015","D"
"20151","03066564",9,0,"1","01","D","105","D","2006","D",.,"A",24,"D","06","D",300,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","PONAG","D",,"A","2014","D"
"20151","03066752",15,0,"1","01","D","105","D","2014","D",.,"A",36,"D","10","D",300,"D","3","D",.,"A",6000,"D",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAO","D",,"A","2014","D"
"20151","03067094",15,0,"1","01","D","105","D","2012","D",.,"A",36,"D","08","D",250,"D","3","D",.,"A",.,"A",1500,"D",.,"A",,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","CHEAS","D",,"A","2012","D"
"20151","03068174",22,0,"1","01","D","105","D","2014","D",.,"A",39,"D","01","D",425,"D","3","D",.,"A",.,"C",500,"D",.,"A",,"A",425,"D",425,"D",425,"D",.,"A",.,"A",.,"A",500,"D",.,"A","CHEBT","D",,"A","2014","D"
"20151","03069833",15,0,"1","01","D","105","D","2012","D",.,"A",60,"D","04","D",239,"D","3","D",.,"A",14000,"D",5500,"D",.,"A",,"A",239,"D",239,"D",239,"D",.,"A",.,"A",.,"A",5500,"D",.,"A","TOYAX","D",,"A","2013","D"
"20151","03072482",13,0,"1","01","D","105","D","2014","D",.,"A",36,"D","11","D",223,"D","3","D",.,"A",1500,"D",2000,"D",.,"A",,"A",223,"D",223,"D",223,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","HYUAB","D",,"A","2014","D"
"20151","03072644",15,0,"1","01","D","105","D","2013","D",.,"A",36,"D","12","D",469,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",469,"D",469,"D",469,"D",.,"A",.,"A",.,"A",.,"A",.,"A","GMCAP","D",,"A","2012","D"
"20151","03072831",14,0,"1","01","D","105","D","2015","D",.,"A",36,"D","02","D",170,"D","3","D",.,"A",2400,"D",.,"A",.,"A",,"A",.,"A",.,"A",170,"D",.,"A",.,"A",.,"A",.,"A",.,"A","SUBAF","D",,"A","2015","D"
"20151","03074383",33,0,"1","01","D","105","D","2014","D",.,"A",36,"D","05","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BMWAA","D",,"A","2014","D"
"20151","03074593",8,0,"1","01","D","105","D","2015","D",.,"A",36,"D","08","D",300,"D","3","D",.,"A",3000,"D",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAE","D",,"A","2014","D"
"20151","03075031",7,0,"1","01","D","105","D","2013","D",.,"A",48,"D","10","D",281,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",281,"D",281,"D",281,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","HYUXX","D",,"A","2012","D"
"20151","03075724",8,0,"1","01","D","105","D","2011","D",.,"A",39,"D","01","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",272,"F",272,"F",272,"F",.,"A",.,"A",.,"A",.,"A",.,"A","GMCAI","D",,"A","2012","D"
"20151","03076384",10,0,"1","01","D","105","D","2013","D",.,"A",36,"D","01","D",360,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",360,"D",360,"D",360,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","TOYAO","D",,"A","2014","D"
"20151","03076514",11,0,"1","01","D","105","D","2011","D",.,"A",36,"D","01","D",188,"D","3","D",.,"A",900,"D",1000,"D",.,"A","01","D",.,"A",188,"D",188,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","TOYAF","D","2014","D","2012","D"
"20151","03077404",8,0,"1","01","D","105","D",,"C",.,"A",.,"C","10","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"F",350,"F",350,"F",.,"A",.,"A",.,"A",.,"A",.,"A","MRBBC","D",,"A","2012","F"
